round,time,loss,acc,jfi,auc,roc
1,191.47723703809453,2.292121173553467,0.14674,0.4,0.6771637771111111,0.5806862565333334
2,382.95447407618906,2.273889771118164,0.15922,0.4,0.6942501795555556,0.6112944614222222
3,574.4317111142836,2.221832410888672,0.2346,0.4,0.7051973386666667,0.6711753310444445
4,765.9089481523781,2.1089451164245605,0.24282,0.4,0.7150526524444445,0.7074864694666667
5,957.3861851904726,2.0174256700134277,0.2843,0.4,0.7312826624444445,0.7366805680888888
6,1148.863422228567,1.9815114793395996,0.28624,0.4,0.7440719477777777,0.7493765650666666
7,1340.3406592666615,1.9625658815002442,0.30122,0.4,0.7526567533333334,0.7526775641777776
8,1531.817896304756,1.937434677658081,0.30992,0.4,0.7621526853333334,0.7631693203111111
9,1723.2951333428505,1.8855384157562256,0.33318,0.4,0.7770768417777778,0.7797507233111112
10,1914.772370380945,1.8698632920074463,0.33456,0.4,0.7907140935555556,0.7843647097555555
11,2106.2496074190394,1.8162462525177,0.35574,0.4,0.8006584717777777,0.7995143134444445
12,2297.726844457134,1.7837334004974366,0.37446,0.4,0.8086946577777777,0.8064965984222222
13,2489.204081495229,1.7457208349990845,0.38304,0.4,0.8209961224444445,0.8185413504222222
14,2680.6813185333235,1.7359968551635743,0.3782,0.4,0.8292873311111111,0.8187461568444445
15,2872.158555571418,1.6520474145507813,0.41576,0.4,0.839270776,0.8413911715555555
16,3063.635792609513,1.6172412944793702,0.42694,0.4,0.8471146828888887,0.8487521366
17,3255.1130296476076,1.6079222876358032,0.42766,0.4,0.8503133873333335,0.8498564223555556
18,3446.5902666857023,1.5880461282348632,0.42718,0.4,0.8560253120000001,0.8538185622444444
19,3638.067503723797,1.549786399307251,0.44476,0.4,0.8616228655555556,0.8610130953111111
20,3829.5447407618917,1.5209284512329102,0.45422,0.4,0.865208734,0.8668794678666667
21,4021.0219777999864,1.4951957390594481,0.4607,0.4,0.8696913126666665,0.8720635848666667
22,4212.499214838081,1.5151377957916259,0.4596,0.4,0.8691641488888889,0.867811287
23,4403.976451876175,1.4819075131225585,0.47362,0.4,0.8737729177777778,0.8733967361333334
24,4595.453688914269,1.4485781756591798,0.47868,0.4,0.8783160777777776,0.8797001987999999
25,4786.930925952363,1.4421482642364503,0.48158,0.4,0.879692168,0.8813356336666667
26,4978.408162990458,1.460419441871643,0.47756,0.4,0.8812235197777778,0.8770112162222222
27,5169.885400028552,1.4050517990493774,0.49072,0.4,0.8864809537777777,0.8873824692000001
28,5361.362637066646,1.4345016017913819,0.49316,0.4,0.8845054386666668,0.8813507397333333
29,5552.83987410474,1.4541617817687988,0.47928,0.4,0.885593626888889,0.8782251788888888
30,5744.317111142835,1.3540543738937378,0.5151,0.4,0.8932802433333332,0.8960409988444444
31,5935.794348180929,1.4403525552749634,0.48824,0.4,0.8874508459999999,0.8801635603555555
32,6127.271585219023,1.3613012036895753,0.50982,0.4,0.8951043708888887,0.8942224124888889
33,6318.748822257117,1.3321451726913451,0.52656,0.4,0.8976663602222222,0.8994772421555556
34,6510.226059295212,1.369047858352661,0.51294,0.4,0.8961758046666667,0.8925967788
35,6701.703296333306,1.3001996726608276,0.53846,0.4,0.9010379577777776,0.9042568708222223
36,6893.1805333714,1.293866964263916,0.53906,0.4,0.9018278408888889,0.9050859786444445
37,7084.657770409494,1.2982211354446411,0.53674,0.4,0.9029519466666667,0.9044913868888889
38,7276.135007447589,1.375341273727417,0.51968,0.4,0.8963729113333333,0.8911758947777778
39,7467.612244485683,1.2969203351974488,0.54092,0.4,0.904811279111111,0.9048028862222223
40,7659.089481523777,1.257140890274048,0.55146,0.4,0.9086740015555556,0.9105676952666668
41,7850.566718561871,1.2664168062591552,0.54782,0.4,0.9088046128888891,0.9089755186444444
42,8042.043955599966,1.2952034074020387,0.54076,0.4,0.9070972515555555,0.9045024446666666
43,8233.52119263806,1.2357224115753174,0.56272,0.4,0.9118216651111111,0.9135962876666666
44,8424.998429676154,1.2420212266921997,0.55778,0.4,0.9124221417777777,0.912561621288889
45,8616.475666714248,1.2359908348464965,0.56398,0.4,0.9125600937777776,0.9134019831111111
46,8807.952903752343,1.2155732963943482,0.56554,0.4,0.9154106024444444,0.9169372252888889
47,8999.430140790437,1.2387877336502076,0.55334,0.4,0.9154888800000002,0.9133653224222222
48,9190.907377828531,1.2010496376800537,0.573,0.4,0.9173156811111112,0.9184459556888888
49,9382.384614866625,1.199119592514038,0.57414,0.4,0.9183221028888889,0.9187505505777778
50,9573.86185190472,1.1878213635253907,0.57862,0.4,0.9198615531111111,0.9204493865333334
