round,time,loss,acc,jfi,auc,roc
1,227.11071046236637,2.2777744815063476,0.10052,0.4,0.6809974533333334,0.5806947441555556
2,487.22947682434415,2.222286940917969,0.14896,0.5333333333333333,0.697256379111111,0.6561595970666666
3,663.0323096861364,2.1130112092590334,0.2682,0.72,0.7101492924444444,0.7118145327555555
4,924.0956287586287,2.028091110458374,0.27706,0.7529411764705882,0.7268995497777777,0.7307653586
5,1104.6803473665375,1.9988488636016846,0.2862,0.8,0.73702059,0.7388813907777778
6,1286.258089829172,2.0263810665893556,0.2689,0.7783783783783784,0.7397381199999999,0.7305010377777776
7,1521.0986765269017,1.930370825881958,0.30732,0.8,0.7586604433333333,0.7642106318666666
8,1767.995876302216,1.915039925918579,0.31928,0.8126984126984127,0.7664154377777778,0.7696483930222222
9,1983.9945263975123,1.883965245666504,0.33034,0.8202531645569621,0.7748906304444445,0.7787322336888889
10,2151.0482456057143,1.8697381169128418,0.33716,0.8421052631578947,0.7809884213333333,0.7814886953111111
11,2331.6814353578343,1.8483743579101561,0.3355,0.8203389830508474,0.7908084597777778,0.7886255371777778
12,2577.4524832152233,1.7881374447631837,0.36964,0.8055944055944056,0.8028010199999999,0.8060911084222222
13,2748.951949377059,1.7623556585693358,0.37272,0.8397515527950311,0.8110842762222221,0.8132060602
14,2964.9505994723554,1.7415585572052001,0.3767,0.8340425531914893,0.8184481279999998,0.8188940598222223
15,3130.815995029214,1.7170005193328857,0.3931,0.8737864077669902,0.8227325357777777,0.8226800830444445
16,3294.5900333544155,1.668013819656372,0.40804,0.8904347826086957,0.8355406782222221,0.8374643062888889
17,3529.049272649387,1.6551543045425414,0.4132,0.9066666666666666,0.8396582553333334,0.8393099613777778
18,3702.6723629826033,1.6387872748565673,0.41754,0.9159010600706714,0.8447862753333333,0.8430520860444445
19,3863.652191484975,1.5831833547973633,0.43626,0.9168253968253969,0.8525791084444444,0.8555770574444443
20,4035.5624811470057,1.5700970670318604,0.43878,0.9142857142857143,0.8564922566666668,0.8569424238444445
21,4195.803058289364,1.5399634625625611,0.45228,0.9211488250652742,0.8615581842222222,0.8637936739777778
22,4432.444830955199,1.5673962114715576,0.43038,0.9307692307692308,0.8606992582222223,0.8561447974888888
23,4603.944297117035,1.5215711810684205,0.45208,0.9404444444444444,0.8666909993333334,0.8666117928
24,4796.227724845274,1.4747658405303956,0.46902,0.9365853658536586,0.8722818697777779,0.8756755110666666
25,4946.752378042818,1.465219393081665,0.47804,0.9541984732824428,0.8751932335555554,0.8775204940666665
26,5125.06664382694,1.4702717388534545,0.4697,0.9588652482269504,0.8761243535555556,0.8753866362888889
27,5287.984048894552,1.5329947097015382,0.45672,0.9560655737704918,0.8706958468888889,0.8636440765777778
28,5426.479907555506,1.4658686054229737,0.4792,0.9575572519083969,0.8785329851111111,0.8759591623999999
29,5579.323484721048,1.4488525861358643,0.4821,0.9543262411347517,0.880878118888889,0.8794138073777777
30,5799.816352914189,1.457898871383667,0.47488,0.9549071618037135,0.8817226284444445,0.8777362891999999
31,5941.954244814127,1.4060366730117797,0.49136,0.9479654747225648,0.8880403637777778,0.8868786496666666
32,6102.552725913741,1.4698222506332397,0.48732,0.9547785547785548,0.8822119095555557,0.8759564157333333
33,6294.2495048887195,1.3654457695770263,0.5154,0.9573626373626374,0.8926651491111113,0.8941069227999998
34,6487.856041887944,1.3454023421478272,0.52108,0.9623309053069719,0.8952121926666667,0.8977146964444445
35,6664.84719840108,1.3449097413635254,0.52212,0.9598432908912831,0.8960537271111111,0.8978638067333334
36,6849.730835310216,1.356471757888794,0.52008,0.9653631284916201,0.8969484922222222,0.8957590661555555
37,7003.567436330484,1.3610895236968994,0.5143,0.9590192644483363,0.8975213244444445,0.8946160592222223
38,7263.686202692462,1.297072264175415,0.53778,0.9586721991701245,0.9027262335555555,0.9049931892222222
39,7491.741465865342,1.3052992504882812,0.53572,0.9588652482269504,0.9030652426666668,0.9034284389777778
40,7655.515504190545,1.2931900777816772,0.54176,0.9545115585384042,0.903694204,0.9055259941333333
41,7908.81668008795,1.2653523413085936,0.54882,0.9633237822349571,0.9073249422222223,0.9101247089555556
42,8077.145037422927,1.312236095199585,0.5365,0.9685655456417296,0.9056630295555556,0.9019226479999999
43,8313.78681008876,1.2470472973632813,0.55736,0.9725180802103879,0.909811074,0.9129357033333333
44,8552.547758527246,1.2766821492385865,0.5483,0.9734758013827781,0.9077482131111111,0.9074734107555555
45,8778.483845927476,1.271199993019104,0.54764,0.9735576923076923,0.9090064702222224,0.9084966972666666
46,9030.461912553896,1.2968262832641602,0.5344,0.9751152073732718,0.9089031057777778,0.9045512026444444
47,9183.305489719438,1.218594722251892,0.57092,0.9742006615214994,0.9150561651111111,0.9165233495111111
48,9416.771705159685,1.2093074604034424,0.57322,0.9799043062200957,0.9164171328888889,0.9179600543333335
49,9674.571547553664,1.211845108833313,0.57484,0.9840163934426229,0.916446724,0.9174001240222223
50,9909.030786848636,1.2202095554351806,0.56956,0.9857072449482503,0.915552406,0.9159849476888888
