round,time,loss,acc,jfi,auc,roc
1,239.0828758417029,2.2873290756988527,0.12358,0.4,0.6988519724444444,0.6265883555111111
2,453.36796383972177,2.2429683435821532,0.21996,0.8,0.7184927737777779,0.6992592856
3,728.3616564411193,2.11668943901062,0.26104,0.9,0.7180393668888889,0.7152794432666667
4,936.6421220319005,2.0218004467010497,0.28058,0.9142857142857143,0.7345678288888888,0.7350281044666668
5,1177.1288450951993,1.984984825744629,0.28964,0.8695652173913043,0.7430973546666666,0.7457655057555554
6,1330.170845553356,1.9680052549743652,0.29526,0.9,0.7515325337777778,0.7476825707777779
7,1540.8935938226557,1.962671400909424,0.2878,0.9333333333333333,0.7575570264444444,0.7518744719777778
8,1751.6995561367332,1.8881240267181396,0.3339,0.9660377358490566,0.775898034,0.7807060801555554
9,1921.9088462497007,1.862877160949707,0.33634,0.9818181818181818,0.7831117653333333,0.7848747597777778
10,2108.7850331602453,1.828111008644104,0.34788,0.963855421686747,0.7943534333333334,0.7948519807333334
11,2323.9812956029,1.8526767575836183,0.34492,0.9777777777777777,0.7971755373333334,0.7881284390444445
12,2500.9547220973436,1.7820193362426757,0.36686,0.976271186440678,0.8093638933333333,0.8089014233777778
13,2698.3582657405586,1.7352736099243165,0.38352,0.9941176470588236,0.8199997824444445,0.8192440995333334
14,2889.7713073154146,1.705323162574768,0.39686,0.9924050632911392,0.8266554931111111,0.8277234281333333
15,3111.6458202147946,1.6641905886459352,0.40746,0.9836065573770492,0.8346717522222221,0.8372126552444444
16,3328.288612962059,1.6292190320587159,0.42178,0.9846153846153847,0.8429374097777778,0.8458677531555556
17,3480.487819446873,1.626851718711853,0.42494,0.9880341880341881,0.8469964500000001,0.8452283320888889
18,3649.2812241240886,1.6004203241729735,0.42548,0.9893129770992366,0.8519738966666667,0.8508790245333333
19,3794.0397833167144,1.5672692484283448,0.44152,0.9924398625429554,0.8584426168888889,0.8582471600666667
20,3947.077351066652,1.5311558277130126,0.46008,0.9876543209876543,0.8624708962222222,0.8653863628222223
21,4137.39225279941,1.5370598905181885,0.44186,0.9827298050139276,0.8663056226666667,0.8632114163333333
22,4334.46076957798,1.4962190761184693,0.46398,0.9852417302798983,0.8709680593333335,0.8712196508888889
23,4500.66235809008,1.4769022528076172,0.47166,0.9911007025761124,0.8735804646666667,0.8759228577777778
24,4696.376856824007,1.470374104537964,0.47524,0.993103448275862,0.8764083204444443,0.8762129257555555
25,4888.798588239376,1.4455832664871215,0.48526,0.9940357852882704,0.8792878124444444,0.8807030776222222
26,5080.034526114266,1.439423488998413,0.4885,0.9922935779816514,0.8806338200000001,0.8813644354666668
27,5342.143817601732,1.4552080727386474,0.47826,0.9918367346938776,0.8821579284444445,0.8789008987555555
28,5525.12107866238,1.3939243041229248,0.50622,0.9955555555555555,0.8875887435555556,0.8890457172888889
29,5727.724736621568,1.420499596939087,0.4958,0.9923303834808259,0.8868911971111111,0.8852063825111112
30,5929.337980524366,1.364848726387024,0.51328,0.9903713892709766,0.8925311015555554,0.8945832230888888
31,6149.993312906527,1.3758782789611816,0.5112,0.992,0.8929627308888891,0.8918649131333334
32,6358.247003165551,1.3292212849807739,0.52872,0.992969696969697,0.8970389551111111,0.9005690205777779
33,6629.896632125548,1.3138837187194825,0.53516,0.9933865450399088,0.8994431464444445,0.9027293041333333
34,6838.8550167764615,1.361708825340271,0.5191,0.9933404940923738,0.8967960388888887,0.8947400296222222
35,7034.226564451125,1.3072411214065551,0.53764,0.9939148073022313,0.9027156677777779,0.9038620411111111
36,7257.845877514419,1.329365825805664,0.52116,0.9950095969289827,0.9026499982222222,0.8993279046222222
37,7527.375278373256,1.3042477682495117,0.5421,0.9929283771532185,0.90386271,0.9044532376666667
38,7733.8538868436635,1.2852729182815552,0.54276,0.9932932072226999,0.9058303517777778,0.9068130983777778
39,7921.461784705456,1.2541996786117553,0.55396,0.9949304987735078,0.9093485648888888,0.9111602042666667
40,8062.624717108106,1.2429804267120361,0.5606,0.9961089494163424,0.9110908202222223,0.9134205020444445
41,8260.436309230021,1.230856830177307,0.56578,0.9961481481481481,0.9126854853333335,0.914826871488889
42,8425.152173029706,1.2147729314804077,0.56976,0.9952045133991537,0.9143869333333333,0.917114207688889
43,8604.744946770938,1.2913005584716797,0.53418,0.9947545393409549,0.9109988786666665,0.9052561723777778
44,8801.344762104025,1.2120931357574463,0.57016,0.9953727506426735,0.9163162124444444,0.9173927009555555
45,9078.053421538663,1.1898581914138795,0.57918,0.995085995085995,0.9185019157777777,0.920683824111111
46,9211.694784436046,1.1901412270736695,0.58118,0.9945945945945946,0.9195554573333332,0.9205092514444444
47,9399.807369350767,1.1770952325439452,0.58846,0.9967287084038353,0.9196420753333333,0.9222555679777777
48,9596.845029397791,1.1824571562957764,0.58294,0.9947112790070156,0.9211411686666666,0.9217543311111112
49,9815.638363520973,1.2254602906799317,0.57222,0.9957490927941939,0.9186846113333331,0.9152466756888888
50,10023.571874240071,1.1451369013214112,0.59958,0.9955201592832255,0.9241976737777777,0.926721492422222
