round,time,loss,acc,jfi,auc,roc
1,166.21077916189685,2.5228382806396485,0.10996,0.4,0.5343975937777776,0.5102566329777778
2,332.4215583237937,2.6459030163574218,0.10024,0.4,0.574459075111111,0.5192452128444445
3,498.6323374856905,2.6853246126556396,0.14236,0.4,0.5925613682222224,0.5239896765333333
4,664.8431166475874,2.6774260441589357,0.13424,0.4,0.5989124502222223,0.5296724074888889
5,831.0538958094843,2.715926947479248,0.1405,0.4,0.6052213266666666,0.5352668713555555
6,997.2646749713812,2.6918208180999756,0.14474,0.4,0.6142282013333333,0.5413193808
7,1163.475454133278,2.771121741409302,0.14542,0.4,0.6169773633333333,0.5418582245555555
8,1329.6862332951748,2.7231236473083498,0.14668,0.4,0.6245514448888889,0.5468049340444444
9,1495.8970124570717,2.79957997215271,0.13218,0.4,0.6221629802222223,0.5513876446666667
10,1662.1077916189686,2.677565697784424,0.14756,0.4,0.6393177095555556,0.5616181945333333
11,1828.3185707808655,2.72855046585083,0.13634,0.4,0.6452694186666668,0.5648765743999999
12,1994.5293499427623,2.6660881620025636,0.14932,0.4,0.6484397684444444,0.5697287114444444
13,2160.740129104659,2.693819967651367,0.1504,0.4,0.6539266317777779,0.5711516205777778
14,2326.950908266556,2.7080949311828615,0.15,0.4,0.6550494848888888,0.5729687629777777
15,2493.1616874284528,2.7304129331970213,0.15364,0.4,0.6609517782222222,0.5736665179333333
16,2659.3724665903496,2.7198458427429197,0.15554,0.4,0.6661671171111111,0.5803183364000001
17,2825.5832457522465,2.6443691522979735,0.16206,0.4,0.671979903111111,0.5904564594444445
18,2991.7940249141434,2.6334875213623046,0.17976,0.4,0.6757349688888888,0.5969202042222223
19,3158.0048040760403,2.6482036864471437,0.1842,0.4,0.6782266373333333,0.5993074909999999
20,3324.215583237937,2.78782915473938,0.14498,0.4,0.6693327766666666,0.5958919767333333
21,3490.426362399834,2.6656723028564455,0.17856,0.4,0.6841604815555555,0.6047204357777778
22,3656.637141561731,2.640478870162964,0.1932,0.4,0.6877889902222222,0.6114948778666668
23,3822.847920723628,2.6265722437286376,0.21042,0.4,0.692584844,0.6155462917999999
24,3989.0586998855247,2.692669415588379,0.19518,0.4,0.6915043573333334,0.6133227613777777
25,4155.269479047422,2.6116231269073484,0.21538,0.4,0.6992976055555555,0.623486727311111
26,4321.480258209318,2.5993106522369387,0.22086,0.4,0.7018020531111111,0.6266419880666667
27,4487.691037371214,2.605866049118042,0.2401,0.4,0.7054797171111111,0.6312595309555555
28,4653.901816533111,2.6912494004821776,0.2101,0.4,0.7029713220000001,0.6280760583333334
29,4820.112595695007,2.6373124504089356,0.22036,0.4,0.7096095262222223,0.631648522511111
30,4986.323374856904,2.6464958251190187,0.21788,0.4,0.7131850751111111,0.6324057426
31,5152.5341540188,2.6275865732574464,0.22566,0.4,0.7163791497777777,0.6345840194888889
32,5318.7449331806965,2.6181881871795656,0.24324,0.4,0.7176215488888888,0.6405299561333334
33,5484.955712342593,2.6549961558532713,0.24182,0.4,0.7198576057777777,0.6391690259999999
34,5651.166491504489,2.6849820737457275,0.2399,0.4,0.721601367111111,0.6378777803111111
35,5817.377270666386,2.672239823074341,0.24056,0.4,0.7243844346666667,0.6402637983999999
36,5983.588049828282,2.6383835728454588,0.25294,0.4,0.728098923111111,0.6485827565555555
37,6149.798828990179,2.6071885733032225,0.25992,0.4,0.7281077702222223,0.6524225401999999
38,6316.009608152075,2.563984898071289,0.26676,0.4,0.7332278248888888,0.6581877288444444
39,6482.2203873139715,2.6501782545471193,0.25114,0.4,0.7307172995555555,0.6531122208444445
40,6648.431166475868,2.708041819458008,0.23154,0.4,0.7293851775555555,0.6475876580666666
41,6814.641945637764,2.622425693664551,0.2702,0.4,0.737951592888889,0.6538599685111112
42,6980.852724799661,2.545533522720337,0.28744,0.4,0.740488365111111,0.6644550862222222
43,7147.063503961557,2.51715790145874,0.29158,0.4,0.7425722002222223,0.6695880299555556
44,7313.274283123454,2.610408638305664,0.2617,0.4,0.7404423342222222,0.6570163375333333
45,7479.48506228535,2.592727286758423,0.26156,0.4,0.7392244168888888,0.6577501603333333
46,7645.6958414472465,2.5710055979156494,0.27732,0.4,0.7437691833333333,0.6682166928444444
47,7811.906620609143,2.6176333763122557,0.26602,0.4,0.7479659635555556,0.6636043910222222
48,7978.117399771039,2.557018452911377,0.28812,0.4,0.7498896668888888,0.6714324384444444
49,8144.328178932936,2.5681598392486573,0.27894,0.4,0.7509692762222222,0.6712615087333333
50,8310.538958094832,2.5686925374603273,0.29026,0.4,0.752924748,0.6747164479777779
