round,time,loss,acc,jfi,auc,roc
1,324.51333255424566,2.3666306889343263,0.12614,0.4,0.5494810162222222,0.5134740558222222
2,649.0266651084913,2.4959901545715333,0.1183,0.4,0.5781340228888889,0.5206282615777778
3,973.539997662737,2.5107447370910645,0.11674,0.4,0.60198867,0.5308728990222222
4,1298.0533302169827,2.5043710746765138,0.13162,0.4,0.6138075948888889,0.5415970296666667
5,1622.5666627712283,2.482013628692627,0.1599,0.4,0.6270265895555556,0.5543016678
6,1947.0799953254739,2.515465159072876,0.15192,0.4,0.6219536086666666,0.553840239311111
7,2271.5933278797197,2.495053204574585,0.16394,0.4,0.635431639111111,0.5615901653555556
8,2596.1066604339653,2.487238244094849,0.15776,0.4,0.6422464997777778,0.5649881579555556
9,2920.619992988211,2.482864613494873,0.1609,0.4,0.6488290782222221,0.5685255278
10,3245.1333255424565,2.4846406828308107,0.15964,0.4,0.6517824895555555,0.5726615629777778
11,3569.646658096702,2.4761897549438476,0.1708,0.4,0.6551606333333334,0.5791000365555555
12,3894.1599906509477,2.4889475762939455,0.1722,0.4,0.6579556113333334,0.5816070787777777
13,4218.673323205194,2.4638261436462403,0.1748,0.4,0.6651633746666665,0.5871453319555555
14,4543.186655759439,2.4754560029602053,0.17476,0.4,0.6680113648888889,0.5878625500666665
15,4867.699988313685,2.475501333770752,0.17716,0.4,0.6727165084444444,0.5933527095333333
16,5192.213320867931,2.4671522039031983,0.17802,0.4,0.6762313333333333,0.6000779194
17,5516.726653422176,2.4525265546417234,0.18456,0.4,0.6812544357777778,0.6043356883333333
18,5841.239985976422,2.4278042903900148,0.19794,0.4,0.6871505824444444,0.6117027004888889
19,6165.7533185306675,2.434999514541626,0.1888,0.4,0.6905999186666667,0.6125149330666667
20,6490.266651084913,2.4284501013946533,0.19252,0.4,0.6937388211111111,0.6164185133333333
21,6814.779983639159,2.4162949005126952,0.20066,0.4,0.6981641935555556,0.6223997792222223
22,7139.293316193404,2.398267623901367,0.19938,0.4,0.7006301275555556,0.6283973258000001
23,7463.80664874765,2.4318872911071776,0.19206,0.4,0.7009151728888889,0.6236044247111111
24,7788.3199813018955,2.4248269136047362,0.20202,0.4,0.7039426044444445,0.6278764594888889
25,8112.833313856141,2.3961135948181154,0.2199,0.4,0.7084431393333335,0.6355453866
26,8437.346646410388,2.373850600128174,0.20566,0.4,0.7121179713333333,0.6451734744222222
27,8761.859978964634,2.376972131958008,0.20844,0.4,0.7134244597777778,0.6456710797777777
28,9086.37331151888,2.379433551712036,0.21424,0.4,0.7148884337777778,0.6494445735111111
29,9410.886644073127,2.3654156687164307,0.21246,0.4,0.7168571920000001,0.6528201961555556
30,9735.399976627374,2.357608945236206,0.22638,0.4,0.7186028322222222,0.6567808667777778
31,10059.91330918162,2.3672042192077636,0.22576,0.4,0.7191901471111112,0.6549411241111112
32,10384.426641735867,2.3688748915100097,0.22256,0.4,0.7211590837777778,0.6588835312
33,10708.939974290113,2.3543913417053224,0.2363,0.4,0.7215421068888889,0.6614274870888888
34,11033.45330684436,2.3433388759613036,0.22634,0.4,0.7242029873333333,0.6656364483777778
35,11357.966639398606,2.3509661127471926,0.22328,0.4,0.7249231626666666,0.6678627713555555
36,11682.479971952853,2.362275440444946,0.23048,0.4,0.7255817942222222,0.6659368533555556
37,12006.9933045071,2.369397750244141,0.23226,0.4,0.726157092888889,0.6660551864444444
38,12331.506637061346,2.3695057772064207,0.23132,0.4,0.7272047033333333,0.6679703339111112
39,12656.019969615592,2.3642117531585694,0.23454,0.4,0.7282148566666666,0.6697064564222223
40,12980.533302169839,2.364009613800049,0.23,0.4,0.728469224,0.669755335088889
41,13305.046634724085,2.3734158597564696,0.2322,0.4,0.7289991544444445,0.6711399479777777
42,13629.559967278332,2.357853505935669,0.24158,0.4,0.7304191888888889,0.6738390663111111
43,13954.073299832578,2.350556651992798,0.23574,0.4,0.7314115973333334,0.6759698555333333
44,14278.586632386825,2.372478435745239,0.23326,0.4,0.7313792331111111,0.6747278837333334
45,14603.099964941071,2.3713923262023924,0.24226,0.4,0.7315971186666668,0.6716811003111111
46,14927.613297495318,2.364257211456299,0.22548,0.4,0.7314309826666666,0.6778814127111112
47,15252.126630049564,2.362089233856201,0.2451,0.4,0.7331045117777777,0.6759851498666667
48,15576.639962603811,2.369457761077881,0.24504,0.4,0.7336168235555556,0.6751619621777778
49,15901.153295158058,2.3606747566986086,0.24612,0.4,0.7341337766666667,0.6747201003333333
50,16225.666627712304,2.344909003753662,0.24424,0.4,0.7356404922222223,0.6807767507555555
