round,time,loss,acc,jfi,auc,roc
1,284.45752007053846,2.300160838241577,0.10396,0.4,0.5923766195555555,0.5218639720666667
2,568.9150401410769,2.297227409210205,0.10496,0.4,0.6333778795555556,0.5393832678222222
3,853.3725602116153,2.2941363093566896,0.1124,0.4,0.6554472728888889,0.5548251644222223
4,1137.8300802821539,2.290859912490845,0.11778,0.4,0.6662033384444443,0.5666237150222222
5,1422.2876003526924,2.286971216278076,0.13116,0.4,0.6718039615555556,0.5772033618888889
6,1706.745120423231,2.2823343251037596,0.14896,0.4,0.676848279111111,0.5928132078
7,1991.2026404937694,2.2765571916198732,0.17362,0.4,0.6798149373333333,0.6058050856444445
8,2275.6601605643077,2.2693674195861817,0.19246,0.4,0.6820384115555556,0.6249469687777778
9,2560.1176806348462,2.260164783706665,0.20672,0.4,0.6833410088888888,0.6441487499777777
10,2844.5752007053848,2.248451486968994,0.2221,0.4,0.6847140215555555,0.6601693560888888
11,3129.0327207759233,2.2340159101867676,0.22462,0.4,0.6850793857777778,0.6639275773111112
12,3413.490240846462,2.216524997177124,0.22854,0.4,0.686041252888889,0.6754075019333332
13,3697.9477609170003,2.1955923447418213,0.23826,0.4,0.687677164,0.6826751944444445
14,3982.405280987539,2.173764095001221,0.24444,0.4,0.6908632775555555,0.6935460111555555
15,4266.862801058077,2.1505535845184327,0.24714,0.4,0.6945819813333334,0.6928571707555556
16,4551.320321128615,2.1274777268981935,0.25376,0.4,0.7015003684444444,0.7036102178
17,4835.777841199154,2.1051463439941407,0.261,0.4,0.7075895055555554,0.7091106887333333
18,5120.2353612696925,2.0842074704742433,0.26786,0.4,0.7140228635555557,0.7131915070666667
19,5404.692881340231,2.0614682470703123,0.27282,0.4,0.7214658513333333,0.7242704487777778
20,5689.1504014107695,2.04273892829895,0.28092,0.4,0.726413014,0.7279409286222221
21,5973.607921481308,2.0262827034759523,0.28336,0.4,0.7321175051111111,0.7343124086888889
22,6258.065441551847,2.0091899611663817,0.28764,0.4,0.7374521742222223,0.7410905208444445
23,6542.522961622385,1.9974793869781493,0.29372,0.4,0.7414617066666666,0.7465067527111111
24,6826.980481692924,1.9890142881774902,0.29304,0.4,0.7447580017777777,0.7476072369555555
25,7111.438001763462,1.9764203971862793,0.30106,0.4,0.748436456,0.7526668167111111
26,7395.895521834001,1.9731145508575438,0.3007,0.4,0.7513069082222221,0.7546037956888889
27,7680.353041904539,1.960620172958374,0.3078,0.4,0.7543737966666666,0.7589062718444444
28,7964.810561975078,1.9528065126800538,0.31394,0.4,0.7563231162222221,0.760667535911111
29,8249.268082045615,1.9456760700988769,0.31376,0.4,0.7588176175555557,0.7629872516888889
30,8533.725602116154,1.9425545307159424,0.31518,0.4,0.760354278,0.762107114911111
31,8818.183122186692,1.933603635406494,0.31642,0.4,0.764210009111111,0.7666936929555556
32,9102.64064225723,1.9239057808685303,0.32376,0.4,0.7655562848888889,0.7689832100222221
33,9387.09816232777,1.9173725708770752,0.32708,0.4,0.7683848182222223,0.7722544859111111
34,9671.555682398308,1.9287943955993652,0.32238,0.4,0.7664701755555556,0.7649535530666667
35,9956.013202468846,1.9047588549804688,0.3263,0.4,0.7723270717777777,0.7747447603555556
36,10240.470722539385,1.89752586479187,0.3343,0.4,0.7738124922222221,0.7766425344888889
37,10524.928242609923,1.8913417414855958,0.33596,0.4,0.7776134493333333,0.7799605150222222
38,10809.385762680462,1.8852564134979248,0.3395,0.4,0.7797674086666667,0.7813467963111111
39,11093.843282751,1.8821808560180664,0.34286,0.4,0.7791166117777777,0.7798617353999999
40,11378.300802821539,1.8649314587020873,0.34752,0.4,0.78404828,0.7869089484888889
41,11662.758322892078,1.855136378250122,0.35158,0.4,0.7862203940000001,0.7901428220222223
42,11947.215842962616,1.8502132930755615,0.35282,0.4,0.7874129080000001,0.7902322772222222
43,12231.673363033155,1.8420296857452392,0.35554,0.4,0.7906365259999999,0.793784758288889
44,12516.130883103693,1.839029223022461,0.3572,0.4,0.7904650742222221,0.7932460007555555
45,12800.588403174232,1.8275762198638916,0.35856,0.4,0.7931666773333333,0.7965676033333333
46,13085.04592324477,1.817302656288147,0.36502,0.4,0.7958329326666667,0.8002596961111111
47,13369.503443315309,1.8095074258422852,0.36546,0.4,0.7979503362222222,0.8016538335555555
48,13653.960963385847,1.8013687521362305,0.36824,0.4,0.7999416148888889,0.8038032951333334
49,13938.418483456386,1.7998713412475587,0.36904,0.4,0.8004188833333334,0.803659794111111
50,14222.876003526924,1.7897595943832398,0.37442,0.4,0.8040602642222222,0.8081169900666667
