round,time,loss,acc,jfi,auc,roc
1,780.6625667131406,3.7383404514637397,0.1360904255319149,0.4,0.9002991247173399,0.771665178330769
2,1563.346798781661,3.059122038022846,0.4513209219858156,0.5818181818181818,0.9508044519365428,0.9375310225136433
3,2392.0604998968947,1.790247862795566,0.5971985815602837,0.6857142857142857,0.9701375376612448,0.969814075782154
4,3027.7627134678432,1.4553240387152273,0.6001684397163121,0.8258064516129032,0.974510647532506,0.973507467592843
5,3365.1675024698225,1.2564862062914153,0.6436524822695036,0.8695652173913043,0.9778676613571541,0.9785484064191793
6,4071.237860487388,1.155816620867303,0.6630496453900709,0.8597014925373134,0.9806646880058973,0.9812546281147283
7,4319.146101798967,1.0972938629245081,0.6813563829787234,0.8909090909090909,0.981904830556519,0.982833766495738
8,4940.873933953218,1.0407180155084488,0.6928014184397163,0.8752136752136752,0.983662938966299,0.9845400759237233
9,5356.007432750838,0.9902418193749503,0.7078900709219859,0.9391304347826087,0.9849246068455134,0.9859046760391449
10,6060.398249835524,0.9336435106967358,0.7227039007092199,0.9142857142857143,0.98649495158643,0.9874865771858863
11,6765.006201292895,0.8993509468457378,0.7315957446808511,0.9175355450236967,0.9874633477393618,0.9883621548331458
12,7086.160194914698,0.8756080999442026,0.7370656028368794,0.9442622950819672,0.9880047577233657,0.9889051164739301
13,7436.998782810597,0.8396622312491667,0.7466223404255319,0.9356401384083045,0.9887740157486637,0.9898030347252634
14,7912.629607356078,0.8278601800634506,0.7466134751773049,0.927810650887574,0.9894364367724715,0.9902139274052555
15,8145.526839744836,0.8085632672884786,0.7538386524822696,0.9375,0.9897155748920754,0.9905374267123759
16,8827.23883808271,0.7931910957850463,0.7538209219858156,0.9394495412844037,0.9903331390848238,0.991038324105192
17,9124.184853571964,0.7474161244453268,0.7697960992907802,0.9398373983739837,0.9909873012144748,0.9919180175081819
18,9763.676742580554,0.7375735295410697,0.770895390070922,0.9442622950819672,0.9914175438364041,0.992154052765449
19,9940.866442974824,0.7253480762116452,0.7757890070921986,0.948440065681445,0.9915393466858105,0.9923890583781583
20,10170.380035807211,0.7118732097470168,0.7811790780141844,0.960960960960961,0.9917494214301315,0.9926679038094256
21,10864.461388507129,0.6944455928836308,0.7828368794326241,0.9548037889039243,0.9922278919258788,0.9930511700537014
22,11154.17748443272,0.6808201211394993,0.7874468085106383,0.9548705302096178,0.9924626023839807,0.9933236550443891
23,12018.19344693158,0.6510942724410523,0.7960195035460993,0.9531531531531532,0.9930093116825343,0.9938547352117041
24,12184.787452149214,0.6414622992826692,0.8002393617021276,0.9590010405827263,0.9931277213260614,0.9940386240018395
25,12428.931085930039,0.6313651160990938,0.801267730496454,0.9606147934678194,0.9932651510625448,0.9941975642274316
26,13095.721226013246,0.6161773758238934,0.8062411347517731,0.9674418604651163,0.9935362501927228,0.9944728146841917
27,13428.194680548713,0.6192376956533878,0.804459219858156,0.9703826955074876,0.9936380266150171,0.9944610786720047
28,14218.399457054053,0.5980952739208303,0.8099822695035461,0.965665896843726,0.993987604592263,0.994835623900045
29,14343.652889946196,0.5878610495979905,0.8133421985815603,0.9708513708513709,0.9940749540275852,0.9950137066342972
30,14717.261102602708,0.579191323442662,0.8148670212765957,0.968392737054472,0.9942459691225973,0.9951722607830107
31,15020.065148496977,0.5702093926558258,0.8181382978723404,0.9700946372239747,0.9943229646867613,0.995248998464266
32,15372.46808950569,0.5645623431983569,0.8193705673758865,0.9648998822143698,0.9944635161710477,0.9953496562443959
33,15668.611379045258,0.5607798661069667,0.8209751773049645,0.9674625208217656,0.9945599582674864,0.9954147652974739
34,16072.10586549178,0.5479584429957343,0.825177304964539,0.9699003670686943,0.9947129191720625,0.9956207695408946
35,16781.985447588144,0.5381185626983642,0.8249202127659574,0.9664694280078896,0.9948808868781478,0.9957885652162635
36,17026.9686075183,0.5402089707902137,0.8249379432624113,0.9698783910196446,0.994879608604109,0.9957343306148144
37,17402.860710954796,0.5298675171703312,0.8287145390070922,0.9687748783724016,0.995019906938984,0.9959200338652209
38,18025.735670175727,0.522545267537976,0.830718085106383,0.9675041876046901,0.9951107498361855,0.9960066741174185
39,18632.108560630626,0.5166176526259023,0.8323670212765958,0.970334928229665,0.9952159655572258,0.9961142605653776
40,18908.534198566354,0.5097525960671986,0.8348404255319148,0.9722749715153817,0.9952884440606051,0.9962143860350882
41,19578.35144800833,0.5146163628963714,0.8303368794326241,0.9671341244156778,0.9953422143205878,0.9961682358461855
42,19793.930471136544,0.5047454731346022,0.8349113475177306,0.9662444368366998,0.9954064113250334,0.9963060955962433
43,20170.486388472196,0.49633889786740565,0.8377393617021277,0.9677461563624469,0.9954822167456832,0.9964076298874703
44,20831.719182553676,0.5100390443565153,0.8319858156028369,0.9658871219207983,0.9954273782794996,0.9962112145031278
45,21526.002406024647,0.4845939573497637,0.8402216312056737,0.9645727895206907,0.9956358369629458,0.9965677374416501
46,21821.774716643653,0.48194345790443693,0.8422517730496454,0.9642836798632868,0.9956896717850625,0.9965987864862847
47,22136.93118220403,0.47635074226568774,0.8433156028368795,0.9646288209606987,0.9957561031291758,0.9966807213612229
48,22510.606224696243,0.47182094861429635,0.8442730496453901,0.9620041753653444,0.9958316551996609,0.9967579551849126
49,23261.203519876097,0.46294338444446,0.8472695035460993,0.9640150564617315,0.9959165316402638,0.9968557348800089
50,23939.848857100005,0.46138189792633055,0.8467641843971632,0.962000962000962,0.9959510184997816,0.9968725949861935
