round,time,loss,acc,jfi,auc,roc
1,585.2617056710844,3.8463812564281707,0.03916666666666667,0.4,0.6470152306811465,0.5266559947465272
2,1170.5234113421689,3.841258513403277,0.06404255319148937,0.4,0.7366993369131591,0.5564862267029245
3,1755.7851170132533,3.834989411847811,0.08488475177304965,0.4,0.7931152201616942,0.5896204825103728
4,2341.0468226843377,3.8263740380605062,0.09858156028368795,0.4,0.8285750066649964,0.6259890146840756
5,2926.308528355422,3.81366504121334,0.10377659574468086,0.4,0.8518510970744678,0.6702913786682596
6,3511.570234026506,3.7933718773321057,0.12195921985815603,0.4,0.8673550135628662,0.7169388114042479
7,4096.83193969759,3.758223141406445,0.1513031914893617,0.4,0.8779888510268913,0.7622625722479804
8,4682.0936453686745,3.690393385582782,0.18692375886524823,0.4,0.88693761061485,0.805921463270317
9,5267.355351039759,3.5409184129863767,0.2208599290780142,0.4,0.8951250207176996,0.8467733797873842
10,5852.617056710843,3.1821315353474717,0.3326241134751773,0.4,0.9089214340663223,0.8947415210780981
11,6437.878762381927,2.560223638723928,0.4040691489361702,0.4,0.9294415986515826,0.926995740181423
12,7023.140468053011,2.0353562518721775,0.484991134751773,0.4,0.9481977045511486,0.9478600060680341
13,7608.4021737240955,1.7354931825272581,0.54,0.4,0.9591914749877943,0.9598613002374315
14,8193.66387939518,1.5613835376036083,0.5769148936170213,0.4,0.965205747916988,0.9664907195674315
15,8778.925585066265,1.453481603345127,0.5955851063829787,0.4,0.9688217895194137,0.970522407997251
16,9364.187290737349,1.3807265296557272,0.6129875886524823,0.4,0.9715052794400119,0.9730628450199201
17,9949.448996408433,1.3268023042137742,0.6248936170212765,0.4,0.9732397370699071,0.9749193666163878
18,10534.710702079517,1.2886163765995216,0.6328900709219858,0.4,0.9746431552895981,0.9762009440588962
19,11119.972407750602,1.2498030365950672,0.6419680851063829,0.4,0.9759216777000466,0.9774315939170606
20,11705.234113421686,1.2194304652924233,0.6500709219858156,0.4,0.9769877025596798,0.9784880773029895
21,12290.49581909277,1.194399639258148,0.6537588652482269,0.4,0.9779742657261796,0.9794147942486056
22,12875.757524763854,1.1631314669602306,0.6636081560283688,0.4,0.9789119485719241,0.9803531985985774
23,13461.019230434938,1.1423188694149045,0.671063829787234,0.4,0.9796076229892591,0.980989879114119
24,14046.280936106023,1.1179264766950134,0.6754609929078014,0.4,0.9804139117747197,0.9817578728292378
25,14631.542641777107,1.09890598702938,0.68,0.4,0.9810972225835776,0.9823605444360658
26,15216.804347448191,1.080922132248574,0.6834574468085106,0.4,0.9816814548884133,0.9829572058597501
27,15802.066053119275,1.058519299622123,0.6896897163120568,0.4,0.9823663576677972,0.9836795459897052
28,16387.32775879036,1.041801632008654,0.6943351063829787,0.4,0.9828999165670933,0.9842061000666261
29,16972.589464461445,1.0236841547066438,0.6993882978723405,0.4,0.9833827790947167,0.9846972645323917
30,17557.85117013253,1.006686662714532,0.7032535460992908,0.4,0.9840188237566169,0.9852454337983215
31,18143.112875803614,0.9925814628601074,0.7061258865248227,0.4,0.9843682483987951,0.9856640084359618
32,18728.374581474698,0.975021366058512,0.7118617021276595,0.4,0.9848998456611676,0.9861486893586131
33,19313.636287145782,0.9606866507496394,0.7154787234042553,0.4,0.9853267960960789,0.986583821024498
34,19898.897992816866,0.94850805854121,0.7183156028368795,0.4,0.9857077784523077,0.9869117058189502
35,20484.15969848795,0.9319535081606385,0.7229698581560283,0.4,0.986125873355432,0.9873576878512408
36,21069.421404159035,0.9226791788669343,0.7243262411347517,0.4,0.9864283581544222,0.987623867386288
37,21654.68310983012,0.9096287450384587,0.7279343971631206,0.4,0.9867814565747379,0.9879518241997768
38,22239.944815501203,0.8958745592536655,0.7328280141843971,0.4,0.9871269079957472,0.9882987013209232
39,22825.206521172287,0.8839997976722447,0.7361702127659574,0.4,0.9874451453531322,0.9886072873585948
40,23410.46822684337,0.8745786720641116,0.7375088652482269,0.4,0.9876911009449839,0.9888391929859702
41,23995.729932514456,0.8635275605722522,0.7408421985815603,0.4,0.9880485944486201,0.9891524439325331
42,24580.99163818554,0.8558357280704146,0.7422074468085106,0.4,0.988285999372045,0.9893745831455654
43,25166.253343856624,0.8431632120727647,0.7446719858156028,0.4,0.9885579583670596,0.9896807522045574
44,25751.51504952771,0.8341065680050681,0.7465248226950355,0.4,0.9887977025837701,0.9898733360933013
45,26336.776755198793,0.8252241925990328,0.7480762411347518,0.4,0.9890260333554964,0.9901118899341368
46,26922.038460869877,0.8144833398034387,0.7529343971631206,0.4,0.9892491522204879,0.9903434043820926
47,27507.30016654096,0.8085914334168671,0.7537322695035461,0.4,0.9894310650262746,0.9905100388283452
48,28092.561872212045,0.7964632463117017,0.7565159574468086,0.4,0.9896983951009868,0.9907813027535919
49,28677.82357788313,0.7878849093457486,0.7592198581560283,0.4,0.9898843851179463,0.9909786360348831
50,29263.085283554214,0.781266272406206,0.7623492907801418,0.4,0.9900508568936941,0.9911054669406612
