round,time,loss,acc,jfi,auc,roc
1,255.00571631425052,2.3893591785430908,0.14158333333333334,0.4,0.740932711574074,0.5831982652777778
2,494.6391516695917,2.1622378538767495,0.28291666666666665,0.8,0.8428068662037038,0.6827665607561728
3,723.9612179641289,1.8917796208063762,0.35225,0.8,0.8841978733024691,0.7710907413271606
4,957.2438192515822,1.9296621991475422,0.36793333333333333,0.7757575757575758,0.876761161574074,0.7772885137499999
5,1184.5410617829784,2.50252908782959,0.35345,0.8,0.8334858799382715,0.7405185068055555
6,1375.7909994093068,2.2170159913380942,0.3773166666666667,0.8347826086956521,0.844820301697531,0.7775158605401234
7,1643.8100887250791,1.8162406657536825,0.41236666666666666,0.8521739130434782,0.890118362037037,0.8274707664506173
8,1942.4838031285112,1.7700214124043783,0.4724,0.8677966101694915,0.8997960615740741,0.8385440397222221
9,2183.189157295473,1.9433473868687947,0.3611,0.864,0.8920582030864198,0.8290266459876544
10,2461.266492265284,1.6734239717483521,0.5228,0.8695652173913043,0.9036985601851851,0.8531478122839506
11,2714.253460157941,1.6903699053446453,0.4449666666666667,0.872072072072072,0.9022641047839505,0.8553638919907408
12,2937.5296157516636,1.937011055501302,0.4216666666666667,0.8727272727272727,0.8896772899691359,0.8405448281172839
13,3148.390142509935,1.628294194984436,0.5260166666666667,0.8836601307189542,0.9033895274691359,0.8650980443055555
14,3394.729148810392,1.6532275031407675,0.49835,0.8934472934472935,0.904496587037037,0.8697201019444445
15,3665.9113047631236,1.7276286094665527,0.4575166666666667,0.9045226130653267,0.9132041197530864,0.8631453895370371
16,3887.14421952449,1.9511478902816772,0.42346666666666666,0.9142857142857143,0.8977230061728395,0.8416614712808641
17,4109.735283907515,1.6555926724116008,0.4758833333333333,0.9192842942345925,0.9053189211419752,0.8673093863734568
18,4414.38793797444,1.5973770223617554,0.5824666666666667,0.9142857142857143,0.9074961722222221,0.8764637372530864
19,4630.577323369805,2.0770953903834024,0.40171666666666667,0.9212121212121213,0.8897948067901235,0.837624963888889
20,4824.300751414742,1.7002693152745565,0.5447666666666666,0.9302325581395349,0.8968077421296297,0.8668423364660494
21,5023.231643866193,1.959165224202474,0.5025,0.9296442687747035,0.8928732320987655,0.8472881732407407
22,5250.077670387589,1.9504945419947306,0.47578333333333334,0.9230035756853396,0.9071681320987655,0.8483127619135802
23,5483.227255049139,1.6067173134485881,0.4875833333333333,0.9394006659267481,0.9120181564814814,0.87859048779321
24,5714.451262747393,1.906242278289795,0.47991666666666666,0.9346855983772819,0.9028109913580245,0.858739048595679
25,5952.801419479856,1.9847321669896443,0.48365,0.9372071227741331,0.9145646149691359,0.8563790512962963
26,6192.370470410589,2.115118026351929,0.5001166666666667,0.9454545454545454,0.882383999382716,0.8461120380092593
27,6386.870216169928,1.8168717188517252,0.5803833333333334,0.9521632653061225,0.9033007598765433,0.8678447653549383
28,6612.421379252962,1.7167115883509318,0.51945,0.9524677296886864,0.9061082367283951,0.8719665723611111
29,6796.2191991701875,1.6786476647694906,0.5412333333333333,0.9489421720733427,0.9083512154320987,0.8742474815586418
30,7005.340134965408,1.8463100619633992,0.46986666666666665,0.9555408095554081,0.9097801808641975,0.8686218016512346
31,7219.068333913362,2.07327868792216,0.4615166666666667,0.9556246115599751,0.9122118268518518,0.8524847131172839
32,7448.206164206791,1.728786489613851,0.524,0.9553352769679301,0.9067035078703704,0.870382752330247
33,7638.717605658759,1.6009412720998129,0.5424333333333333,0.951611141452758,0.9109517891975308,0.8804773950617284
34,7867.115497066058,1.6711905574162802,0.5532333333333334,0.9548786783686113,0.9098190675925926,0.8815537313734567
35,8107.335105048753,1.845506585375468,0.54505,0.9547004383828543,0.905279386265432,0.8716680080246912
36,8303.662394436798,1.8558604431788126,0.4973666666666667,0.9481481481481482,0.9069836513888889,0.8688985589197531
37,8529.628703766191,1.6304691364924113,0.5657333333333333,0.9449525452976704,0.9119950663580246,0.8839568012808642
38,8721.695718077362,1.9793002922058105,0.5189166666666667,0.9535286834502683,0.8950408925925926,0.863320406712963
39,8958.980166111704,2.475518287785848,0.4809333333333333,0.9562278978388998,0.9006081760802468,0.8490559643209876
40,9217.619019543254,1.8337976517359416,0.5472166666666667,0.9545115585384042,0.9094199410493827,0.8714591259876543
41,9454.423506207317,1.6935507174173992,0.54335,0.957153024911032,0.9085498314814815,0.8817158887654322
42,9696.933733391312,1.7860311009724934,0.5224,0.9586956521739131,0.9118492546296295,0.8784022436265433
43,9898.196929705444,1.6229321336746216,0.5443666666666667,0.9561732385261797,0.9138631956790123,0.8873877021604937
44,10113.64401884557,1.7001597897847494,0.54845,0.9610921501706484,0.9149345770061729,0.8839134646759259
45,10352.402992747748,1.8166903343836467,0.5315666666666666,0.9617097061442564,0.9108706294753087,0.8774643902932099
46,10571.362608599058,1.671647958946228,0.5867333333333333,0.9612720045428733,0.9073529702160494,0.8850844134876543
47,10849.658278916246,1.7197717290242513,0.5306833333333333,0.9599130907115698,0.9135040955246915,0.8832452635493827
48,11078.844093528603,2.447992874272664,0.4802,0.9660377358490566,0.9132273966049382,0.8568011014043209
49,11307.27159429283,1.7851082214991252,0.52845,0.9669267556003021,0.9221504697530865,0.881973985324074
50,11527.388901446655,1.5893661945343018,0.6071333333333333,0.963855421686747,0.9161965626543209,0.8919611337037037
