round,time,loss,acc,jfi,auc,roc
1,198.30186811070288,2.6395039750417073,0.16368333333333332,0.4,0.6576609212962963,0.5673783071604939
2,396.60373622140577,2.978569791793823,0.19108333333333333,0.4,0.6906577319444445,0.5990852664969135
3,594.9056043321086,2.7561579991658527,0.19216666666666668,0.4,0.7273345021604938,0.6572568518209876
4,793.2074724428115,2.7495429197947185,0.18931666666666666,0.4,0.7344649058641977,0.6916660718364197
5,991.5093405535144,2.423186555099487,0.1929,0.4,0.7752910118827161,0.7351784104012347
6,1189.8112086642172,2.269710237121582,0.19951666666666668,0.4,0.7952139395061728,0.7588902579012347
7,1388.11307677492,2.152894234593709,0.2133,0.4,0.8007905908950617,0.769094476697531
8,1586.4149448856228,2.0430875862121582,0.2971666666666667,0.4,0.8102747578703703,0.7919663552006173
9,1784.7168129963256,1.9054412089029948,0.33771666666666667,0.4,0.8302086209876544,0.8086933534876543
10,1983.0186811070284,1.8613875257492065,0.3723166666666667,0.4,0.8352012168209877,0.8195266438734569
11,2181.3205492177312,2.1032676771799723,0.35135,0.4,0.8220094112654321,0.8018282520679012
12,2379.622417328434,1.8715683013916016,0.4044333333333333,0.4,0.8376935918209878,0.8279487652932098
13,2577.924285439137,1.8653079063415527,0.3949166666666667,0.4,0.8429472805555556,0.8290272373919754
14,2776.2261535498396,1.8469848061243692,0.42533333333333334,0.4,0.8469085836419751,0.834913330324074
15,2974.5280216605424,1.8274890871683755,0.43348333333333333,0.4,0.8571309125,0.8381702606018518
16,3172.8298897712452,1.716079323387146,0.4517,0.4,0.8736853020061728,0.8524177913580246
17,3371.131757881948,1.7514541269302368,0.4557833333333333,0.4,0.8708899574074074,0.8519173503395062
18,3569.433625992651,1.7293008867899577,0.46558333333333335,0.4,0.872572562654321,0.8550765469753087
19,3767.7354941033536,1.6843107482274373,0.48373333333333335,0.4,0.8806645047839508,0.8608567216203704
20,3966.0373622140564,1.9280778652191162,0.46368333333333334,0.4,0.8568998973765434,0.8414749420061728
21,4164.339230324759,1.6472107885360718,0.49256666666666665,0.4,0.8895968779320989,0.8672856395216049
22,4362.6410984354625,1.6127380191167195,0.4995833333333333,0.4,0.8961024169753087,0.8719267939506173
23,4560.942966546166,1.6737724448521931,0.5014666666666666,0.4,0.8918627276234569,0.8668591508796297
24,4759.244834656869,1.7174687874476116,0.5042666666666666,0.4,0.8854862458333332,0.8641202348611111
25,4957.546702767572,1.676440387471517,0.5350666666666667,0.4,0.8954169320987656,0.8676799873765433
26,5155.8485708782755,1.562914739926656,0.5373833333333333,0.4,0.9084544675925926,0.8804496419598764
27,5354.150438988979,1.564889066505432,0.5466666666666666,0.4,0.9087749976851851,0.880210198888889
28,5552.452307099682,1.647946607208252,0.53195,0.4,0.8987283981481482,0.8724604567283951
29,5750.754175210385,1.657680178896586,0.5431333333333334,0.4,0.8994645962962963,0.8724860881018519
30,5949.0560433210885,1.5995466992696126,0.56375,0.4,0.9062775249999999,0.8787266952006172
31,6147.357911431792,1.6137240863164266,0.56365,0.4,0.9045108910493826,0.8782525854783951
32,6345.659779542495,1.808396144803365,0.4890333333333333,0.4,0.8895729472222221,0.8607904277469136
33,6543.961647653198,1.7131483023961385,0.5669333333333333,0.4,0.8960898225308641,0.8702491495061729
34,6742.2635157639015,1.660796798769633,0.57815,0.4,0.9027096742283952,0.8754298201851851
35,6940.565383874605,1.737201053873698,0.5661833333333334,0.4,0.8937923841049382,0.8696880173765433
36,7138.867251985308,1.6814478479385375,0.5667166666666666,0.4,0.9039001643518519,0.8740323212191359
37,7337.169120096011,1.6740811383565266,0.5782833333333334,0.4,0.9047370091049384,0.8754550177932099
38,7535.4709882067145,1.723577952893575,0.5746166666666667,0.4,0.8972582905864197,0.872375965771605
39,7733.772856317418,1.6453723043441773,0.5719166666666666,0.4,0.9084041839506174,0.8783154672067901
40,7932.074724428121,1.6072973113377889,0.5838333333333333,0.4,0.9114774111111112,0.8827971058796296
41,8130.376592538824,1.6959406909306844,0.5647333333333333,0.4,0.9005177976851853,0.8755856564351852
42,8328.678460649528,1.5791790201187135,0.5936666666666667,0.4,0.9118544035493826,0.8851872764351852
43,8526.98032876023,1.5435359584172568,0.5882833333333334,0.4,0.916580510493827,0.88862332875
44,8725.282196870932,1.6366208032608032,0.58685,0.4,0.909952811265432,0.882667956080247
45,8923.584064981635,1.6598793040593465,0.5884166666666667,0.4,0.9064552138888888,0.8813905417438271
46,9121.885933092337,1.503300571378072,0.5946,0.4,0.9234164444444446,0.8931656035493827
47,9320.18780120304,1.5853082216262817,0.5770833333333333,0.4,0.9139021001543209,0.887999046404321
48,9518.489669313742,1.6161285223007202,0.5951666666666666,0.4,0.9126512290123456,0.8853092347530863
49,9716.791537424444,1.63129732131958,0.5845166666666667,0.4,0.9159556711419754,0.8828102843209877
50,9915.093405535146,1.5360289683024089,0.5970833333333333,0.4,0.9213923103395063,0.8912988427932098
