round,time,loss,acc,jfi
1,132.08866540594354,2.2988300563812256,0.10076,0.4
2,264.1773308118871,2.2905187464904784,0.13618,0.4
3,396.26599621783066,2.2695508259582517,0.19254,0.4
4,528.3546616237742,2.21592764755249,0.16762,0.4
5,660.4433270297177,2.144073834991455,0.18332,0.4
6,792.5319924356612,2.0668444734954834,0.24284,0.4
7,924.6206578416047,2.0057037927246095,0.27886,0.4
8,1056.7093232475484,2.15150246635437,0.23214,0.4
9,1188.797988653492,1.9644788914489746,0.3028,0.4
10,1320.8866540594356,1.9197371967315673,0.3204,0.4
11,1452.9753194653792,1.891082687072754,0.32118,0.4
12,1585.0639848713229,1.865543752975464,0.33394,0.4
13,1717.1526502772665,1.9644533250427245,0.29528,0.4
14,1849.2413156832101,1.8050269247436523,0.35516,0.4
15,1981.3299810891538,1.7964233837509156,0.35958,0.4
16,2113.418646495097,1.736366113243103,0.3798,0.4
17,2245.507311901041,1.7573568838119507,0.36518,0.4
18,2377.5959773069844,1.7452524321746825,0.37196,0.4
19,2509.684642712928,1.8686459677886962,0.32012,0.4
20,2641.7733081188717,1.640924197769165,0.41334,0.4
21,2773.8619735248153,1.7043113712310791,0.39722,0.4
22,2905.950638930759,1.6326616815567017,0.41092,0.4
23,3038.0393043367026,1.5978939038848876,0.4227,0.4
24,3170.127969742646,1.5557917214584351,0.43972,0.4
25,3302.21663514859,1.527409508666992,0.45152,0.4
26,3434.3053005545335,1.5841236694717407,0.4301,0.4
27,3566.393965960477,1.5925178293609619,0.42038,0.4
28,3698.4826313664207,1.541490785446167,0.43728,0.4
29,3830.5712967723643,1.4874669757461547,0.4656,0.4
30,3962.659962178308,1.5343339358139039,0.44958,0.4
31,4094.7486275842516,1.4952333116912842,0.45928,0.4
32,4226.837292990195,1.5555265572738648,0.44,0.4
33,4358.925958396138,1.4529768872070312,0.47594,0.4
34,4491.014623802082,1.5583686489105224,0.44216,0.4
35,4623.103289208025,1.4202116690826416,0.48558,0.4
36,4755.191954613968,1.392219416656494,0.50658,0.4
37,4887.280620019911,1.3944260033798217,0.49918,0.4
38,5019.369285425854,1.4591718286895752,0.47196,0.4
39,5151.4579508317975,1.3587326259994508,0.51534,0.4
40,5283.546616237741,1.3941321547698975,0.49702,0.4
41,5415.635281643684,1.3744867481613159,0.50594,0.4
42,5547.723947049627,1.6436292755508424,0.4286,0.4
43,5679.81261245557,1.3772364488601685,0.51344,0.4
44,5811.901277861513,1.3326513465881347,0.52258,0.4
45,5943.9899432674565,1.464378776473999,0.49334,0.4
46,6076.0786086734,1.3165637976074218,0.53046,0.4
47,6208.167274079343,1.294432147140503,0.53462,0.4
48,6340.255939485286,1.5753509335708618,0.45402,0.4
49,6472.344604891229,1.3725454663467407,0.50616,0.4
50,6604.433270297172,1.312966289024353,0.53072,0.4
