round,time,loss,acc,jfi
1,254.1290206409721,2.5694034088897704,0.1105,0.4
2,488.39491715862204,2.623078045196533,0.12304,0.5333333333333333
3,697.9595521856813,2.6441853259277344,0.1547,0.6545454545454545
4,953.7184809957494,2.801396083068848,0.13498,0.7529411764705882
5,1202.7232691250915,2.639502776489258,0.13254,0.8
6,1424.8994612822944,2.7475555130004885,0.14022,0.8112676056338028
7,1625.9473957164114,2.826770371322632,0.10334,0.8340425531914893
8,1916.998001579992,2.7326700856018067,0.11036,0.8827586206896552
9,2151.5075113945836,2.629194172668457,0.15246,0.8876712328767123
10,2383.9412653689687,2.6398631618499757,0.1728,0.8791208791208791
11,2635.10571675877,2.4801463465881346,0.14868,0.8921658986175115
12,2891.0371277378285,2.5077698210906982,0.19254,0.8930232558139535
13,3176.3654671507543,2.5369559119415284,0.15602,0.9228668941979522
14,3391.2260448082247,2.625696008377075,0.16392,0.9250737463126844
15,3607.5561078824007,2.4211154405212403,0.18814,0.9183673469387755
16,3830.8450693477425,2.910404684753418,0.16788,0.912249443207127
17,4076.032341544096,2.4690898944091795,0.17244,0.9102362204724409
18,4368.8968962193785,2.523582564163208,0.1852,0.9062937062937063
19,4618.538695918698,2.2630183963012693,0.20236,0.9096062992125984
20,4901.152432733938,2.189400152359009,0.21584,0.927536231884058
21,5108.57540233234,2.317598165740967,0.2437,0.9247706422018349
22,5348.959452550637,2.5938165615844726,0.17438,0.9142857142857143
23,5572.599603483872,2.545258863296509,0.18478,0.9240174672489083
24,5800.5890054575675,2.663728331756592,0.18888,0.91610337972167
25,6039.568738638693,2.5434834358215332,0.20324,0.9259259259259259
26,6301.979447658685,2.230098667373657,0.24142,0.9268209083119109
27,6551.2841404598375,2.407799035644531,0.1875,0.929402390438247
28,6819.214836844419,2.2187336190795897,0.25574,0.9312546399406088
29,7102.796755728611,2.355442854766846,0.1883,0.9350938151494093
30,7312.9916514677825,2.2999953562164306,0.21782,0.9387222946544981
31,7624.904222903997,2.4922907653045656,0.22756,0.942734518700184
32,7827.352265688187,2.5211556870269773,0.26822,0.9454125793421811
33,8047.454907646942,2.5565136137390136,0.22452,0.9449023861171366
34,8303.910736483096,2.246807833709717,0.26522,0.9431922488526262
35,8534.638494753775,2.372665172729492,0.24796,0.9468599033816425
36,8765.17058842864,2.3522131410217284,0.25438,0.9494505494505494
37,9038.113775760736,2.239765814361572,0.28746,0.9523478260869566
38,9299.836845036574,2.1813564122772218,0.24454,0.9515650741350906
39,9528.037674248817,2.11032181060791,0.27716,0.9487719298245614
40,9802.67716306742,2.2317522285461426,0.25788,0.9506126995915336
41,10083.16305989476,2.1492345109558104,0.24868,0.9507246376811594
42,10322.320172428674,2.172594647293091,0.26726,0.9499831706496129
43,10515.001129605327,2.371178360671997,0.24592,0.9527858293075684
44,10768.336221245272,2.252074817581177,0.24864,0.9539882968894364
45,10981.423872855918,2.4324396699523927,0.2755,0.9532215357458076
46,11282.054115195308,2.7379119744873046,0.16012,0.9539588616511694
47,11506.647948876482,2.075795986785889,0.29156,0.9485775630703167
48,11757.25414204321,2.2708710787200928,0.22652,0.9442622950819672
49,12038.16138857274,2.5627005545806885,0.2,0.9485432098765432
50,12310.51258935621,2.4305471839141846,0.22458,0.950344499881207
