round,time,loss,acc,jfi
1,253.22700941965275,2.2961849295806886,0.14194,0.4
2,506.4540188393055,2.288696064834595,0.1276,0.4
3,759.6810282589582,2.2785310929870604,0.1781,0.4
4,1012.908037678611,2.263023172531128,0.20606,0.4
5,1266.1350470982638,2.2373705744934083,0.22312,0.4
6,1519.3620565179167,2.1949745988464358,0.24836,0.4
7,1772.5890659375696,2.1542626745605467,0.20638,0.4
8,2025.8160753572224,2.0967747732543947,0.23434,0.4
9,2279.0430847768753,2.0606615238952637,0.26236,0.4
10,2532.270094196528,2.011447536697388,0.28278,0.4
11,2785.497103616181,1.9989373175811767,0.28658,0.4
12,3038.724113035834,1.9924392472839356,0.28866,0.4
13,3291.9511224554867,1.9935348640441894,0.28568,0.4
14,3545.1781318751396,1.9583401883697509,0.30112,0.4
15,3798.4051412947924,1.933562558517456,0.31376,0.4
16,4051.6321507144453,1.9255479374694824,0.31162,0.4
17,4304.859160134098,1.9284728518676757,0.30324,0.4
18,4558.086169553751,1.9479160801696778,0.30514,0.4
19,4811.313178973403,1.8848248080444336,0.33948,0.4
20,5064.540188393056,1.8509775067520142,0.34862,0.4
21,5317.767197812709,1.836674412536621,0.35464,0.4
22,5570.994207232362,1.8094131927490233,0.36332,0.4
23,5824.221216652015,1.7960673833847045,0.36592,0.4
24,6077.448226071668,1.8115505490493775,0.35912,0.4
25,6330.675235491321,1.8372930103302,0.34358,0.4
26,6583.902244910973,1.7576820389556884,0.3822,0.4
27,6837.129254330626,1.7342534674072265,0.38408,0.4
28,7090.356263750279,1.7199979507446288,0.39132,0.4
29,7343.583273169932,1.6885943714141847,0.4,0.4
30,7596.810282589585,1.6934774611663819,0.40204,0.4
31,7850.037292009238,1.6720495949935914,0.40306,0.4
32,8103.264301428891,1.6721584893417358,0.40044,0.4
33,8356.491310848543,1.652569469871521,0.41756,0.4
34,8609.718320268195,1.6369765979766846,0.423,0.4
35,8862.945329687847,1.606591010055542,0.42584,0.4
36,9116.1723391075,1.5925007635498047,0.43256,0.4
37,9369.399348527151,1.624565634765625,0.41932,0.4
38,9622.626357946803,1.5835552991104127,0.43406,0.4
39,9875.853367366455,1.5656953227996826,0.44218,0.4
40,10129.080376786107,1.5665607986068726,0.43118,0.4
41,10382.307386205759,1.5367033109283448,0.45374,0.4
42,10635.534395625411,1.545569987449646,0.44804,0.4
43,10888.761405045063,1.5495553673934936,0.44384,0.4
44,11141.988414464715,1.5109504218673706,0.4611,0.4
45,11395.215423884367,1.5179151504516601,0.45406,0.4
46,11648.442433304019,1.5167109456634522,0.45654,0.4
47,11901.66944272367,1.5456499779891968,0.45388,0.4
48,12154.896452143323,1.4884017603683473,0.46502,0.4
49,12408.123461562975,1.506457322998047,0.45786,0.4
50,12661.350470982627,1.4826119897460937,0.47114,0.4
