round,time,loss,acc,jfi
1,177.23287155331656,2.2990867402648925,0.129,0.4
2,372.62492403750514,2.293952839202881,0.1258,0.5818181818181818
3,577.0069927042448,2.2872638279724122,0.14356,0.6857142857142857
4,770.9262366845294,2.2766589471435545,0.16518,0.8258064516129032
5,961.4936154739287,2.259385008544922,0.20114,0.851063829787234
6,1125.6615060678464,2.2318791871643064,0.19906,0.9
7,1309.2723215043404,2.1920111678314207,0.22012,0.9223529411764706
8,1516.9520787760116,2.1508896732330323,0.23156,0.9225225225225225
9,1715.2654179806914,2.105235467376709,0.25494,0.9257142857142857
10,1891.76918081991,2.0658254539489747,0.27504,0.9195402298850575
11,2085.0416976303572,2.0177995121765138,0.27574,0.9307692307692308
12,2277.5297468178005,2.02965395614624,0.27834,0.9290322580645162
13,2466.0525767606787,1.9606202590942383,0.2979,0.9228668941979522
14,2636.091795631184,2.017240038757324,0.2797,0.9389221556886228
15,2840.40046244594,1.9259448972320556,0.31768,0.935064935064935
16,3037.4105393874574,1.9089302648162843,0.32446,0.9287981859410431
17,3218.249118438019,1.8972494792175294,0.33222,0.9417515274949083
18,3398.909275668267,1.8838882890319824,0.32894,0.9374321880650994
19,3603.290535398251,1.8689517991638183,0.34458,0.9391869918699187
20,3779.561024746903,1.849576349220276,0.35014,0.9411764705882353
21,3993.1432009355467,1.8180185653305054,0.35772,0.944578313253012
22,4187.701315663981,1.9260625408172607,0.3279,0.944390243902439
23,4371.281727207548,1.772616752319336,0.38096,0.9467561521252796
24,4549.57406196824,1.7504573375701904,0.37828,0.9510835913312693
25,4724.744063506865,1.772076664428711,0.38042,0.9541984732824428
26,4916.650619926614,1.8508010733032227,0.34396,0.9496049165935031
27,5109.879366065011,1.7407688425445558,0.3826,0.9506112469437653
28,5322.725188310709,1.7122873767471314,0.38866,0.9546423135464231
29,5529.032858914857,1.6603191339492798,0.4079,0.9550035486160398
30,5727.077361697842,1.6929745133209229,0.4008,0.9542743538767395
31,5898.135907643304,1.62804392036438,0.42106,0.9556246115599751
32,6097.209154985671,1.622197808303833,0.42066,0.9542224810716365
33,6287.856262039668,1.6284452722167968,0.41896,0.9615894039735099
34,6486.672277993459,1.590770673789978,0.43452,0.9648408972352635
35,6682.016046652351,1.5651228375244142,0.44482,0.9707776126795443
36,6865.254077386903,1.5614121759033204,0.44616,0.9735211267605633
37,7067.454027912573,1.5453242028808594,0.44928,0.9709219858156029
38,7257.930721818379,1.564137313270569,0.4387,0.9707563025210084
39,7431.304364081606,1.5937734270858765,0.43536,0.9672496025437202
40,7617.028243873716,1.600530269203186,0.42322,0.9696969696969697
41,7813.3370961685805,1.5181706670761108,0.45688,0.9720274665702927
42,8006.825867006465,1.4980120638275147,0.46812,0.9735770955501897
43,8189.478355044694,1.4850442456817627,0.47226,0.9747611202635914
44,8393.749937595809,1.4800147966766357,0.47194,0.9759294265910523
45,8584.00755582988,1.477160074195862,0.47286,0.9767862526379258
46,8782.286903819011,1.4685871867370606,0.47524,0.9784971098265896
47,8972.2729187281,1.4545679695892333,0.48044,0.9806881243063263
48,9175.015493246978,1.4601550623321533,0.47676,0.98304
49,9374.24371588463,1.4463733393096925,0.48516,0.983764404609475
50,9537.521585860793,1.4273185933685302,0.48804,0.9859502095144195
