round,time,loss,acc,jfi
1,284.8491110230654,2.3611091426086426,0.1,0.4
2,569.6982220461308,2.512097041168213,0.1,0.4
3,854.5473330691962,2.542048589782715,0.1011,0.4
4,1139.3964440922616,2.555238424987793,0.10668,0.4
5,1424.245555115327,2.5241900736236573,0.11812,0.4
6,1709.0946661383925,2.506636890106201,0.14242,0.4
7,1993.943777161458,2.5008053838348387,0.14144,0.4
8,2278.7928881845232,2.530146067047119,0.13676,0.4
9,2563.6419992075885,2.498838546600342,0.15258,0.4
10,2848.4911102306537,2.498096764526367,0.16312,0.4
11,3133.340221253719,2.4845805683135986,0.1736,0.4
12,3418.189332276784,2.4715596718597412,0.15908,0.4
13,3703.0384432998494,2.462812491607666,0.1704,0.4
14,3987.8875543229146,2.458011064529419,0.17214,0.4
15,4272.73666534598,2.465596988372803,0.17254,0.4
16,4557.585776369046,2.4323911669921876,0.17598,0.4
17,4842.434887392111,2.4193878453826905,0.17492,0.4
18,5127.283998415176,2.39628879776001,0.17724,0.4
19,5412.133109438241,2.395521386795044,0.1815,0.4
20,5696.9822204613065,2.389936680755615,0.19034,0.4
21,5981.831331484372,2.3774061796569823,0.19328,0.4
22,6266.680442507437,2.3902579524230956,0.19776,0.4
23,6551.529553530502,2.414911158065796,0.17902,0.4
24,6836.378664553567,2.3483065362548827,0.20262,0.4
25,7121.227775576633,2.3487241450500487,0.2091,0.4
26,7406.076886599698,2.350877409515381,0.21378,0.4
27,7690.925997622763,2.350493945007324,0.2137,0.4
28,7975.775108645828,2.323867639541626,0.22622,0.4
29,8260.624219668895,2.3420864405059816,0.22242,0.4
30,8545.47333069196,2.34232882270813,0.22606,0.4
31,8830.322441715027,2.3093133959960936,0.23654,0.4
32,9115.171552738093,2.3039455023956297,0.23452,0.4
33,9400.020663761159,2.287731162109375,0.23534,0.4
34,9684.869774784225,2.301030541305542,0.2386,0.4
35,9969.718885807291,2.2804247467803953,0.24084,0.4
36,10254.567996830358,2.2897922232055663,0.23814,0.4
37,10539.417107853424,2.3167071891021727,0.2316,0.4
38,10824.26621887649,2.2975776737976075,0.24012,0.4
39,11109.115329899556,2.3012412552642822,0.235,0.4
40,11393.964440922622,2.2966131748962404,0.24124,0.4
41,11678.813551945688,2.2856489933776856,0.2466,0.4
42,11963.662662968754,2.2621741033935545,0.25252,0.4
43,12248.51177399182,2.2810462391662596,0.24088,0.4
44,12533.360885014887,2.286774810638428,0.24248,0.4
45,12818.209996037953,2.249155044631958,0.25416,0.4
46,13103.059107061019,2.259032276763916,0.24844,0.4
47,13387.908218084085,2.2875399769592284,0.24282,0.4
48,13672.757329107151,2.254274356536865,0.24916,0.4
49,13957.606440130217,2.251462328643799,0.25612,0.4
50,14242.455551153284,2.257967562408447,0.24482,0.4
