round,time,loss,acc,jfi
1,340.2754659073362,2.338731035079956,0.1,0.4
2,680.5509318146724,2.464339048614502,0.12064,0.4
3,1020.8263977220086,2.4559281930541994,0.13676,0.4
4,1361.1018636293447,2.409701684036255,0.14548,0.4
5,1701.377329536681,2.411933024139404,0.13544,0.4
6,2041.652795444017,2.4003497299194336,0.13764,0.4
7,2381.9282613513533,2.4111773232269287,0.15774,0.4
8,2722.2037272586895,2.403093576812744,0.14168,0.4
9,3062.4791931660257,2.3811622955322265,0.14912,0.4
10,3402.754659073362,2.3646297846984865,0.1526,0.4
11,3743.030124980698,2.3436352893829344,0.15916,0.4
12,4083.305590888034,2.322423100128174,0.16192,0.4
13,4423.58105679537,2.3361996808624266,0.16264,0.4
14,4763.856522702707,2.339682585525513,0.16188,0.4
15,5104.131988610043,2.353043183898926,0.16118,0.4
16,5444.407454517379,2.3105380758666993,0.16106,0.4
17,5784.682920424715,2.3174454106140137,0.1618,0.4
18,6124.958386332051,2.3123965837860108,0.16428,0.4
19,6465.2338522393875,2.3364072758483885,0.1645,0.4
20,6805.509318146724,2.3237624230957032,0.16668,0.4
21,7145.78478405406,2.324035167160034,0.17098,0.4
22,7486.060249961396,2.3288603049468994,0.16546,0.4
23,7826.335715868732,2.2972321770477295,0.16678,0.4
24,8166.611181776068,2.3010290840148926,0.16956,0.4
25,8506.886647683405,2.3034009924316408,0.16964,0.4
26,8847.16211359074,2.3330326499938967,0.17002,0.4
27,9187.437579498077,2.271330912322998,0.17628,0.4
28,9527.713045405413,2.2591726467132567,0.17694,0.4
29,9867.98851131275,2.284879539871216,0.17226,0.4
30,10208.263977220086,2.256856283493042,0.17812,0.4
31,10548.539443127422,2.2890550203704834,0.17784,0.4
32,10888.814909034758,2.2558205212402345,0.17992,0.4
33,11229.090374942094,2.2697043411254882,0.18502,0.4
34,11569.36584084943,2.26563146484375,0.1851,0.4
35,11909.641306756766,2.244088194961548,0.1869,0.4
36,12249.916772664103,2.2841411045074462,0.18498,0.4
37,12590.192238571439,2.2255872091674807,0.19084,0.4
38,12930.467704478775,2.204387326507568,0.2011,0.4
39,13270.743170386111,2.231762448425293,0.19814,0.4
40,13611.018636293447,2.2203866575622557,0.20494,0.4
41,13951.294102200784,2.232579793395996,0.20822,0.4
42,14291.56956810812,2.178457788696289,0.22298,0.4
43,14631.845034015456,2.188476305770874,0.2198,0.4
44,14972.120499922792,2.1715603886413573,0.22812,0.4
45,15312.395965830128,2.1849964646148683,0.22082,0.4
46,15652.671431737464,2.1519329093933104,0.2405,0.4
47,15992.9468976448,2.1793280902099608,0.231,0.4
48,16333.222363552137,2.191357550125122,0.23104,0.4
49,16673.497829459473,2.1439172047424315,0.24234,0.4
50,17013.77329536681,2.155259116821289,0.2426,0.4
