round,time,loss,acc,jfi
1,273.74023802401314,2.30211628074646,0.10048,0.4
2,523.7035748473639,2.300110082321167,0.10202,0.5714285714285714
3,745.3299123218721,2.2981602953338625,0.10554,0.6545454545454545
4,969.9289288739199,2.296336263809204,0.12556,0.735632183908046
5,1329.6489831377366,2.292928155593872,0.171,0.78125
6,1621.8627092026732,2.2905368830871584,0.17974,0.8044692737430168
7,1827.938699999419,2.2884506686401367,0.18028,0.8305084745762712
8,2063.702652526619,2.285124446334839,0.17888,0.839344262295082
9,2439.035122257486,2.279417338180542,0.17718,0.8415584415584415
10,2680.9021138171543,2.2747787316131594,0.17554,0.8547008547008547
11,2985.5212295168076,2.2684253662109377,0.17374,0.8736462093862816
12,3260.6753975300144,2.2573385541534425,0.18906,0.8902627511591963
13,3533.975565571103,2.245572776184082,0.17662,0.896551724137931
14,3765.0888725772966,2.234639136505127,0.19594,0.9011494252873563
15,3996.460617549912,2.2202012965393068,0.21774,0.910010111223458
16,4242.7799779809675,2.2028091885375978,0.22974,0.9110320284697508
17,4501.711010047131,2.1821780212402344,0.2236,0.9167327517842981
18,4732.739874694133,2.159768536605835,0.24308,0.9237348538845331
19,5071.882921219471,2.132941600036621,0.25952,0.9280205655526992
20,5353.403678386988,2.117506794128418,0.2514,0.9307737056428156
21,5656.800281801869,2.0770687464904785,0.2765,0.934322033898305
22,5893.346716901258,2.0725524565124513,0.2519,0.9398058252427185
23,6163.096046659954,2.042563642730713,0.2832,0.9391921881935198
24,6403.279950869504,2.0292092431640625,0.28118,0.9427168576104746
25,6742.986529461308,2.0176384691619873,0.2816,0.9384384384384384
26,7047.093481151228,2.0014071263122557,0.28522,0.940848990953375
27,7353.121710989864,1.9927899394226074,0.28946,0.9449125081011017
28,7637.660632517611,1.9904382791137696,0.29102,0.9497274379164143
29,8000.216706246384,1.9733832231140136,0.29772,0.9524348810872028
30,8332.29136301795,1.9798320404815675,0.29414,0.9503695881731784
31,8664.367020179816,1.9622232362365724,0.29728,0.9517207229512256
32,8972.299242028625,1.951264328765869,0.30444,0.9558926487747959
33,9323.08386132363,1.9667063404846192,0.29482,0.9556823168056165
34,9629.030637178206,1.9408317517089844,0.30894,0.9561621174524401
35,10026.520103354645,1.935106964416504,0.30994,0.9583414824955995
36,10287.756268343259,1.929298410949707,0.31426,0.9587571666358424
37,10650.914934607415,1.9253955364227295,0.32094,0.9561725161515627
38,10897.93904732624,1.9172517984771729,0.32292,0.9570836785418393
39,11163.63868113828,1.9108044561767579,0.32534,0.9594701151237975
40,11411.597710287055,1.9115126174926758,0.32774,0.9585143028306126
41,11704.173469704896,1.9038615275573731,0.32458,0.957153024911032
42,11954.046936192937,1.8989168101501466,0.33308,0.9580448065173116
43,12281.9634887379,1.8847403372955323,0.33306,0.9593981061097419
44,12528.315990255353,1.8858971171569825,0.33162,0.9593657086223984
45,12751.271494465704,1.8749908731842042,0.33702,0.9618810117563235
46,12964.25477617861,1.8698468100738526,0.34214,0.9615996364462622
47,13241.411068859607,1.86652327835083,0.34228,0.9604347826086956
48,13610.951165865694,1.8570500695800782,0.34548,0.959300510044759
49,13935.094673645523,1.8513153703308105,0.34904,0.9603039696030397
50,14194.180059681805,1.8496550297546386,0.35236,0.9611687812379854
