round,time,loss,acc,jfi
1,250.06358182558918,2.3006618129730225,0.12096,0.4
2,500.12716365117836,2.2988979803466796,0.12194,0.4
3,750.1907454767676,2.297114190444946,0.11726,0.4
4,1000.2543273023567,2.295178944244385,0.11324,0.4
5,1250.317909127946,2.2929071034240724,0.12294,0.4
6,1500.3814909535351,2.29025396194458,0.1242,0.4
7,1750.4450727791243,2.287315626373291,0.13622,0.4
8,2000.5086546047135,2.2838928785705566,0.1615,0.4
9,2250.572236430303,2.279862215423584,0.1803,0.4
10,2500.635818255892,2.274991022872925,0.17616,0.4
11,2750.699400081481,2.2690308833312987,0.19134,0.4
12,3000.7629819070703,2.2616709350585937,0.21064,0.4
13,3250.8265637326595,2.252737322845459,0.2125,0.4
14,3500.8901455582486,2.241776035308838,0.22682,0.4
15,3750.9537273838378,2.2283237077331544,0.22482,0.4
16,4001.017309209427,2.2119279271698,0.23864,0.4
17,4251.080891035016,2.192840591201782,0.25428,0.4
18,4501.144472860606,2.17096330368042,0.25024,0.4
19,4751.208054686195,2.148158184967041,0.25056,0.4
20,5001.271636511785,2.1238571891021727,0.254,0.4
21,5251.3352183373745,2.1006791777801515,0.27164,0.4
22,5501.398800162964,2.080042779464722,0.2689,0.4
23,5751.462381988554,2.063046990280151,0.2669,0.4
24,6001.525963814143,2.0470132122802736,0.27628,0.4
25,6251.589545639733,2.0342574424743654,0.27772,0.4
26,6501.6531274653225,2.0247753002166746,0.28128,0.4
27,6751.716709290912,2.01313979385376,0.2871,0.4
28,7001.780291116502,2.0052417651367187,0.28832,0.4
29,7251.843872942091,2.0015519580841064,0.28744,0.4
30,7501.907454767681,1.9901440605163574,0.2936,0.4
31,7751.971036593271,1.9844294031524659,0.29214,0.4
32,8002.03461841886,1.977319605102539,0.2987,0.4
33,8252.098200244449,1.9723697426605225,0.29716,0.4
34,8502.161782070038,1.9667117810821533,0.30298,0.4
35,8752.225363895626,1.9685833183288575,0.29504,0.4
36,9002.288945721215,1.9555676551818848,0.30686,0.4
37,9252.352527546804,1.9492127796936036,0.31068,0.4
38,9502.416109372392,1.9487331718444825,0.31086,0.4
39,9752.479691197981,1.9382859651947022,0.31466,0.4
40,10002.54327302357,1.9340848321533204,0.3162,0.4
41,10252.606854849158,1.9326306237030029,0.31892,0.4
42,10502.670436674747,1.9225369295501709,0.32,0.4
43,10752.734018500336,1.9192864210510254,0.32324,0.4
44,11002.797600325925,1.9125988847351074,0.32572,0.4
45,11252.861182151513,1.905156544494629,0.3275,0.4
46,11502.924763977102,1.8994399897766114,0.32816,0.4
47,11752.98834580269,1.8934617451477052,0.33452,0.4
48,12003.05192762828,1.8885280049133302,0.33696,0.4
49,12253.115509453868,1.8824587718200683,0.33988,0.4
50,12503.179091279457,1.8779068218994142,0.3393,0.4
