round,time,loss,acc,jfi
1,155.06994669114422,4.559090911378251,0.04015070921985816,0.4
2,310.13989338228845,5.414142129911599,0.06689716312056737,0.4
3,465.2098400734327,5.884834912347455,0.09685283687943262,0.4
4,620.2797867645769,6.138082696360054,0.10438829787234043,0.4
5,775.3497334557211,6.3055522557522385,0.10638297872340426,0.4
6,930.4196801468653,6.566690048867083,0.10993794326241135,0.4
7,1085.4896268380096,6.736631084875012,0.11067375886524823,0.4
8,1240.5595735291538,6.916776515203165,0.11375886524822695,0.4
9,1395.629520220298,7.108048231517169,0.11391843971631206,0.4
10,1550.6994669114422,7.067037990921778,0.11624113475177306,0.4
11,1705.7694136025864,7.256216320687152,0.11941489361702128,0.4
12,1860.8393602937306,7.35001576903864,0.12061170212765958,0.4
13,2015.9093069848748,7.345146133476961,0.12150709219858156,0.4
14,2170.979253676019,7.475375691407116,0.1201950354609929,0.4
15,2326.0492003671634,7.48700002805561,0.12258865248226951,0.4
16,2481.1191470583076,7.56340747102778,0.12443262411347518,0.4
17,2636.189093749452,7.691438739316683,0.1247872340425532,0.4
18,2791.259040440596,7.539621619096039,0.12688829787234043,0.4
19,2946.32898713174,7.520527083349566,0.12653368794326242,0.4
20,3101.3989338228844,7.544751351268579,0.127145390070922,0.4
21,3256.4688805140286,7.651295428445153,0.12914893617021275,0.4
22,3411.5388272051728,7.7659518121489395,0.12937943262411347,0.4
23,3566.608773896317,7.773979734326085,0.12956560283687943,0.4
24,3721.678720587461,7.748601817678898,0.13118794326241134,0.4
25,3876.7486672786054,7.752406752566074,0.13242021276595745,0.4
26,4031.8186139697495,7.798441176448308,0.13287234042553192,0.4
27,4186.888560660894,7.87340715719453,0.1324645390070922,0.4
28,4341.958507352038,7.905454029867835,0.1320921985815603,0.4
29,4497.028454043183,7.859789450084064,0.1349645390070922,0.4
30,4652.098400734328,7.754079473238464,0.1352127659574468,0.4
31,4807.168347425472,7.693614754101909,0.1346985815602837,0.4
32,4962.238294116617,7.7883026999615605,0.13581560283687943,0.4
33,5117.308240807762,7.808853682660042,0.13578014184397164,0.4
34,5272.378187498906,7.8559852656912295,0.13738475177304965,0.4
35,5427.448134190051,7.923421096801758,0.13700354609929077,0.4
36,5582.518080881196,7.899679951228149,0.13759751773049644,0.4
37,5737.58802757234,7.854456528467489,0.13912234042553193,0.4
38,5892.657974263485,7.895941658290566,0.13836879432624113,0.4
39,6047.72792095463,7.933498497279823,0.13832446808510637,0.4
40,6202.797867645774,7.918385958299569,0.13923758865248226,0.4
41,6357.867814336919,7.799031198379841,0.13962765957446807,0.4
42,6512.9377610280635,7.8088825572128835,0.14043439716312056,0.4
43,6668.007707719208,7.687335486986958,0.14060283687943262,0.4
44,6823.077654410353,7.806026023702419,0.1396808510638298,0.4
45,6978.1476011014975,7.8786378408661975,0.14138297872340425,0.4
46,7133.217547792642,7.817359344807077,0.14124113475177305,0.4
47,7288.287494483787,7.88090088945754,0.14152482269503547,0.4
48,7443.357441174931,7.886353582287511,0.14224290780141843,0.4
49,7598.427387866076,7.765631942207932,0.14078014184397164,0.4
50,7753.497334557221,7.889903272263547,0.14324468085106384,0.4
