round,time,loss,acc,jfi
1,308.31485081933846,2.2795418188730876,0.26216666666666666,0.4
2,604.2522956003847,2.253358011754354,0.3692166666666667,0.5714285714285714
3,900.6222295312967,2.2098460253397625,0.4047,0.72
4,1188.6044899375888,2.119663207626343,0.51395,0.7272727272727273
5,1465.0047309101906,1.9155178161621094,0.5232333333333333,0.7407407407407407
6,1785.7340479994134,1.5540443677902223,0.5635166666666667,0.7868852459016393
7,2053.699457149455,1.2298518541336059,0.6176666666666667,0.8132780082987552
8,2368.2509873144118,1.0510303195317585,0.6267,0.8338762214983714
9,2692.105503559674,0.9491057075500489,0.6403166666666666,0.8481675392670157
10,3012.264266428839,0.888954079914093,0.6735,0.8583690987124464
11,3320.974006484623,0.8506368526776632,0.68225,0.8658318425760286
12,3617.50904477009,0.8183108173688253,0.7090166666666666,0.8648648648648649
13,3912.944617754405,0.7906313236554464,0.7136833333333333,0.8790637191157347
14,4215.756247337458,0.7896788022041321,0.7082333333333334,0.9001148105625718
15,4508.54038451966,0.7560534447669983,0.71255,0.9090909090909091
16,4807.127536749198,0.7342389190673828,0.7300833333333333,0.8990342405618964
17,5109.694821188391,0.7191507037798563,0.7376333333333334,0.9059561128526645
18,5398.632207521777,0.7101936098416647,0.7419833333333333,0.9018789144050104
19,5720.383368224479,0.6930612967809041,0.7490166666666667,0.9116161616161617
20,6031.031949208257,0.6824131038029989,0.7505,0.9184845005740528
21,6326.071681766644,0.674616567325592,0.7528,0.925498426023085
22,6586.126713273523,0.6690424148559571,0.7538166666666667,0.9343629343629344
23,6866.766157342161,0.6716819130579631,0.7574333333333333,0.9375276916260523
24,7177.706202062664,0.6530445555369059,0.7557333333333334,0.9454247025030775
25,7480.351034957799,0.64665629752477,0.76485,0.9484066767830045
26,7793.537714757206,0.6406234148979187,0.7644333333333333,0.9487719298245614
27,8072.61964968044,0.638763228003184,0.761,0.9464459591041869
28,8346.81953847528,0.6344470065752665,0.7657,0.9523231096264804
29,8666.149388394111,0.633717151927948,0.7680666666666667,0.9573136027319294
30,8977.765943610326,0.6222790362358094,0.7751333333333333,0.9569377990430622
31,9318.105335271595,0.6213757684071859,0.77275,0.9562189054726368
32,9619.859908828186,0.6124300739606221,0.77895,0.9579045837231057
33,9916.18006024997,0.6060912379264831,0.7766833333333333,0.955892034233048
34,10206.2540039994,0.6070025579134624,0.77925,0.9577464788732394
35,10503.357137320385,0.6007030032793681,0.7824666666666666,0.9605959615761616
36,10807.776397083919,0.5934617683092753,0.7822333333333333,0.9623166883237424
37,11081.417950975578,0.5921070189476013,0.78625,0.9612076531507812
38,11391.464038409804,0.5872696479479472,0.7857833333333333,0.9621855738797268
39,11684.630364028017,0.5897370130221049,0.7863333333333333,0.9646424607578881
40,11974.808164743094,0.5836719294865926,0.78875,0.9685230024213075
41,12270.78504617175,0.5766337235768636,0.7877333333333333,0.9665085525370131
42,12591.593198351353,0.5720242698987325,0.7931333333333334,0.966707768187423
43,12915.56746520829,0.571318745358785,0.7922,0.968189553606493
44,13240.914909454643,0.566035236676534,0.7952666666666667,0.968605378361476
45,13528.137881147526,0.565019429842631,0.7914666666666667,0.9697114809050641
46,13820.175720825535,0.5601259072303773,0.7968166666666666,0.9713105347716319
47,14114.753226323484,0.5589042980353037,0.7969333333333334,0.9724851419766674
48,14423.153698851382,0.554424087826411,0.7939166666666667,0.9721518987341772
49,14713.280388599946,0.5512251274267832,0.7995333333333333,0.9736415247364153
50,15016.119564827291,0.5520050798575084,0.8006666666666666,0.9738994935722634
