round,time,loss,acc,jfi,auc,roc
1,279.35174873411535,2.405539698562622,0.10014,0.4,0.5243399062222223,0.5040807895333334
2,500.2814107239626,2.4277441130065918,0.13342,0.64,0.5888211035555554,0.5275637116444445
3,675.0374711752745,2.763409438018799,0.1,0.72,0.5493072922222222,0.5324935890444444
4,865.3230174419471,2.4632421849060058,0.11382,0.7529411764705882,0.6199281851111111,0.5484025377333334
5,1138.2553432268212,2.6285693328857422,0.10502,0.8333333333333334,0.5860902366666666,0.5348603739777777
6,1405.0571245826818,2.2627990605926516,0.18978,0.8112676056338028,0.6806156186666668,0.6010513419999999
7,1671.422589430263,2.234944373779297,0.19234,0.8,0.6769554975555556,0.6184244155333334
8,1899.0654368714982,2.450746262130737,0.12936,0.8,0.6461958866666667,0.5653106582444445
9,2133.5196534534216,2.2996042266082766,0.22342,0.7902439024390244,0.6958755275555555,0.6114046220444445
10,2366.4630445465345,2.34932332901001,0.17372,0.8080808080808081,0.7030921126666666,0.6072310235111111
11,2600.1253542533773,2.811804921722412,0.16522,0.845414847161572,0.6512706684444445,0.5869696334444445
12,2827.5888905820366,2.3645581451416016,0.19904,0.843956043956044,0.7053833546666667,0.6224275092
13,3009.0879334777064,2.4194267361450197,0.16262,0.8611464968152867,0.7003462393333333,0.6212888696666666
14,3264.7095102475046,2.3217406521606447,0.18842,0.8686980609418282,0.7034988828888888,0.6303894734444445
15,3483.910521933012,2.322660615539551,0.2153,0.8823529411764706,0.7130082722222222,0.6404830041111111
16,3697.0365405010784,2.2552259306335447,0.16896,0.8770877944325481,0.7217678208888888,0.6480982908888888
17,3888.297537860856,2.3927724568176267,0.20388,0.8909441233140655,0.7164586566666666,0.6395545289555555
18,4071.631240814093,2.2164460264587404,0.2289,0.8937931034482759,0.7261602659999999,0.6682646516
19,4297.961972470126,2.062317832107544,0.24688,0.9025,0.7402286888888889,0.7130774909555556
20,4511.791974611235,2.263862630004883,0.22122,0.9221902017291066,0.7347285411111111,0.6722360760888889
21,4767.594642328539,2.3089782182312013,0.20504,0.9296442687747035,0.7397503155555556,0.6684638837555554
22,5008.127645497693,2.184104387359619,0.22402,0.9296518607442977,0.7413916791111111,0.6883059030222223
23,5225.909078628726,2.961246929168701,0.11782,0.9290889132821075,0.7037519862222221,0.6376654639777778
24,5504.914807133528,2.2923870836639404,0.13652,0.9384928716904277,0.7440966282222222,0.6910275091111111
25,5835.14597602189,2.2059553978729247,0.21068,0.9398496240601504,0.7416644666666666,0.7106407748666668
26,6093.471974884057,2.255470173492432,0.22276,0.9405217391304348,0.745312926888889,0.6815001436444444
27,6320.298883149187,2.1947970417785645,0.2624,0.939887187751813,0.7574618462222222,0.6966244942666667
28,6553.8406254773645,2.062415245437622,0.283,0.939625468164794,0.76308219,0.7235958020444445
29,6801.496430350641,2.070882663574219,0.26952,0.9357440890125174,0.7554550817777779,0.7167818907777778
30,7030.518823205354,2.319296886138916,0.21078,0.9455022980958634,0.7594309484444445,0.6911072507111111
31,7288.054381594573,2.5556827333068846,0.2286,0.9544382371198014,0.7493421522222222,0.6545262321777777
32,7495.293225160058,2.4706713180541993,0.20134,0.9564506713368359,0.7448826406666667,0.6601291792666667
33,7720.583662265265,2.279004769744873,0.28884,0.9594713656387666,0.7648853219999999,0.6877779865777778
34,7947.732789900817,2.1165154064178466,0.24172,0.9553719008264463,0.7696020353333333,0.7147749326222221
35,8169.668132879314,2.1243659925842286,0.25548,0.95703125,0.7615339635555556,0.7154042148222222
36,8402.131853480212,2.0739032038116454,0.2672,0.9525034451079467,0.7803318331111111,0.7192107213777778
37,8654.290500564122,2.2054443449401857,0.23584,0.9535916412712233,0.7531335791111111,0.6966371773333333
38,8855.91459344191,2.5849256986999514,0.1914,0.9480508822322528,0.7515307762222222,0.6625266251333333
39,9083.017793148383,1.9494354327392578,0.30486,0.948032723022984,0.7870541973333334,0.7567905530888889
40,9267.52190719877,2.414153970184326,0.2385,0.950965824665676,0.7607765962222223,0.6929080721333334
41,9491.398306030902,2.183893781738281,0.25812,0.9534207727756114,0.7850962393333333,0.7099091668444444
42,9696.320990353697,2.4023312883758545,0.21484,0.9573948439620081,0.7736272851111112,0.7017639885999999
43,9907.345861361904,2.3193473724365234,0.22518,0.9567917205692109,0.7690710993333333,0.7016341773111111
44,10224.223167984006,2.623067149734497,0.2334,0.9613904407200496,0.7722931528888888,0.6742378651111111
45,10483.236520140337,2.3926309588623047,0.22612,0.965435041716329,0.7772090995555555,0.7092709734666667
46,10691.8406612402,2.1904543130493166,0.22942,0.9651083238312429,0.794943026,0.7160489811777777
47,10871.99260080959,2.335490000152588,0.24236,0.9696570644718793,0.7865640313333334,0.7108472157333333
48,11072.566181693019,2.336379939804077,0.25244,0.973435437021389,0.7733634186666667,0.7052949611777778
49,11253.362416061793,2.5749159159851076,0.2008,0.9745306950786403,0.7762260093333333,0.6999847837333333
50,11467.128187218343,2.139709381942749,0.27392,0.9732360097323601,0.7842613082222222,0.7364884222888889
