round,time,loss,acc,jfi,auc,roc
1,342.8256857035411,2.2938737433624268,0.18502,0.4,0.6676919475555556,0.5807330815555557
2,433.8387095518703,2.290205790786743,0.18166,0.5818181818181818,0.6811885933333335,0.5953188306444445
3,744.557210840416,2.260846089706421,0.22832,0.6857142857142857,0.7101005088888889,0.6870949064888889
4,1059.079554725312,2.210119923248291,0.22806,0.6564102564102564,0.7140032551111111,0.7089293186666666
5,1223.0518939966933,2.1698106855773927,0.24482,0.7272727272727273,0.712951081111111,0.7040177685777778
6,1392.7835116052704,2.1181982011413574,0.25348,0.7890410958904109,0.716921341111111,0.7171713692666667
7,1603.9901131725187,2.0667290229797364,0.2676,0.8166666666666667,0.7252524733333333,0.7282158010444445
8,1894.5410050992618,2.019988312072754,0.27712,0.832520325203252,0.735014542,0.7393724917333333
9,2147.4745474087076,1.9979068663024901,0.28762,0.8470588235294118,0.7409808431111111,0.7448341791555555
10,2527.1383151020605,1.9748183862304687,0.29234,0.8695652173913043,0.7505072802222224,0.7533471791777777
11,2788.447894408731,1.944130653076172,0.31096,0.8681614349775785,0.7576367217777777,0.7617293217333333
12,2978.4984639350623,1.9264035302734375,0.31836,0.8861538461538462,0.7650143755555556,0.7664577653777778
13,3106.617032176614,1.9156927767181398,0.32468,0.9013333333333333,0.7672292426666666,0.7695743698888888
14,3339.061105878532,1.8894722204589844,0.33086,0.8833802816901408,0.7766103019999999,0.7796691181111112
15,3739.0781911311296,1.8700348783111573,0.33202,0.8977556109725686,0.7837402186666668,0.7835673759333334
16,3903.4764993664035,1.8644785812377929,0.34166,0.9061946902654867,0.7876667351111111,0.7864782580444444
17,4085.936066751834,1.8297995519256591,0.35306,0.9102362204724409,0.7941441224444445,0.7964315958222223
18,4264.14178694763,1.816430778236389,0.35882,0.9078809106830122,0.798896575111111,0.8008320934444444
19,4621.663762688187,1.785845188369751,0.36994,0.9096062992125984,0.8060451686666665,0.8091306948222222
20,4833.041457370893,1.7753915209960938,0.3755,0.9235209235209235,0.8076570960000001,0.8099107132444444
21,5057.840130988448,1.7563943231964112,0.37726,0.9211488250652742,0.8135822213333335,0.8152548412666667
22,5196.226169240937,1.7467506009292602,0.38046,0.9197149643705463,0.8147957826666665,0.8173216605555556
23,5427.492227788602,1.7468946410369872,0.38324,0.92,0.816977112222222,0.8159177430222222
24,5591.455380405691,1.7171698291015625,0.39422,0.9309090909090909,0.8223707508888889,0.8248032982222222
25,5819.743462754141,1.7011861989593506,0.39904,0.9345794392523364,0.8252026220000002,0.828969563888889
26,6161.380389975504,1.6813752431488038,0.4001,0.9397046046915726,0.8313191762222223,0.8332775532
27,6480.781080362759,1.6530657894515992,0.41782,0.936115569823435,0.8371614677777777,0.8408719158444444
28,6744.353702378299,1.6326331384658814,0.41772,0.9354213273676361,0.841674598888889,0.8448134125555555
29,6847.065230556872,1.6276574292373658,0.42102,0.9357440890125174,0.8437803557777777,0.8458979783777777
30,7035.175985339297,1.6124998500823975,0.4237,0.9411764705882353,0.8456025168888888,0.8488937401111111
31,7161.42111368582,1.6090483837890626,0.42586,0.9473813924830561,0.8464553044444443,0.8491646393555555
32,7398.8998754294325,1.604005173110962,0.4287,0.9525581395348838,0.8478452593333333,0.8496973520888889
33,7654.9033516546215,1.5786341703033446,0.4395,0.9542168674698795,0.8533562175555554,0.8565200966444445
34,7989.461081085675,1.5582884921264648,0.44386,0.9543859649122807,0.8572422871111112,0.8596255812222222
35,8173.343001745569,1.5519290176010132,0.44666,0.9621993127147767,0.8588037946666667,0.8606647352888889
36,8318.542806415508,1.5551007764053344,0.44646,0.9635687732342008,0.8584789055555555,0.8611585498
37,8513.970745106757,1.5506499932098388,0.44508,0.9666372462488967,0.8603392146666666,0.8613354329777778
38,8784.185175567662,1.5202406921768188,0.45752,0.9662902551233793,0.8642264573333331,0.8674983357777777
39,8908.92741005936,1.5181669778442384,0.45748,0.968019093078759,0.8643627124444444,0.8678200485777777
40,9190.532706628563,1.5075165768814087,0.46278,0.9667673716012085,0.8665711084444444,0.8690313411555555
41,9447.536611183144,1.5041819019317626,0.46338,0.9706243233489715,0.868116779111111,0.8708364299333333
42,9740.438146850174,1.4756826913833618,0.47372,0.9735770955501897,0.8724026886666666,0.87605568
43,9908.67191725179,1.4719429834365845,0.47338,0.9718791064388962,0.8732099542222223,0.8764564645555555
44,10093.640009091987,1.4756446041488647,0.47522,0.9731699654414074,0.8732528791111112,0.8760277807333333
45,10405.997006068163,1.4529620370483398,0.48102,0.97708082026538,0.8760513675555556,0.8797708988888888
46,10550.395302391777,1.4760790300750732,0.4747,0.976239907727797,0.8746809717777777,0.8742163663777778
47,10695.072305985184,1.450872709274292,0.48144,0.9793294541424217,0.8774654284444445,0.8795933843333335
48,10968.76316345806,1.4348798258972169,0.49028,0.9780843725126028,0.8795279344444445,0.8829974818
49,11179.353335693084,1.4273542244720459,0.4923,0.9770091556459817,0.8810127204444445,0.8844866034666667
50,11381.712384928585,1.4209174954605102,0.49766,0.9775171065493646,0.8818815622222222,0.8856931227333333
