round,time,loss,acc,jfi,auc,roc
1,222.63187832139823,2.480478706665039,0.12472,0.4,0.5495817304444446,0.5101737718444445
2,445.26375664279647,2.6265396103668213,0.12818,0.4,0.5664534371111112,0.5163291003777778
3,667.8956349641946,2.6225149250030517,0.14208,0.4,0.5834431928888889,0.5271504761777778
4,890.5275132855929,2.6496813934326173,0.1337,0.4,0.5863784124444444,0.5322564642666667
5,1113.1593916069912,2.623636151275635,0.139,0.4,0.5983604875555555,0.539951388088889
6,1335.7912699283895,2.6110589054107667,0.141,0.4,0.6078760071111111,0.5455967775111111
7,1558.4231482497878,2.5898183012390135,0.1523,0.4,0.6239559091111111,0.5533136406222223
8,1781.055026571186,2.544336148071289,0.15272,0.4,0.6419646537777778,0.5626503588666667
9,2003.6869048925844,2.599155947265625,0.15206,0.4,0.6325261702222222,0.5609669557111112
10,2226.3187832139824,2.5865579541778563,0.15842,0.4,0.646621750888889,0.5672806142888889
11,2448.9506615353807,2.5739746575927733,0.15758,0.4,0.6502607077777778,0.5708480890888888
12,2671.582539856779,2.572033620223999,0.1619,0.4,0.6596141528888889,0.5750177615777777
13,2894.2144181781773,2.5953835918426513,0.1593,0.4,0.6611461624444445,0.5762376902888889
14,3116.8462964995756,2.6195322996520995,0.15334,0.4,0.6591180213333334,0.5763567990888889
15,3339.478174820974,2.562309723358154,0.16332,0.4,0.6797000206666667,0.5878254235333333
16,3562.110053142372,2.561940339202881,0.16558,0.4,0.6841317764444445,0.5910659086888889
17,3784.7419314637705,2.5543640785217283,0.16588,0.4,0.6890114173333333,0.5953680714666666
18,4007.3738097851688,2.5417252938842774,0.17028,0.4,0.6952995055555555,0.6014217897555556
19,4230.005688106567,2.5199275819396973,0.17846,0.4,0.7035896786666667,0.6090462189333333
20,4452.637566427965,2.506462230682373,0.1887,0.4,0.7094926471111112,0.6156787409777777
21,4675.269444749363,2.5175943878936766,0.1736,0.4,0.7095186273333333,0.6183822982222222
22,4897.9013230707615,2.521415301742554,0.17814,0.4,0.7127582188888889,0.621743803088889
23,5120.53320139216,2.4706113370513916,0.18348,0.4,0.7189820444444445,0.6312028112
24,5343.165079713558,2.500144457168579,0.18972,0.4,0.7226777662222222,0.6323912598222222
25,5565.796958034956,2.4877807942962646,0.19806,0.4,0.7251052422222222,0.635405864
26,5788.428836356355,2.4861597193908693,0.19348,0.4,0.7260726591111111,0.6394335522444444
27,6011.060714677753,2.479043683319092,0.20042,0.4,0.728537069111111,0.6426013062222222
28,6233.692592999151,2.4505558658599855,0.20468,0.4,0.7335773726666666,0.6494582875111112
29,6456.3244713205495,2.4210114751434326,0.22474,0.4,0.7365747895555556,0.6550489796222222
30,6678.956349641948,2.425802792816162,0.22784,0.4,0.738158156,0.6561248893333333
31,6901.588227963346,2.4402114557647705,0.22278,0.4,0.7387568404444445,0.6567346256666666
32,7124.220106284744,2.4419183889007567,0.21924,0.4,0.7408028811111111,0.6592537473555555
33,7346.851984606143,2.3934259101867674,0.24022,0.4,0.7441791862222222,0.6676794744444444
34,7569.483862927541,2.4361842094421386,0.23298,0.4,0.742285561111111,0.6640243420444444
35,7792.115741248939,2.4275022396850585,0.22662,0.4,0.7445904122222223,0.6667881167555555
36,8014.7476195703375,2.4145083628845216,0.23972,0.4,0.748187622,0.6714817233555556
37,8237.379497891736,2.3829658583068847,0.2592,0.4,0.7496640297777779,0.6773080312
38,8460.011376213133,2.4170805711364745,0.23086,0.4,0.7489901591111111,0.6713498183111111
39,8682.64325453453,2.3839176835632325,0.25252,0.4,0.7520661262222222,0.6778314601333334
40,8905.275132855928,2.364720728302002,0.25676,0.4,0.7539271193333332,0.6809430471111111
41,9127.907011177325,2.3603663579559324,0.259,0.4,0.7555443497777777,0.6843379377777778
42,9350.538889498723,2.3550333670043946,0.26132,0.4,0.7555946266666667,0.6851068512888888
43,9573.17076782012,2.3844244773864745,0.25128,0.4,0.7562762991111112,0.6826541821555556
44,9795.802646141517,2.396241799850464,0.24622,0.4,0.7566567168888889,0.680380289311111
45,10018.434524462915,2.36645985458374,0.26384,0.4,0.7584533962222223,0.6874325533555556
46,10241.066402784312,2.3786649192810057,0.25992,0.4,0.7599558768888889,0.6871441348444444
47,10463.69828110571,2.3798482344055176,0.25432,0.4,0.7609328535555557,0.6870280310222222
48,10686.330159427107,2.3841590189361574,0.26184,0.4,0.7613968793333334,0.6876100344888889
49,10908.962037748504,2.359219216461182,0.26292,0.4,0.7628931395555555,0.6920083624444444
50,11131.593916069902,2.352694992980957,0.2741,0.4,0.764377714,0.6942489445333333
