round,time,loss,acc,jfi,auc,roc
1,276.3465387034878,2.3712616548156737,0.10032,0.4,0.583451356,0.5190410446444444
2,540.9658708075999,2.562750285415649,0.1,0.8,0.5567068342222222,0.5114332508444445
3,864.0061422827328,2.383387540969849,0.10006,0.8727272727272727,0.5973124651111111,0.5307456817333334
4,1145.3878381640689,2.406987514190674,0.10416,0.9142857142857143,0.6467725148888889,0.5390921979333333
5,1445.897199766087,2.390143048171997,0.10208,0.9090909090909091,0.63814532,0.5458452105333333
6,1708.4572848599537,2.5039811338043214,0.11176,0.9442622950819672,0.5873364817777779,0.5375886095111111
7,1953.8874283794635,2.577623439178467,0.14052,0.9619631901840491,0.6198590184444444,0.5389282098888889
8,2214.9263386611365,2.6275012697601317,0.12878,0.9525581395348838,0.5939670006666666,0.5353468098222223
9,2526.2053314619116,2.5180528594207763,0.13478,0.9635687732342008,0.6044124322222222,0.5424789632444444
10,2778.9085025026634,2.3287618072509764,0.12612,0.9696969696969697,0.6396923457777779,0.5762932653777778
11,3043.276785294747,2.3662279679870606,0.1496,0.9777777777777777,0.6411109479999999,0.5762954053777778
12,3315.5385847089574,2.3248115733337404,0.13368,0.976271186440678,0.6526734804444445,0.5832369368666667
13,3593.9017292494013,2.324164894485474,0.13388,0.976173285198556,0.6550805615555555,0.5871582840222223
14,3870.0147181622015,2.366865073013306,0.18506,0.9830721003134796,0.6352535313333333,0.5798023591333333
15,4164.747104543918,2.3271093674468992,0.15924,0.9863013698630136,0.6516026822222223,0.5869615179111112
16,4443.5474118703405,2.2916416732025144,0.1488,0.9858002406738868,0.6613145439999999,0.6000614692444444
17,4734.677808361669,2.3731160933685302,0.16162,0.9786243386243386,0.6456503444444445,0.5837380730888889
18,5065.376520422678,2.3378025508117677,0.1548,0.9808893093661306,0.6590370506666666,0.5936791483333334
19,5294.963184761576,2.3808404473114013,0.16128,0.9881950384944397,0.6545590324444444,0.5849776177111111
20,5584.089405152775,2.281347205429077,0.1582,0.9861325115562404,0.6706898966666667,0.6084445702
21,5837.656751712756,2.408286429519653,0.16524,0.9847871598046057,0.6477404953333333,0.5838803035555555
22,6131.923788371257,2.351700883026123,0.1429,0.9883854499042757,0.6726987664444446,0.6031728185333334
23,6413.846317823104,2.4977363050079346,0.18882,0.9853317811408615,0.6691106579999999,0.5836918047333334
24,6687.999386127606,2.6013309519195555,0.1294,0.9877813504823151,0.6480870942222223,0.5755375941777778
25,6946.036597238227,2.34252145904541,0.1776,0.9861932938856016,0.680399457111111,0.606048232688889
26,7216.09670493948,2.2894994801330566,0.17448,0.9859617137648131,0.6902468086666668,0.6213161593555555
27,7496.506715680451,2.4623452603912352,0.12278,0.9893129770992366,0.6808696066666668,0.6008036648
28,7768.459469506068,2.261765365753174,0.17738,0.98849487785658,0.6979582228888888,0.6346302873555555
29,8040.875012308036,2.2653997801208496,0.2222,0.9886847905951506,0.6987408515555555,0.6314535226222222
30,8292.944578154169,2.4489296840667722,0.19862,0.9907120743034056,0.6900003484444445,0.6031816673111111
31,8539.983695164428,2.257175842437744,0.20156,0.9907216494845361,0.7104171715555556,0.6408976357555556
32,8816.36982690333,2.3242518926239013,0.20226,0.9905683192261185,0.7086303493333334,0.6343913624444444
33,9105.431559583041,2.2314007794952393,0.18068,0.9897188298778756,0.718465016,0.6549996732666666
34,9350.447627737549,2.5682023361206054,0.14236,0.9898849344393899,0.7011772833333333,0.6124928768
35,9614.703033165377,2.2834578596496584,0.23456,0.9914011127971675,0.7175014317777778,0.6436883829111111
36,9891.930607029546,2.2513316093444824,0.20702,0.9914415491274206,0.7224972775555555,0.6565020145111111
37,10128.827160034567,2.442726824645996,0.16768,0.9927033763879447,0.7058576720000002,0.6267380538666666
38,10414.8516095621,2.1653215132141113,0.24378,0.9930797335052655,0.7294140962222222,0.6773914136444443
39,10707.310297313908,2.328098684539795,0.17186,0.9937117190690078,0.7120292708888888,0.6464819499111112
40,10965.939402178146,2.2265953726959227,0.14224,0.9926328034121753,0.7299054355555555,0.6843564558
41,11255.124362769993,2.079145076446533,0.26948,0.9924723247232472,0.7389371560000001,0.7012334936
42,11503.779523260037,2.201390533065796,0.2436,0.993278198134788,0.7327273184444444,0.6753346207555555
43,11786.667559480205,2.1928813986206053,0.23994,0.9925851367220265,0.7351086688888889,0.6749871935555557
44,12042.936735848514,2.349576609573364,0.16532,0.993776066730831,0.7322243411111111,0.6574887514222223
45,12330.38939371233,2.1829871949768065,0.2496,0.9941699907947223,0.7446157264444444,0.6852629419333334
46,12596.506174117409,2.131408502044678,0.23286,0.9931358169551188,0.7418651617777778,0.6956001402444445
47,12830.469165491133,2.3272042481231687,0.1619,0.9926695688807752,0.744034902,0.6748534295777777
48,13141.79426642922,2.3452410704803466,0.17056,0.9921679450948728,0.7333254102222223,0.6635795275333334
49,13392.396883428322,2.222483142089844,0.23826,0.9924050632911392,0.7440205702222222,0.6812260383333333
50,13660.81132641094,2.2223715221405027,0.23142,0.9924327006574867,0.7341966082222222,0.6760770263111111
