round,time,loss,acc,jfi,auc,roc
1,196.77803922346527,2.300438740386963,0.09886,0.4,0.5876362126666667,0.5283863880666666
2,393.55607844693054,2.2975006979370116,0.13156,0.4,0.6387899222222222,0.5537393574666667
3,590.3341176703958,2.2944732286834717,0.14304,0.4,0.6609359277777778,0.5653108877333334
4,787.1121568938611,2.291142015533447,0.18372,0.4,0.6737761126666666,0.5770916783777778
5,983.8901961173264,2.2872861164093017,0.1874,0.4,0.6811185135555556,0.5839550385333333
6,1180.6682353407916,2.282833808670044,0.18914,0.4,0.6860976404444445,0.5902141745333334
7,1377.4462745642568,2.27746277885437,0.20076,0.4,0.6885705988888888,0.6112333156444445
8,1574.2243137877222,2.2706482722473145,0.19688,0.4,0.6903753511111113,0.6173012174444444
9,1771.0023530111876,2.2618990033721924,0.21246,0.4,0.6925476755555556,0.6430149230444445
10,1967.780392234653,2.251337398223877,0.21942,0.4,0.692762852888889,0.6598293309777779
11,2164.5584314581183,2.238354022064209,0.2158,0.4,0.6932320940000001,0.6618890825555556
12,2361.3364706815837,2.222557246017456,0.2202,0.4,0.69456392,0.6667990676222222
13,2558.114509905049,2.2046159001159666,0.22306,0.4,0.6967848235555556,0.6684043283555555
14,2754.8925491285145,2.1821945191192627,0.2562,0.4,0.6993790397777778,0.695050613488889
15,2951.67058835198,2.160151430206299,0.24732,0.4,0.7015329386666667,0.6951277487111113
16,3148.4486275754452,2.1388723292541503,0.2481,0.4,0.7050517600000001,0.696929011
17,3345.2266667989106,2.1148380177307127,0.2755,0.4,0.7105903537777778,0.7140390402444445
18,3542.004706022376,2.093316167221069,0.27108,0.4,0.7148727880000001,0.7169543433555556
19,3738.7827452458414,2.073255600967407,0.2741,0.4,0.7194475451111112,0.7241633839999999
20,3935.560784469307,2.053714044113159,0.2883,0.4,0.7233787148888889,0.7312568594444444
21,4132.338823692772,2.0404854431915282,0.28364,0.4,0.7266340751111111,0.7296805276
22,4329.116862916238,2.0257177183532713,0.27956,0.4,0.7305012668888888,0.7327636479333333
23,4525.894902139703,2.008687688217163,0.29664,0.4,0.7345855162222223,0.7415643041777777
24,4722.672941363168,2.012904655761719,0.28878,0.4,0.7344133157777778,0.7339493062444444
25,4919.450980586634,1.991114846343994,0.29954,0.4,0.7401100482222223,0.7458047781999999
26,5116.229019810099,1.9833810497283935,0.2978,0.4,0.7427857937777778,0.7477350517555557
27,5313.0070590335645,1.975764896621704,0.29768,0.4,0.7455299897777778,0.7498424773555555
28,5509.78509825703,1.9800192106628418,0.30282,0.4,0.7477200231111112,0.7501065220222223
29,5706.563137480495,1.9599509394836425,0.30682,0.4,0.7505392142222223,0.7552597221777777
30,5903.341176703961,2.0168129995727537,0.27848,0.4,0.7435274984444444,0.7321138517333334
31,6100.119215927426,1.9521811036682128,0.30564,0.4,0.7543391817777778,0.7570077628
32,6296.897255150891,1.9391102310943604,0.31196,0.4,0.7585084004444445,0.7627123921333334
33,6493.675294374357,1.931765122833252,0.31794,0.4,0.7605845473333335,0.7654006398444444
34,6690.453333597822,1.9423119522094727,0.31452,0.4,0.759720956888889,0.759512719
35,6887.231372821288,1.9226304038238526,0.32078,0.4,0.7664908144444444,0.7701684910888889
36,7084.009412044753,1.9138973588562012,0.32458,0.4,0.7671087613333333,0.7706852834888889
37,7280.787451268218,1.9154271669006349,0.32532,0.4,0.7674798117777777,0.7691438974888889
38,7477.565490491684,1.8963954926300048,0.33624,0.4,0.7725337791111111,0.7776315066222221
39,7674.343529715149,1.890953599395752,0.33708,0.4,0.7741904955555556,0.7788186741333334
40,7871.1215689386145,1.8908267135620118,0.33546,0.4,0.7768984515555555,0.7794608646222223
41,8067.89960816208,1.8881199409484863,0.33588,0.4,0.7762460413333333,0.7776385539555555
42,8264.677647385544,1.870080062942505,0.345,0.4,0.7820373302222222,0.7863134482222222
43,8461.45568660901,1.866103187637329,0.34578,0.4,0.7826408662222222,0.7855062728000001
44,8658.233725832475,1.8602923881530762,0.3474,0.4,0.784926492888889,0.7873989079555556
45,8855.01176505594,1.8536582582855226,0.35182,0.4,0.7894104197777778,0.7909628232888889
46,9051.789804279406,1.8424892110443116,0.35394,0.4,0.7905143544444444,0.7926122938666667
47,9248.567843502871,1.830375174484253,0.36196,0.4,0.7932311104444445,0.7975051496444444
48,9445.345882726337,1.8320657809448242,0.35608,0.4,0.7932701684444445,0.7943942524
49,9642.123921949802,1.8193538341522217,0.3652,0.4,0.7960255231111112,0.7991267642444445
50,9838.901961173267,1.8130771633911134,0.36704,0.4,0.7973002593333334,0.800472949
