round,time,loss,acc,jfi,auc,roc
1,270.8947152254479,2.3020695362091064,0.10038,0.4,0.5563197795555556,0.5141228346888889
2,541.7894304508958,2.2996940139770508,0.1357,0.4,0.6092189782222223,0.5417709701777778
3,808.7938837393206,2.297728257446289,0.14136,0.4090909090909091,0.6328403008888889,0.5655230049555555
4,1089.266733967664,2.2956895109558104,0.11932,0.423841059602649,0.6455847095555555,0.5742782653111111
5,1356.2711872560888,2.2935164646148682,0.12492,0.423728813559322,0.6572769595555557,0.5877872501333333
6,1636.7440374844323,2.291030323486328,0.11822,0.42857142857142855,0.6642403346666665,0.5998928882222222
7,1904.563204564724,2.288275414352417,0.12764,0.43171806167400884,0.6708272908888888,0.6140959101555554
8,2189.301822581778,2.284939143218994,0.12868,0.43537414965986393,0.6741456344444445,0.6115320258
9,2454.7190383463194,2.2810760607910154,0.1524,0.44141689373297005,0.6783161337777779,0.6289622637111111
10,2728.901522822202,2.276300801010132,0.15222,0.44692737430167595,0.682197676888889,0.6320208670888889
11,3011.730393717719,2.2703350818634034,0.15686,0.44939647168059427,0.6845188364444444,0.6360445680666666
12,3286.7501635712033,2.2628206480407713,0.19074,0.45750595710881653,0.6884062964444444,0.6482489014666666
13,3584.213678208181,2.2539330793762207,0.20602,0.46364883401920437,0.6907884197777777,0.6609442911555556
14,3862.381321452061,2.242472385787964,0.21148,0.46833930704898447,0.6951881904444445,0.673541949111111
15,4163.450980122447,2.229540279312134,0.24036,0.47796070100902815,0.6959802582222222,0.6898251241333333
16,4451.086235348646,2.2125927589416503,0.23858,0.4807511737089202,0.697550914,0.6921267938000001
17,4742.6734410585095,2.1938156438446046,0.24406,0.4929637526652452,0.699438714,0.6926587228
18,5027.8972661087955,2.172514332885742,0.24294,0.4982698961937716,0.7018986615555556,0.694556769088889
19,5322.7655553914565,2.150846295013428,0.26378,0.509347442680776,0.7030285077777778,0.7038027114222223
20,5629.557087977003,2.128618718185425,0.26466,0.5172971225347559,0.7076192960000001,0.7057082257777778
21,5906.135636204731,2.1065366288757326,0.24582,0.5246876859012493,0.7131343093333333,0.7073396522000001
22,6217.7341372685605,2.0857222161102293,0.26538,0.5358427899252699,0.7177282962222222,0.7139732548
23,6492.01861912596,2.061478386001587,0.27356,0.5411764705882353,0.723671882,0.7250791758222221
24,6797.021371634032,2.043445483932495,0.2807,0.5515920517117548,0.7282271826666668,0.7292303413555555
25,7098.407187080882,2.0262286730957033,0.29112,0.5585344057193923,0.7323991617777779,0.7382500728
26,7383.649839650023,2.011763140716553,0.28244,0.5643915675224379,0.7375984953333333,0.7406099814666667
27,7694.962200398246,2.0003575129699707,0.2961,0.5731132075471698,0.7402726937777777,0.7457011843555554
28,7981.626234904253,2.00962548828125,0.27772,0.5800961894191639,0.7397267628888888,0.7353282703777778
29,8304.724684320641,1.9849717735290526,0.29976,0.5886264216972878,0.7441145471111111,0.7475463208888888
30,8589.107615887635,1.9730785614013673,0.30024,0.5962239152037099,0.7479417315555555,0.7528831527111112
31,8914.157966516335,1.9688142527008057,0.30182,0.6058313632781718,0.7503439368888889,0.7530992001111112
32,9213.394569375581,1.960201097793579,0.30544,0.6151997596875939,0.7523213257777778,0.7563056595555555
33,9542.930640978413,1.958955534286499,0.31112,0.6249641319942612,0.7547533446666665,0.7582361170888889
34,9844.555033882809,1.9461316079711914,0.31214,0.6337719298245614,0.7572426208888888,0.7620331361777777
35,10175.563687730102,1.9422334979248046,0.3107,0.643297886306945,0.7595828602222222,0.7616027801555556
36,10474.875830381101,1.9392246658325196,0.31274,0.6516656191074796,0.7597370653333333,0.7621377337999999
37,10800.466998840251,1.9321957020568847,0.31662,0.6577777777777778,0.7637297615555555,0.7665403532000001
38,11112.796699813598,1.9217037602996827,0.31512,0.6683638046748438,0.7651646373333333,0.7685212936222222
39,11439.010382939343,1.9167546366882324,0.3244,0.6756996890270991,0.7666607457777778,0.7710768075111112
40,11766.51384229457,1.9224456719970704,0.3193,0.6844919786096256,0.7657395262222222,0.7668231944888889
41,12101.594583489996,1.9071847835540772,0.32832,0.6917695473251029,0.7710130591111112,0.7741319232888889
42,12438.16728216871,1.8986122987365723,0.33352,0.7034193998604327,0.7726933804444445,0.7758985435777778
43,12751.3154887838,1.892297293548584,0.33768,0.7101978106395237,0.7738794057777778,0.7771205135777777
44,13096.867071380519,1.8852133097839356,0.33456,0.7165725918386231,0.7768014644444444,0.7798923537111111
45,13429.8886723703,1.8776568360900878,0.33952,0.7260666905700968,0.7784127482222222,0.7821699638444444
46,13767.887150025403,1.8715642639923096,0.3413,0.7327504112198078,0.7802166224444445,0.7841457029555555
47,14120.246736589552,1.8754434645080567,0.34254,0.742833123160992,0.7819019526666666,0.7820453567333334
48,14440.984381185546,1.8600397766113281,0.34308,0.7479305307579939,0.783933951111111,0.7867822390888889
49,14819.3415680644,1.8569518902587892,0.34772,0.7569356872635561,0.7843426457777778,0.7871389969999999
50,15146.719162364645,1.851682967300415,0.34974,0.7641170627340108,0.7872525560000001,0.7897148442222222
