round,time,loss,acc,jfi,auc,roc
1,441.80843346030656,3.8282559678233263,0.037411347517730495,0.4,0.8022355611284561,0.6086207392750455
2,920.9310617032709,3.754640237321245,0.11156028368794327,0.64,0.8764442100855047,0.7345782140052951
3,1316.1367594813166,3.252025716727507,0.29449468085106384,0.7578947368421053,0.91017834831753,0.8796766902506052
4,1841.5899857248019,1.8997333168138004,0.4971897163120567,0.7111111111111111,0.9533004663088445,0.9512921921472164
5,2278.846335541279,1.5142723023637812,0.5724556737588653,0.7692307692307693,0.9681557763837498,0.9676587746053009
6,2790.848045233298,1.340940230078731,0.6189539007092199,0.7783783783783784,0.9733913041470732,0.9739691052224393
7,3263.110822956966,1.251905702597706,0.6407358156028369,0.8166666666666667,0.976450517982642,0.9772789392776968
8,3731.3627766066957,1.2126687594677539,0.6487854609929078,0.8126984126984127,0.9782132497719446,0.9786876876902967
9,4135.304720847091,1.125633344278268,0.6727393617021277,0.8049689440993789,0.980375784381745,0.9815487393230207
10,4552.722345962695,1.0816142713600863,0.6837145390070922,0.837696335078534,0.982011345751105,0.9829931862764494
11,5006.4634283389705,1.0338928025157739,0.695363475177305,0.856637168141593,0.9835051286745811,0.9845692068538099
12,5550.8332322459755,1.0032034361616093,0.7042730496453901,0.8501845018450185,0.9845435324240028,0.9853630879745015
13,5968.132843698742,0.9676969061506555,0.7109042553191489,0.8666666666666667,0.98561652308819,0.9864329430893367
14,6424.69878247826,0.9409309875542391,0.7180585106382978,0.8591780821917808,0.9864969266336467,0.9873029999770715
15,6843.696356909157,0.9127654911271224,0.7264893617021276,0.8955223880597015,0.987290509968586,0.98804824273295
16,7206.493231931181,0.8703656971370075,0.738741134751773,0.8962800875273523,0.9882578083644902,0.9891417645939331
17,7718.4320037503385,0.8508094271869524,0.7417464539007093,0.9066666666666666,0.9887300505014005,0.989614769928459
18,8186.499374990825,0.824159162162889,0.7505762411347517,0.9094736842105263,0.9893722737755678,0.9902155234532014
19,8695.336358385708,0.8034833594585987,0.7547074468085107,0.9139240506329114,0.9898965480939715,0.9907005365006025
20,9223.901828506529,0.7825328293590681,0.7592730496453901,0.9195402298850575,0.9903393037246894,0.991183967278541
21,9751.433569712326,0.7557822325212735,0.7672517730496454,0.9321003963011889,0.990841194415536,0.9917469462314015
22,10182.258625054015,0.7816787736297499,0.7569503546099291,0.9363966142684401,0.990755889849291,0.9913743460145269
23,10586.716737775181,0.7105701496415104,0.7800265957446808,0.9383592017738359,0.9917292050907727,0.9926916758483357
24,10938.104994296653,0.7035792707213273,0.7811702127659574,0.9394495412844037,0.9919677026721011,0.9928789867895021
25,11485.027906902847,0.6879176367428286,0.7858599290780142,0.9487666034155597,0.9923629151168541,0.9932250342655308
26,11896.995135296114,0.6766912237972232,0.7855762411347518,0.950439367311072,0.9925889354234121,0.9934382563267405
27,12432.303497872756,0.6543668986381368,0.7940602836879432,0.9537203597710547,0.9929143904097929,0.993844070258117
28,12802.108611834527,0.6403042421780579,0.7975886524822695,0.9553693830921554,0.9932079896042116,0.9940781492449707
29,13295.002617335309,0.6340712328160063,0.7991134751773049,0.9584045584045584,0.9933614040898988,0.9942226937839591
30,13751.407402769482,0.6149693072264921,0.8042375886524823,0.9574468085106383,0.9936319151345204,0.9945295724728576
31,14244.984663008188,0.6067758482229625,0.8072340425531915,0.9634085213032582,0.9938447087958681,0.9946809608321003
32,14788.658668525093,0.5982107603634503,0.8087234042553192,0.9631981187536743,0.9939694769262644,0.994838656971446
33,15203.80345982334,0.5799719071388245,0.8152216312056738,0.9594713656387666,0.9941968625131694,0.9951325983795158
34,15699.59579554793,0.5716084563309419,0.8162677304964538,0.9623309053069719,0.9943849134594384,0.9953027397679917
35,16167.3929721962,0.5632275213248341,0.8180673758865248,0.9640924741760944,0.9945138442815935,0.9954202485273107
36,16665.348246440728,0.5563335727799869,0.8213741134751773,0.9662628145386766,0.9946255091093639,0.9955624333517445
37,17127.66155938808,0.5463900489671856,0.8221985815602837,0.9687748783724016,0.9947790177883135,0.995693467919105
38,17463.944158152706,0.5474446308359187,0.8204698581560284,0.9699412258606214,0.9948379906400965,0.9957040193755428
39,17841.907924532487,0.5342395660555954,0.8271719858156028,0.9672496025437202,0.994920976992111,0.9958285742149486
40,18309.5502151426,0.521617159031807,0.8311436170212766,0.96932979931844,0.9950994658768244,0.9960539957977547
41,18777.798303435793,0.5247398468450452,0.8280939716312057,0.9685271876125315,0.9951809183160526,0.9960618640002786
42,19196.04044357833,0.5139199211411443,0.8327659574468085,0.9705639614855571,0.995269360128225,0.9961725950468465
43,19762.808245516444,0.5101539518139887,0.831604609929078,0.9709222185756482,0.995352335800185,0.9962582981545905
44,20140.12409702278,0.4967317137481473,0.8376152482269503,0.9725588697017269,0.9954502519047436,0.996407518716492
45,20494.5905174717,0.49319334924643765,0.8382712765957446,0.9782608695652174,0.9955265083770173,0.9964506101068683
46,20985.574693379735,0.4878192347499496,0.8399290780141844,0.9801968731905037,0.9955771715441595,0.996512856916452
47,21462.827389004535,0.48491122113897445,0.8393439716312057,0.9796008869179601,0.9956437508030115,0.9965935408265799
48,21914.44376466698,0.4772937410435778,0.8422340425531915,0.978343949044586,0.9957243275982246,0.996667826150514
49,22347.47464059111,0.4733663837453152,0.8449024822695036,0.9785022924095772,0.9957841530475896,0.9967422599077282
50,22916.020517482935,0.4687038937697174,0.8446187943262411,0.9811135638950208,0.9958396620284717,0.9967908758428888
