round,time,loss,acc,jfi,auc,roc
1,335.8443805678101,3.792807757871371,0.0701418439716312,0.4,0.860078295559667,0.7144848616011195
2,671.6887611356202,3.595540031947143,0.19806737588652482,0.4,0.926643794045187,0.8709027542281806
3,1007.5331417034304,3.1412059259752856,0.38395390070921986,0.4,0.9455156538682675,0.9300785913669352
4,1343.3775222712404,2.4738246647855067,0.5192730496453901,0.4,0.9569102341822774,0.9543381465328422
5,1653.0961694108942,2.032663278309166,0.5485549645390071,0.4166666666666667,0.9634349002498973,0.9624217041490276
6,1988.9405499787042,1.6863196372309475,0.5611081560283688,0.4143884892086331,0.9686888575312852,0.9676446307115312
7,2298.659197118358,1.5921336216960393,0.5371187943262411,0.421505376344086,0.9710033166387219,0.9681478615296679
8,2634.5035776861682,1.3650349599080729,0.6132978723404255,0.419672131147541,0.9748848013991676,0.9751343032637264
9,2944.222224825822,1.324883326672493,0.6131382978723404,0.4235294117647059,0.9762977446214283,0.9761152012746905
10,3280.0666053936325,1.2451964283327683,0.6307358156028369,0.42216358839050133,0.9785894924324186,0.9787199361874006
11,3589.7852525332864,1.14048963813917,0.6707978723404255,0.4245614035087719,0.9806946403792786,0.9817779512274324
12,3962.8140679226035,1.094609551632658,0.6802482269503546,0.42905027932960893,0.9820479418009302,0.9831783384421956
13,4298.658448490413,1.068673817451964,0.684290780141844,0.4278481012658228,0.9830843999736611,0.983888656268384
14,4608.377095630067,1.0666796452272023,0.6816578014184397,0.4290013679890561,0.9835743343033712,0.9839714093634642
15,4981.405911019384,0.99640522594993,0.7046719858156029,0.4316546762589928,0.984753196628636,0.9858406198163038
16,5537.038733105855,1.0153922599427243,0.6921187943262411,0.4376068376068376,0.9851641796593946,0.9854313525966935
17,5914.396440961292,1.010811351850523,0.6903900709219858,0.4437619961612284,0.9855572796616431,0.9856478949759562
18,6470.0292630477625,0.8911588135171444,0.7294237588652482,0.4480553154710458,0.987702008010844,0.9886775689802353
19,6847.3869709032,0.8663418856411116,0.7370124113475177,0.4526645768025078,0.9882254910416021,0.9892563817750606
20,7455.581574174733,0.8409309693262087,0.7444946808510639,0.4647785039941903,0.98896736448376,0.9899060488481534
21,7791.425954742543,0.869904402333794,0.7372695035460993,0.4626885245901639,0.9884724011733604,0.9890471241668157
22,8388.57210411664,0.8790817051069111,0.7264893617021276,0.46990291262135925,0.9889606603806916,0.9891125508357609
23,8999.887510285158,0.7852367168622659,0.7579343971631206,0.4798185941043084,0.990350319076665,0.9911752755030337
24,9314.83070970017,0.7913214902336716,0.7583156028368795,0.4820083682008368,0.9902876337415843,0.9909637474366845
25,9692.188417555608,0.7852372241358385,0.7564804964539007,0.4837929366231253,0.9905736537108774,0.9912103824036986
26,10318.067580191824,0.7496459992726644,0.7662056737588653,0.4909668633681344,0.9911374951016291,0.9919739345206219
27,10644.220055731057,0.7671559887913102,0.7655141843971631,0.4973987206823028,0.9914122301077961,0.9917269400743528
28,11021.577763586494,0.7083258910382048,0.7784929078014184,0.4983710766785856,0.9918250411944958,0.9927847360818611
29,11658.66620234693,0.6951642855346626,0.7831382978723405,0.50854119425548,0.9921651057325395,0.9930355003396227
30,11769.725665623922,0.7703936336226497,0.7547429078014184,0.5108194395175594,0.9914749074529113,0.9916901422695678
31,12414.680345759525,0.6781438553586919,0.787854609929078,0.5224600747536527,0.9925141859630359,0.9934099265075227
32,12740.832821298758,0.6610659264165459,0.793927304964539,0.5266473802635808,0.9927145316996866,0.9936697945259007
33,13134.095234534836,0.6516384054075741,0.7949113475177305,0.530249543517955,0.9929096923501904,0.9938837829514963
34,13734.193755902777,0.6356509500023321,0.8011790780141844,0.5401869158878505,0.9932185714905181,0.994151186811016
35,14394.46604266748,0.6206149518912566,0.8027127659574468,0.5455051489006402,0.9934835886910269,0.9944299234265208
36,15035.40842298544,0.6097735646599574,0.8070833333333334,0.5532550693703309,0.9936908779888093,0.9946608478890293
37,15195.686085128522,0.6080046482627274,0.806267730496454,0.5646816189739624,0.9937628699073003,0.994665797732924
38,15804.263166135188,0.5948019700016536,0.8115425531914894,0.5778889444722362,0.9939782236901276,0.9949015326049028
39,16243.550256591865,0.5842901120625489,0.8140602836879433,0.5861271676300578,0.9941305447951998,0.995067236625517
40,16851.34466761414,0.5755108065977165,0.8172606382978723,0.5975723622782446,0.9943130361708553,0.9952071651214331
41,17318.830772117584,0.5642905069242978,0.8211258865248227,0.606311992786294,0.9944040175875604,0.9953576506675317
42,17715.980274543494,0.570668629517792,0.8163297872340426,0.6173228346456693,0.994498447256591,0.995328085314995
43,18380.037232120903,0.5489970475900258,0.8237056737588653,0.625983918747355,0.9947005591369874,0.995640539874789
44,18568.07100368279,0.5584002738641509,0.8206028368794326,0.638680412371134,0.9946505290240519,0.9955136516425243
45,19176.648084689456,0.5376723896696213,0.8275443262411347,0.6489084718606049,0.9949118043510382,0.9958400204416004
46,19635.38363219105,0.5310773916785598,0.8295301418439717,0.6549816212033275,0.9949526421892668,0.9959046309432085
47,20261.424833973706,0.531374554600276,0.8273936170212766,0.6637370892018779,0.9950426422053269,0.99589743069856
48,20802.082521522676,0.5195222025391057,0.8320212765957447,0.6711086837793555,0.995167018185001,0.9960938314381916
49,21261.38279792628,0.5228729389745292,0.8308244680851063,0.686,0.9952275606835874,0.9960683004305304
50,21843.23693832021,0.5073449252852311,0.8353457446808511,0.691085003455425,0.9953370860475125,0.9962675011580452
