round,time,loss,acc,jfi,auc,roc
1,202.78396216513238,2.6589368998209637,0.1,0.4,0.6755269793209877,0.5547596141203703
2,388.4910225579209,3.0319166253407794,0.19403333333333334,0.5818181818181818,0.7183118146604939,0.609419655324074
3,592.941579042511,2.356884344355265,0.28708333333333336,0.6545454545454545,0.8159581677469137,0.7042045936111112
4,810.3231377478561,3.4317295241038006,0.299,0.7314285714285714,0.709732263425926,0.6546685241049383
5,1025.1343525193895,2.3911597180684407,0.34541666666666665,0.7692307692307693,0.7956480699074074,0.7383439175154322
6,1191.2226259001868,2.77390950050354,0.36135,0.7578947368421053,0.8029459850308645,0.729595622037037
7,1376.9595106029153,2.249266676712036,0.3395166666666667,0.8,0.8560656061728397,0.7901345641975308
8,1566.1837553271175,2.195909063212077,0.3081833333333333,0.832520325203252,0.8506390973765432,0.7942280077469135
9,1737.467433998909,2.0641034000396727,0.2847166666666667,0.8697986577181208,0.8846599208333334,0.81072051625
10,1919.2766401636188,2.5928040087382,0.24388333333333334,0.8888888888888888,0.8653977435185187,0.7835280792901235
11,2105.1057325672427,1.851348248799642,0.40878333333333333,0.9175355450236967,0.8726420817901234,0.8355520629320987
12,2298.0415621379066,2.0724080788930257,0.3412833333333333,0.9290322580645162,0.8653678566358025,0.8214440266358024
13,2511.563198723061,1.961919707361857,0.35623333333333335,0.9260273972602739,0.8861162600308642,0.8425956271759258
14,2755.9538781174333,1.5972922276178996,0.4757166666666667,0.9333333333333333,0.9126210904320986,0.871989794243827
15,2983.896576639062,1.3992123041788738,0.44556666666666667,0.9498680738786279,0.9062409069444444,0.89099980875
16,3197.923017241964,1.5633041423161824,0.44055,0.968321513002364,0.9254309162037038,0.8775538140123458
17,3374.5925503648846,1.6466482394536337,0.42215,0.9734736842105263,0.9255180057098764,0.869269068904321
18,3537.3382181463016,2.014893102645874,0.43783333333333335,0.9707865168539326,0.8983761305555555,0.8532279126234568
19,3743.798389668222,1.7991359051386515,0.45563333333333333,0.9756756756756757,0.9097377703703703,0.868351051095679
20,3891.4923693241763,2.0659629962921144,0.3411166666666667,0.974124809741248,0.9139278288580247,0.8539348991666666
21,4099.852109508196,1.2973091157913208,0.47975,0.9772853185595568,0.928853087345679,0.9060829393518518
22,4318.033538580325,1.2364145893732708,0.48861666666666664,0.9765447667087012,0.935881849382716,0.9163975730092592
23,4509.836188915256,1.3331967358907064,0.5151,0.9751152073732718,0.928328061419753,0.9095042610339508
24,4676.535354365497,1.601004185040792,0.4674833333333333,0.9752380952380952,0.9169885714506172,0.8860925153703704
25,4848.161858669351,1.5938272714614867,0.4685166666666667,0.9746588693957114,0.910866973919753,0.8855127753549382
26,5067.377357758114,1.637610384941101,0.4118,0.9779385171790235,0.9282435027777776,0.8831258566820989
27,5261.41990054608,1.6487348501205443,0.4667,0.978523489932886,0.9293857876543209,0.8908492112191357
28,5451.003367437694,1.4822474344889323,0.46558333333333335,0.9777084957131722,0.9270647783950616,0.8958567938117283
29,5622.736128569553,1.4691600329717,0.49255,0.9757795503988398,0.9345301077160494,0.9023916662191358
30,5809.327927320887,1.605717054049174,0.49051666666666666,0.9742895805142084,0.9326730915123458,0.8933853900462962
31,5986.793256029079,1.4682625990549723,0.50295,0.9774952320406866,0.9267432888888889,0.9022799378549382
32,6178.7352780336305,1.6624270243326822,0.43488333333333334,0.9764004767580453,0.9289203845679012,0.8834602985648147
33,6375.721567480613,1.204563846206665,0.54465,0.9794266441821248,0.941097223765432,0.9237416879629631
34,6541.594257409406,1.4222699875513714,0.53455,0.9796610169491525,0.9288512023148149,0.9021719344290123
35,6732.582729714933,1.8075862113952637,0.4306,0.9804902451225613,0.9194463641975309,0.885396151574074
36,6887.274768919193,1.7521034763971965,0.4849333333333333,0.9794992914501653,0.9100196385802469,0.8810576572067902
37,7102.964328406568,1.0569674179712931,0.5488833333333333,0.9822421524663677,0.9454111581790124,0.9371284064814814
38,7294.504439322191,1.4581727654774983,0.5357,0.9810615711252654,0.9252645270061729,0.9042314436265432
39,7472.708067395293,2.0636303768157958,0.41891666666666666,0.9793158953722334,0.9179596865740741,0.8700091050771604
40,7695.212453865597,1.5099377801895142,0.4825833333333333,0.9800918836140888,0.9288568277777776,0.9081539341512346
41,7957.628047413699,1.0706126873016357,0.5482833333333333,0.9812477198102882,0.9465559839506174,0.9362325098302469
42,8167.939123812583,1.1781894650141398,0.5549833333333334,0.9820459290187892,0.9445384138888887,0.9302934192901235
43,8386.629995023206,1.06570527566274,0.5933,0.9854763491005996,0.9450042226851852,0.9390139428549382
44,8580.776294057721,1.1876865442911784,0.5786,0.9858688733290898,0.9430787672839507,0.9293887948456789
45,8768.046651702736,1.3892482516606648,0.5146166666666666,0.9839052535681749,0.934132839660494,0.9160756894907407
46,9009.40648982832,1.0392364205042521,0.5500833333333334,0.9841860465116279,0.9505364177469137,0.9409563833487655
47,9154.10411768503,1.3947009169896443,0.5300166666666667,0.9839643652561247,0.9416347257716049,0.9110275058333335
48,9336.925423755361,1.392726798248291,0.5041833333333333,0.9827779258864303,0.9412888555555556,0.913614498425926
49,9516.199347712092,1.8227210475921631,0.45138333333333336,0.9840163934426229,0.9321091121913581,0.8876024334722221
50,9714.243584066524,1.5151156989415486,0.46658333333333335,0.9813542688910697,0.936402113271605,0.9064860143672839
