round,time,loss,acc,jfi,auc,roc
1,245.40016493519687,3.167186534500122,0.1,0.4,0.6185748953703705,0.5465406268981481
2,601.9830688812106,3.2291682249704996,0.20256666666666667,0.49230769230769234,0.6893448797839505,0.5736377095679012
3,994.9868450945161,2.910272565841675,0.11301666666666667,0.6260869565217392,0.746992987191358,0.6863491227006173
4,1259.2721245893686,2.5370387121836346,0.28086666666666665,0.6564102564102564,0.820442847530864,0.7244112068981481
5,1576.0006584947084,2.054034886932373,0.2885,0.7547169811320755,0.8525184395061729,0.7774911963580247
6,1915.8688920499578,2.1036524529774985,0.3072166666666667,0.8228571428571428,0.8568020899691359,0.7909117783641975
7,2171.806602408609,2.1996727848052977,0.28085,0.843010752688172,0.8433735010802469,0.7868162100462963
8,2393.0451189918876,1.9775258253733317,0.26998333333333335,0.8533333333333334,0.8962590464506173,0.8264209930246914
9,2628.8292760622517,1.9492354473114013,0.36128333333333335,0.8816326530612245,0.8968586331790123,0.826888925787037
10,2918.2428620091378,1.7749473866780598,0.32998333333333335,0.8791208791208791,0.8746624601851852,0.8358677896296296
11,3254.863754892217,1.7757773326237996,0.3619,0.8760180995475113,0.877880637962963,0.8469501616512345
12,3636.5958636706355,1.9687080816904703,0.36161666666666664,0.8727272727272727,0.8729579336419754,0.8384434139814814
13,3854.626987262199,2.044665611139933,0.33415,0.895364238410596,0.8983391216049383,0.8527594927777776
14,4202.572405283748,1.4599989720026652,0.45715,0.9037463976945245,0.930925950617284,0.8891611777932098
15,4510.237328743585,1.7217194658915203,0.4363166666666667,0.9045226130653267,0.916007598765432,0.8664728835493827
16,4779.802603611914,2.0890506193796794,0.3374333333333333,0.9061946902654867,0.8977485853395063,0.8396723906635803
17,5000.710020503466,1.4226078379313152,0.45298333333333335,0.9102362204724409,0.9294277410493829,0.8879745706944444
18,5235.5541995380045,2.309477139790853,0.35308333333333336,0.9047120418848168,0.9046531841049381,0.8446180850617284
19,5487.027596889499,1.5302544578552246,0.46595,0.9110410094637224,0.9324762770061727,0.8922685569598766
20,5842.002716646455,1.6035632563908895,0.44838333333333336,0.903954802259887,0.918116924074074,0.8798169575308641
21,6105.943975485083,1.5232392169316609,0.4886333333333333,0.9092783505154639,0.9258407512345679,0.8919132776851851
22,6399.464150439118,1.320408567937215,0.48815,0.9057309941520468,0.9315294989197531,0.905256519058642
23,6692.400927340182,1.5750119844436645,0.4591166666666667,0.9071811361200429,0.9133705591049383,0.8837326515277779
24,7091.76783386068,1.245845090675354,0.5003666666666666,0.9206793206793207,0.9413920308641975,0.9151924329166666
25,7380.283756616958,1.2266037949879964,0.5348166666666667,0.9345794392523364,0.9323660942901235,0.9188238889351852
26,7612.369977089641,1.5058306051254273,0.48285,0.9300085984522786,0.9268398711419753,0.8950175558179012
27,7917.409806722314,1.2400608594258626,0.5024166666666666,0.9279236276849642,0.9383606776234567,0.9229500116358025
28,8205.24009675216,1.2022122660954793,0.5659833333333333,0.9424492862509392,0.932659700617284,0.9212064618364197
29,8476.490587164464,1.5611672323226928,0.47408333333333336,0.9416375087473758,0.9168138012345679,0.895548269861111
30,8736.519239117468,1.671722322845459,0.4754,0.9405617243631613,0.9126803472222221,0.8839913928395062
31,9083.731490452312,1.3070578985214234,0.5321333333333333,0.9398533007334964,0.9362159586419752,0.9145219039814815
32,9387.602347860931,1.1318275265375772,0.55745,0.9443227665706052,0.9405621746913579,0.9295027468518519
33,9586.631671391337,1.8628823109308879,0.40176666666666666,0.9459283387622149,0.9204209175925925,0.8828916745216048
34,9822.0921206693,1.4844543482462564,0.5108,0.9446373850868233,0.9306727320987654,0.8969107788734568
35,10040.471019112232,1.6421458407084146,0.4219333333333333,0.9477756286266924,0.9262336493827161,0.8945760605246914
36,10360.481238597391,1.3905514822006226,0.4879833333333333,0.9503208065994501,0.9298835944444445,0.90865657904321
37,10635.133453211656,1.2946098960240682,0.4578,0.9519339417644502,0.9410349077160495,0.9144047916358025
38,10943.571353684994,1.2332988415400188,0.5446333333333333,0.9590701535907016,0.9449865935185185,0.9241706483487654
39,11209.800268100218,1.13805761051178,0.5617333333333333,0.9626582278481013,0.9421798726851852,0.93006577779321
40,11495.82792243008,1.284934179051717,0.5429,0.9627679578789018,0.9380900154320988,0.9204120138117283
41,11885.628309565845,1.125841878827413,0.5673333333333334,0.9585174625801853,0.942120400925926,0.933301224521605
42,12115.247164878578,1.620488535118103,0.44293333333333335,0.9580448065173116,0.9308420533950615,0.8953560803703704
43,12478.561615264878,1.54929877020518,0.5006666666666667,0.9580310880829016,0.9373194868827159,0.9024873279629629
44,12746.996689074673,1.3370241566340129,0.5327,0.9622864243553899,0.9445980029320988,0.9102749571296296
45,13061.092872708996,1.2445467761357625,0.5153,0.9622809622809623,0.9429439294753088,0.9198851254166667
46,13364.967445544544,1.4124768858591716,0.5150333333333333,0.9604539007092199,0.930683362962963,0.9120000021450616
47,13644.27879873558,1.3858512397130331,0.5029833333333333,0.9617414965986395,0.9347856671296297,0.915876292515432
48,13950.669778606518,1.2908895544052124,0.4750666666666667,0.9640167364016736,0.9372613362654322,0.9144936188117284
49,14247.818523643278,1.4699004629135133,0.5441333333333334,0.963531477301229,0.9344916152777778,0.9079544020679012
50,14456.101984638493,1.3524389486312867,0.5004833333333333,0.9664170089393573,0.9432343305555555,0.91383027029321
