round,time,loss,acc,jfi,auc,roc
1,174.3227695734389,2.242925189590454,0.31745,0.4,0.902708761882716,0.7950558383487654
2,348.6455391468778,2.053192702102661,0.5617833333333333,0.4,0.9102744760802468,0.8989164096759259
3,522.9683087203167,1.6124180819829306,0.6195333333333334,0.4,0.9278513395061727,0.9260168525771605
4,697.2910782937556,1.2100815683364867,0.6445166666666666,0.4,0.9459809916666666,0.9464597516203703
5,871.6138478671945,1.0019586873054505,0.6575833333333333,0.4,0.9533291016975308,0.9562833774537037
6,1045.9366174406334,0.9103795873006185,0.6864833333333333,0.4,0.9576316922839506,0.9593829714351851
7,1220.2593870140722,0.8531664010365804,0.6949333333333333,0.4,0.9604950969135804,0.9623243230401235
8,1394.5821565875112,0.8118523938179016,0.7060833333333333,0.4,0.9609939825617285,0.9655262878703703
9,1568.9049261609503,0.770388499546051,0.7310333333333333,0.4,0.9639154222222223,0.9683817299074073
10,1743.2276957343893,0.7534249677975973,0.7178666666666667,0.4,0.9633384918209877,0.9693621178703704
11,1917.5504653078283,0.7217291813532511,0.7428833333333333,0.4,0.964117037654321,0.9722164969598766
12,2091.8732348812673,0.714899933052063,0.7485,0.4,0.9661619172839506,0.9721255065895062
13,2266.1960044547063,0.6820601998329162,0.7569,0.4,0.9670009486111111,0.9748442263117285
14,2440.5187740281453,0.672231321366628,0.7581833333333333,0.4,0.9677564509259259,0.9755850595679012
15,2614.8415436015844,0.6647325804710388,0.7647,0.4,0.968045025308642,0.9759088649074075
16,2789.1643131750234,0.6536953133583069,0.7657833333333334,0.4,0.9681771270061728,0.9766549177160494
17,2963.4870827484624,0.6449222376187642,0.7670333333333333,0.4,0.9686266734567901,0.9772163368055555
18,3137.8098523219014,0.6421864519755045,0.7673833333333333,0.4,0.9689894370370371,0.9772604513580248
19,3312.1326218953404,0.6256417889595032,0.7746166666666666,0.4,0.9698442308641976,0.9786595031172839
20,3486.4553914687795,0.6248024508794149,0.77065,0.4,0.9700152929012347,0.9785691730709876
21,3660.7781610422185,0.6342724769592285,0.75685,0.4,0.969752387654321,0.977641999074074
22,3835.1009306156575,0.617080367565155,0.7741,0.4,0.9712053439814815,0.9789596180246913
23,4009.4237001890965,0.6037248811086019,0.7785833333333333,0.4,0.9719251339506172,0.9797715605709876
24,4183.7464697625355,0.5970651608784994,0.7825,0.4,0.9722366083333333,0.9802776791666667
25,4358.069239335974,0.5983629481315613,0.7828,0.4,0.9721940362654321,0.9801543750462962
26,4532.392008909413,0.5873988383611043,0.7855333333333333,0.4,0.9729578479938272,0.9808100958487654
27,4706.714778482851,0.5829393540700276,0.7898,0.4,0.9731930172839505,0.9811688827006173
28,4881.03754805629,0.5881942062060038,0.78375,0.4,0.9738136208333333,0.9807072942129629
29,5055.360317629728,0.5719616821289063,0.7865,0.4,0.9742247922839505,0.9818086536419754
30,5229.683087203167,0.565337581539154,0.79125,0.4,0.9745536074074075,0.9822867263734567
31,5404.0058567766055,0.5702735719680786,0.79,0.4,0.9745017641975308,0.9818148929012347
32,5578.328626350044,0.5649159569740295,0.79315,0.4,0.9745625095679014,0.9822716307098766
33,5752.651395923483,0.5561862625439962,0.7993,0.4,0.9752548018518519,0.982968998919753
34,5926.974165496921,0.5546708528518677,0.7956166666666666,0.4,0.975640052314815,0.9830156279012346
35,6101.29693507036,0.5627514210065205,0.7920166666666667,0.4,0.9752007425925926,0.9822714002160493
36,6275.619704643798,0.5601795962333679,0.7934833333333333,0.4,0.975432763117284,0.9823773426697531
37,6449.942474217237,0.5492161869049073,0.8008333333333333,0.4,0.9758012325617283,0.9832270273919752
38,6624.265243790675,0.5396218762874603,0.8025333333333333,0.4,0.976606638580247,0.9837015735339507
39,6798.588013364114,0.5322137355804444,0.80765,0.4,0.9767467483024692,0.984210777021605
40,6972.9107829375525,0.5311295250574748,0.8051166666666667,0.4,0.9770792290123456,0.9842642684876544
41,7147.233552510991,0.5415097842375437,0.8000166666666667,0.4,0.9768314052469135,0.983517349197531
42,7321.55632208443,0.527918297958374,0.8085,0.4,0.9773957675925924,0.9844564226080247
43,7495.879091657868,0.5248714653174082,0.8092,0.4,0.9775188117283949,0.9845668074074074
44,7670.201861231307,0.5250777806599934,0.80665,0.4,0.9775694962962962,0.9844874410493827
45,7844.524630804745,0.5190005745093028,0.8037,0.4,0.9783780949074075,0.9849423136728395
46,8018.847400378184,0.5165009553750356,0.8106833333333333,0.4,0.9782925856481481,0.985056948888889
47,8193.170169951623,0.5119381378650665,0.8148,0.4,0.9786978341049382,0.9854006483487654
48,8367.492939525062,0.5036786440690358,0.8147,0.4,0.979202585648148,0.9858138947376544
49,8541.8157090985,0.5069597577253977,0.8116,0.4,0.9790815214506173,0.98560419904321
50,8716.138478671939,0.5021583785533905,0.8189,0.4,0.979248325154321,0.9859457738734568
