round,time,loss,acc,jfi,auc,roc
1,296.07709039762966,2.300967644805908,0.1022,0.4,0.586572334888889,0.5241793605999999
2,592.1541807952593,2.298652771911621,0.11386,0.4,0.6277095831111111,0.5436958504222221
3,888.2312711928889,2.2967035459136964,0.13272,0.4,0.649213489111111,0.5623060950444444
4,1184.3083615905186,2.2947660120391844,0.11918,0.4,0.663004279111111,0.5790713996222222
5,1480.3854519881484,2.292623137512207,0.11696,0.4,0.6733167248888889,0.5831788038666667
6,1776.462542385778,2.290274554901123,0.1318,0.4,0.6800991011111112,0.5887099129777777
7,2072.539632783408,2.287560182723999,0.12954,0.4,0.6844937379999999,0.5946593787555556
8,2368.6167231810373,2.2843453919982912,0.14924,0.4,0.6892432922222224,0.6002664681777778
9,2664.693813578667,2.280587463684082,0.15796,0.4,0.6920890204444443,0.6058145910666666
10,2960.7709039762963,2.276139192504883,0.17514,0.4,0.6947027746666666,0.6135957326666667
11,3256.8479943739258,2.2708751971435546,0.17064,0.4,0.6958410184444445,0.6217519589111111
12,3552.9250847715552,2.2642805541229247,0.19112,0.4,0.6975886653333332,0.6401825327333335
13,3849.0021751691847,2.2563292207336425,0.20392,0.4,0.6987453595555555,0.6514598591111112
14,4145.079265566815,2.2465536273956297,0.22016,0.4,0.6994060617777778,0.6563953402444446
15,4441.156355964445,2.2341615788269045,0.23002,0.4,0.698652794888889,0.6609696330444444
16,4737.233446362075,2.219083411026001,0.23912,0.4,0.6996321526666667,0.6751788296888889
17,5033.3105367597045,2.202374758834839,0.229,0.4,0.698162714,0.6725882093999999
18,5329.3876271573345,2.182497503128052,0.26084,0.4,0.6995227253333334,0.6946378946666667
19,5625.464717554964,2.1610828386688232,0.25238,0.4,0.7017006242222223,0.6970703138000001
20,5921.541807952594,2.140383695526123,0.2504,0.4,0.7042292542222223,0.6991258314888888
21,6217.618898350224,2.123489063720703,0.26212,0.4,0.7090963295555555,0.7090153405333334
22,6513.695988747854,2.0994427976989747,0.2563,0.4,0.7131253313333334,0.7079885789555556
23,6809.773079145484,2.0770437255096437,0.28044,0.4,0.7190923044444444,0.7211252041333333
24,7105.850169543114,2.058693631439209,0.27006,0.4,0.7233190744444444,0.7209164638222223
25,7401.927259940744,2.0386275148010253,0.28168,0.4,0.7293183706666667,0.7327040416888889
26,7698.004350338374,2.021787148590088,0.29202,0.4,0.7333810377777777,0.7395575718444445
27,7994.081440736004,2.016491398925781,0.2829,0.4,0.7348066142222222,0.7344720109111111
28,8290.158531133633,2.0097417739105223,0.27918,0.4,0.737159254,0.7358961270222222
29,8586.235621531263,1.9884296952819824,0.29148,0.4,0.742793480888889,0.7474586234
30,8882.312711928893,1.98122268409729,0.2947,0.4,0.7446234971111111,0.7483898922
31,9178.389802326523,1.9722193418121339,0.2972,0.4,0.7470863762222222,0.7516804914666666
32,9474.466892724153,1.9744011547088622,0.29672,0.4,0.7483429393333334,0.7521692248444445
33,9770.543983121783,1.9591934967803954,0.30834,0.4,0.7507547397777777,0.7561971181111111
34,10066.621073519413,1.954173543624878,0.30504,0.4,0.753867054,0.7585976701333335
35,10362.698163917043,1.95419543800354,0.30476,0.4,0.7556836739999999,0.7582122470222222
36,10658.775254314673,1.9482213136291504,0.3076,0.4,0.7561079088888889,0.7586215286222221
37,10954.852344712303,1.9353157111358643,0.3144,0.4,0.7589370273333332,0.7643282895333333
38,11250.929435109932,1.9321638369750977,0.31276,0.4,0.7605940866666666,0.7647361984222222
39,11547.006525507562,1.9226229713439942,0.32388,0.4,0.7625443424444445,0.7688843172222222
40,11843.083615905192,1.917419238433838,0.31918,0.4,0.7654574206666667,0.7702240668444444
41,12139.160706302822,1.9116980431365966,0.32368,0.4,0.7672340853333333,0.7713539557555555
42,12435.237796700452,1.9069098750305176,0.32504,0.4,0.7691813588888889,0.7737596636888889
43,12731.314887098082,1.8977165940856933,0.32948,0.4,0.7710024788888888,0.7758814528444444
44,13027.391977495712,1.8927036254882812,0.3354,0.4,0.7731302437777778,0.7778925516222222
45,13323.469067893342,1.8839448583221436,0.33562,0.4,0.7753032011111112,0.7802529326444444
46,13619.546158290972,1.880162381591797,0.3398,0.4,0.7764293386666666,0.7806791738222223
47,13915.623248688602,1.876510785217285,0.34052,0.4,0.7795608737777778,0.7832485915333333
48,14211.700339086232,1.871058329925537,0.33834,0.4,0.781311426,0.7833964170444445
49,14507.777429483862,1.8594748288726806,0.34444,0.4,0.7829827155555555,0.7871615026222223
50,14803.854519881492,1.8564536003112793,0.3467,0.4,0.7859682906666666,0.7889760979111111
