round,time,loss,acc,jfi,auc,roc
1,334.8964317063787,2.3017505574035644,0.09986,0.4,0.6005024442222222,0.51769751
2,677.9660670100046,2.299914005508423,0.10102,0.5517241379310345,0.6567885513333331,0.5299277493555556
3,1012.999930745023,2.298297706604004,0.10128,0.6666666666666666,0.6835303326666666,0.5415033669333333
4,1369.4901144157002,2.296708641052246,0.10132,0.7032967032967034,0.6991742662222222,0.5592801839999999
5,1747.8609232254912,2.2948919355773927,0.10584,0.7874015748031497,0.7089936073333333,0.5861488439555556
6,2068.6349049603705,2.2929548784637452,0.11906,0.8135593220338984,0.7148553480000001,0.6104554261333333
7,2408.3733242312906,2.290777909088135,0.17242,0.8340425531914893,0.7187432960000001,0.6230426361111112
8,2776.813015705825,2.288308920593262,0.19108,0.8561872909698997,0.7215344302222222,0.6355886568
9,3133.9803761849944,2.285485082244873,0.19298,0.864,0.7233709373333334,0.6377364920666665
10,3475.662098607256,2.2820643167114256,0.18734,0.8733624454148472,0.7253188406666666,0.6387777841333333
11,3861.741690696665,2.2781389434051516,0.1913,0.8673835125448028,0.7264256797777777,0.6407079121777779
12,4217.379864039208,2.273365887527466,0.18608,0.8780487804878049,0.7265695626666666,0.6392461355555555
13,4545.592903235918,2.267709233932495,0.21042,0.8836601307189542,0.7267670940000001,0.6428552729777778
14,4908.058787060887,2.260662629928589,0.21682,0.8898978433598184,0.7259399808888889,0.650289145511111
15,5249.533898904101,2.2518811506652834,0.22136,0.8982035928143712,0.7251266920000001,0.6513418895333332
16,5573.775308274912,2.2408954103851317,0.23118,0.9102222222222223,0.7252729866666667,0.6675877080888889
17,5884.818764912741,2.2269626997375487,0.23308,0.9218500797448166,0.7243672224444444,0.6726190902222222
18,6206.657218483766,2.209522456817627,0.24394,0.9250535331905781,0.7239918184444443,0.6850069658444445
19,6568.869755595368,2.1883196380615235,0.2414,0.9310122501611864,0.7232978551111111,0.6924227772888888
20,6924.104298269025,2.1624865897369383,0.25724,0.9400705052878966,0.7247142697777778,0.7056593816888889
21,7264.552827103625,2.133852385482788,0.26444,0.9443254817987152,0.7273066535555556,0.7162736545999999
22,7642.675469770816,2.103757410888672,0.26164,0.952755905511811,0.72828766,0.7232537367111112
23,8011.333646386688,2.0757045892333985,0.26516,0.9527239981990094,0.7300998795555554,0.7301797396222223
24,8381.904344698856,2.050986912384033,0.27892,0.9552238805970149,0.7323283864444444,0.7365792286222221
25,8726.859309022975,2.030519965057373,0.27638,0.9578544061302682,0.7337119586666667,0.7388200922888888
26,9105.805310362242,2.0155448347473146,0.27502,0.9609097370291401,0.7363159455555556,0.7387993753777777
27,9434.816431257175,2.002651328277588,0.27876,0.9665230361286046,0.7392994408888889,0.7429562984222222
28,9814.573421945755,1.991088620071411,0.28748,0.9655172413793104,0.7416274708888888,0.7476281372444444
29,10149.662870144155,1.982119337387085,0.28798,0.9677790563866513,0.7439732355555556,0.7501094495555556
30,10516.888261975973,1.972008775177002,0.29292,0.9672219236969372,0.74631709,0.7531533847999999
31,10901.34557253329,1.9653826786804198,0.291,0.9709522606718869,0.7488846277777779,0.7546635819777778
32,11249.817224400467,1.9687775999450683,0.2984,0.9713066160777805,0.7503731086666666,0.7543726518888889
33,11590.563710371138,1.9507136441040038,0.30254,0.9714540588760036,0.7538514417777777,0.7596649329111111
34,11933.582676107317,1.9424790340423583,0.30908,0.9689857502095558,0.7571470662222223,0.7622364076222222
35,12259.562389609026,1.9433447653198241,0.30928,0.9704892057833234,0.7573254113333334,0.7609278615555557
36,12567.550805877065,1.9302191733551026,0.3117,0.9704230625233995,0.7616191682222222,0.7673041997333334
37,12893.862284475339,1.919752593307495,0.31498,0.9695467422096318,0.7646467173333333,0.7694075294666667
38,13232.284620292312,1.9147294414520264,0.31824,0.9683151718357083,0.7669620486666667,0.7723733908444443
39,13585.144178685106,1.9069510799407958,0.31838,0.9706445437141034,0.7708350211111111,0.7728841651111111
40,13937.50056960426,1.8973292497253418,0.33364,0.9698439157448098,0.7716023333333333,0.7771813370888888
41,14296.689663454115,1.8918166342926026,0.33232,0.9709747292418772,0.7745970175555555,0.7773629986
42,14688.595520519722,1.884675841217041,0.32832,0.9720347155255545,0.7769675360000001,0.7792280250222223
43,15058.800393310725,1.8799122716522216,0.33276,0.9726459758022094,0.7787751684444444,0.7805067282888889
44,15384.928118844902,1.8640855345916747,0.34074,0.9733534439416792,0.7825659773333333,0.7865098808222222
45,15732.671494060958,1.857481397857666,0.34594,0.9748465519316404,0.7853978488888889,0.7895008952666667
46,16107.265355991853,1.848602585220337,0.34944,0.9768032313906521,0.7872335446666666,0.7909944568
47,16466.942440460112,1.8433243938827515,0.35216,0.9777581055660064,0.7896046264444445,0.7935602437111111
48,16864.550242041572,1.8342508904266357,0.35514,0.9781362767989811,0.7917130268888888,0.7948836641555556
49,17226.503961370436,1.8413448761749267,0.3527,0.9783029438728735,0.7933171886666666,0.7938170960888888
50,17564.925279590174,1.8154774877166748,0.3629,0.9775171065493646,0.7970197508888889,0.801078433111111
