round,time,loss,acc,jfi,auc,roc
1,252.73902756150613,2.2996654232788085,0.10002,0.4,0.6169915771111111,0.5373783350222222
2,517.7561011335922,2.2956499515533446,0.10248,0.41025641025641024,0.6485500728888889,0.5602761516666667
3,783.6994514414469,2.2916262788391113,0.16174,0.4235294117647059,0.6659201957777777,0.5757692150888888
4,1037.8841467349876,2.2873139643859863,0.17478,0.4266666666666667,0.6774940431111112,0.5896006599333333
5,1303.4276523101612,2.2821602947235107,0.15644,0.4329004329004329,0.6843379182222222,0.5948137351999999
6,1568.360114600335,2.276026297454834,0.16198,0.4376899696048632,0.6911169864444444,0.6148914370444445
7,1833.6051476970072,2.268441458282471,0.1588,0.44144144144144143,0.6946145357777779,0.6209317958666667
8,2094.478387175716,2.259124284210205,0.17186,0.4507042253521127,0.7000323275555556,0.6485570807333334
9,2364.449647372437,2.246869091644287,0.18538,0.45188284518828453,0.7013640984444444,0.6627537992
10,2624.5840030463805,2.231552070236206,0.19586,0.4576659038901602,0.7028600764444445,0.6741756422222223
11,2894.5552632431018,2.212524639816284,0.21206,0.45789971617786185,0.7030373668888888,0.6783616898
12,3159.9880366316543,2.1898767152404783,0.22004,0.4630225080385852,0.7045685268888888,0.6878087504888889
13,3422.8511716042713,2.1639517179870604,0.23006,0.4642857142857143,0.7066797833333334,0.6962049942444445
14,3712.0038866277087,2.136123849411011,0.25462,0.47342995169082125,0.7106596426666667,0.7084577663555556
15,3986.243437695272,2.1105597902679443,0.26446,0.47770700636942676,0.7145874360000001,0.7155123930222222
16,4259.853790603218,2.08440672958374,0.25556,0.48007501172058137,0.718861364,0.7184908606222221
17,4547.439876256266,2.0628617135620115,0.26926,0.4873524451939292,0.7222872571111111,0.7241612507555555
18,4830.193473423127,2.04583130569458,0.27294,0.49109511178476695,0.7264020537777778,0.7299750136666666
19,5116.801011819847,2.0306660975646973,0.27696,0.4986187845303867,0.7300339742222223,0.733611683311111
20,5397.835771221497,2.0257473240661623,0.2719,0.5004691898654989,0.7309653486666667,0.7291767965777777
21,5678.724395958839,2.0097721965026856,0.28034,0.5055889939810834,0.7356336211111112,0.7387006373333332
22,5964.252338013822,2.000636924057007,0.28484,0.5088042049934297,0.737638244,0.7412644481111111
23,6250.433780681751,2.0027112436676027,0.28438,0.5144663262825189,0.7386900377777778,0.7390691009333334
24,6535.351872466702,1.9860450954437256,0.29114,0.5203252032520326,0.7438512504444444,0.7473899683777778
25,6831.50396856724,1.9787639305877684,0.28782,0.5277601857715853,0.7473026526666666,0.7513060594444445
26,7112.331589335727,1.9706204435729981,0.29548,0.5314465408805031,0.7495996831111112,0.753856772
27,7408.098004127108,1.9630941092681884,0.29818,0.5399000185150898,0.7514800135555555,0.7559329081333334
28,7705.173148280654,1.9575899179077147,0.30354,0.5459610027855153,0.7531043366666667,0.7577021474444445
29,8017.337000849467,1.9508069989013672,0.30466,0.55787728026534,0.7559304875555556,0.7597875661555555
30,8314.171922293433,1.9466211415863037,0.31458,0.5642633228840125,0.7571471786666667,0.7605935814222223
31,8623.05175239102,1.9408401261138917,0.30974,0.5762254534552541,0.7598269315555556,0.7631427966222222
32,8911.16713354323,1.9377771691894532,0.31478,0.5800056641178136,0.7623068120000001,0.7653600968444444
33,9236.914996455556,1.931128599472046,0.31486,0.5931372549019608,0.7637784866666666,0.7653434284222222
34,9537.01080395885,1.9205557787322998,0.32316,0.5966451612903226,0.7667685484444445,0.7699905528222222
35,9849.907562884704,1.910311831893921,0.32418,0.6066608889439148,0.769586094,0.7733758592222222
36,10160.425674497603,1.9111320918273926,0.32184,0.6119702514461103,0.7718086164444445,0.7731389280666666
37,10464.041947659709,1.8971001608276368,0.3291,0.6195971939352795,0.7741663835555554,0.7781547984444444
38,10788.950340209452,1.8961789750671387,0.33242,0.6252435592119506,0.7739397302222221,0.7753022374888888
39,11098.009900747484,1.8804616410064696,0.3399,0.6338820587622421,0.7786222642222222,0.781961758688889
40,11429.677239843757,1.8842646905517577,0.33636,0.6404483138196738,0.7779824688888889,0.778786176311111
41,11737.449590094311,1.866468124923706,0.34774,0.6473476460960816,0.7823643435555556,0.7858080258666666
42,12058.245987099863,1.8609207009124755,0.34732,0.6532728451069345,0.7849945075555554,0.7864152714444445
43,12389.174313495023,1.8531469937133789,0.35142,0.6624865639555715,0.7863201400000001,0.7891750412444445
44,12695.361489158642,1.850970625,0.34856,0.6661505376344086,0.789517452,0.7905999358666667
45,13047.466965298509,1.8411126650619507,0.3524,0.6769745089845383,0.790221074,0.7923899372444444
46,13370.52310170694,1.8303463048934936,0.35562,0.6815912385247221,0.7935609131111111,0.7961607454444444
47,13708.526267290634,1.8214874020385743,0.3558,0.690636235735501,0.795106706,0.7982866459333333
48,14059.955650346625,1.814960418624878,0.36366,0.6979174555092768,0.7962954035555556,0.8002949130888888
49,14383.834307219204,1.8136901369857787,0.35702,0.7030746705710103,0.7988934824444444,0.8000302669555555
50,14773.302661432446,1.8059347784805297,0.36714,0.7168972686214066,0.7986426864444444,0.8012678290444445
