round,time,loss,acc,jfi,auc,roc
1,291.98584672389813,2.3011540494537353,0.10002,0.4,0.5782699722222222,0.515700446911111
2,657.7715542592518,2.2980946784973146,0.10006,0.64,0.6331442182222222,0.5344765572222222
3,993.5282967515233,2.2929008393859864,0.10094,0.75,0.6660455277777778,0.5498680564666667
4,1350.0378613128569,2.289281011276245,0.10614,0.7710843373493976,0.6755495582222222,0.5671213339777778
5,1641.081526835983,2.28551876083374,0.11004,0.7874015748031497,0.6822385537777778,0.577813023288889
6,2030.0145408940803,2.2794777021026613,0.12772,0.8520710059171598,0.6885931737777778,0.5948806902222222
7,2449.0222557632405,2.268824408111572,0.14418,0.8448275862068966,0.6948055615555556,0.6209136758444445
8,2699.0241067279285,2.2628527284240723,0.16346,0.8366013071895425,0.6946329706666667,0.6278127923777777
9,3000.034785727781,2.254258345565796,0.1939,0.8350515463917526,0.6966150304444444,0.6367135076444443
10,3404.251104480083,2.235245895462036,0.23422,0.8528784648187633,0.6981381777777778,0.6594273357333333
11,3734.902548695601,2.220710445251465,0.22662,0.8536155202821869,0.7011688902222223,0.6705970039111111
12,4086.1078026168348,2.200952976150513,0.23716,0.8508124076809453,0.7033290142222223,0.6930000349111112
13,4425.551673567034,2.1777339040374755,0.23862,0.8622448979591837,0.7047867744444444,0.6916323593555556
14,4773.6480881616735,2.1553709365081786,0.21932,0.8624862486248625,0.7073689324444443,0.6812386646222222
15,5157.9921535220665,2.1240007440948485,0.25666,0.861244019138756,0.7120327904444445,0.7088782000444445
16,5438.048502953591,2.1018515348052977,0.25898,0.8590604026845637,0.7163216055555555,0.7158474569333334
17,5782.910186842892,2.0841643635559084,0.26188,0.8678678678678678,0.7206233677777778,0.7245649758666667
18,6185.218504114863,2.057845843963623,0.2677,0.8634243837441705,0.72523604,0.7279550673999999
19,6479.970933806464,2.049563028869629,0.27282,0.8641532016756434,0.7289401815555555,0.7330326060888889
20,6892.698687981576,2.0288117152404785,0.27896,0.8705114254624592,0.7312659422222223,0.7360579916
21,7165.261874247677,2.0200169277954103,0.27628,0.8732673267326733,0.7333967788888888,0.7356384993777777
22,7502.024882290344,2.0081440879821777,0.27926,0.8708951866846604,0.7368061673333333,0.7421356818666666
23,7889.713942926504,1.999140083847046,0.27614,0.8682806729585556,0.7390962737777778,0.7441625961555556
24,8183.1261643111,2.005284303970337,0.2771,0.872396819386596,0.7382603842222222,0.7411010827555555
25,8559.474667654642,1.9852635734558106,0.27876,0.868357068426537,0.7429838706666667,0.7479539165555555
26,8955.427662870045,1.9825809378814698,0.28368,0.8728211749515816,0.7455120073333334,0.7498469200888889
27,9211.290115539416,1.975775622177124,0.28756,0.869928400954654,0.7462502864444446,0.7505332477555556
28,9629.539886817907,1.9674552336883544,0.28562,0.8745119910764082,0.7492853693333333,0.7534809253777778
29,9905.28902522639,1.9671096612548828,0.29272,0.8744476215232648,0.7501333271111111,0.7528973507111112
30,10331.288113311997,1.9606426111602784,0.2934,0.8695652173913043,0.7536071953333333,0.7572100872444445
31,10630.132932069835,1.9537551979064942,0.2972,0.8728428701180745,0.7542373988888889,0.7575424285555554
32,10900.336970796689,1.9602901671600341,0.29962,0.8722316865417377,0.75561249,0.7564666547555556
33,11352.701686898741,1.9442678580474853,0.30098,0.8712,0.7577477666666667,0.7603095969777778
34,11630.392007152035,1.939432741317749,0.30052,0.8765876777251185,0.7610884344444445,0.7632914758666667
35,11973.963342271127,1.933885795135498,0.30884,0.8751562779067691,0.7627393382222222,0.7657060173333333
36,12355.841526075605,1.9226116137695313,0.30944,0.8747890651366858,0.7651807455555555,0.7686394373555556
37,12657.883125301636,1.91654498336792,0.31834,0.8736439055520102,0.7669800337777778,0.7708893856444445
38,13024.01426343667,1.9116915138244628,0.32312,0.8736953562244744,0.7687511897777778,0.7726246693555556
39,13389.192771941158,1.9076730026245117,0.32356,0.8727585712236408,0.7710996517777778,0.7739659504222223
40,13677.72545728435,1.9012987315368652,0.3282,0.8775538187302894,0.7720757413333332,0.7748190622666666
41,14082.194285393234,1.8911035104370117,0.3297,0.8770053475935828,0.7754365584444444,0.7787356025555556
42,14408.609156235247,1.8990074241638184,0.3242,0.8753256419799033,0.7748394946666667,0.7748391371111112
43,14695.225315187381,1.8782182823181153,0.33492,0.874852140998344,0.7794846693333333,0.7823239904444446
44,15099.613125569165,1.8744072085571288,0.33854,0.8734491315136477,0.7818858311111112,0.7841600232666666
45,15347.763102755434,1.8682848110198975,0.33896,0.8747300215982722,0.7827670295555554,0.7854304227333333
46,15761.828591607395,1.868493064727783,0.34264,0.8753749095046023,0.782526637111111,0.7840797461111112
47,16153.935458913085,1.8609881042099,0.3474,0.8761527020327219,0.787963233111111,0.7873106880666667
48,16477.011954699785,1.8575494904327392,0.34454,0.8785510009532889,0.7866142375555556,0.7858533972000001
49,16813.20027066224,1.8367995528411865,0.35696,0.8769975344717378,0.7921621211111111,0.7953343907777778
50,17211.04500692225,1.825554539756775,0.35668,0.8770391159445712,0.7946189151111112,0.7977225621555556
