round,time,loss,acc,jfi,auc,roc
1,357.360330991172,2.30171087600708,0.0981,0.4,0.5621234191111111,0.5207415762222223
2,705.9462202412193,2.2995782109069824,0.11896,0.42105263157894735,0.6215852895555555,0.539061421888889
3,1063.3065512323913,2.2973936677551268,0.15582,0.4186046511627907,0.6550714357777778,0.5698654473333334
4,1428.5529058256452,2.2947846881866454,0.1686,0.42953020134228187,0.6750350113333333,0.5880889633111112
5,1785.9132368168173,2.291795098114014,0.165,0.42735042735042733,0.6867180157777778,0.6005705344444444
6,2169.757761792132,2.2875859399414065,0.1709,0.43373493975903615,0.6941403775555555,0.6177912310000001
7,2516.468339926553,2.2826568710327146,0.17512,0.4336283185840708,0.6986418166666668,0.6381934758666667
8,2884.7132544460524,2.27544498916626,0.17522,0.4421416234887737,0.7003468051111111,0.646658218311111
9,3251.0533844491215,2.2645464012145995,0.17228,0.44751381215469616,0.7015564668888888,0.6607911281111112
10,3619.2982989686207,2.2506977906799315,0.19162,0.4519774011299435,0.7030204044444444,0.6746383893333334
11,4001.293474895946,2.22985060508728,0.20454,0.46449136276391556,0.7055866706666667,0.6854545235555555
12,4349.926737272483,2.2045989281463623,0.21062,0.46867371847030104,0.7069984068888889,0.6915969340666667
13,4676.088801370461,2.1773405391693115,0.21734,0.4767277856135402,0.7095156537777777,0.701394309688889
14,5048.289947414308,2.144971866607666,0.2347,0.48068669527896996,0.7159880302222221,0.7123837351333334
15,5335.3076192971985,2.1201785803985596,0.24134,0.4841312533620226,0.7164758902222221,0.7138737849111112
16,5730.578995576794,2.088728567276001,0.25116,0.4904214559386973,0.7213527797777777,0.7208409760444444
17,6100.018389464086,2.063688565673828,0.25322,0.4919148936170213,0.724115098,0.7260281084888889
18,6420.9440694272425,2.046562846221924,0.26392,0.49731389102072143,0.7255744173333333,0.7286726202888889
19,6784.099701498815,2.031699976043701,0.26586,0.5008671522719389,0.7289813968888889,0.7329270461777778
20,7091.401015277616,2.0432482161712646,0.2539,0.5048911328494793,0.7249158477777778,0.7225607935777779
21,7487.561494973056,2.0093937101745607,0.27128,0.5105643994211287,0.7343923084444445,0.739356883311111
22,7884.590105044645,1.997002961578369,0.27836,0.5159914712153518,0.737649762,0.7431624334666667
23,8202.284388288374,1.998861781387329,0.27688,0.5191364082433758,0.7409038853333334,0.7431077708444445
24,8584.794525473731,1.979432718887329,0.2891,0.5236363636363637,0.7445554195555556,0.7492999401777778
25,8885.906140473597,1.9740051317596436,0.28842,0.527203711514129,0.7462923977777777,0.7505957376888889
26,9295.404523216283,1.9713671192169189,0.29048,0.533754441373865,0.7495611017777778,0.7527801159111112
27,9560.57089171994,1.9587784202575684,0.29558,0.5412026726057907,0.750819068,0.7562692891777778
28,9942.812372431614,1.9691977951049804,0.2911,0.5482517482517483,0.7489927426666667,0.7500521719777778
29,10281.77535502503,1.9554592520141603,0.29822,0.5534715366897005,0.7554308713333333,0.7577689227555555
30,10615.636245600954,1.9427410433959962,0.30122,0.5571030640668524,0.7577012842222223,0.7616631226666666
31,10993.316545296335,1.932828372039795,0.30416,0.5617419260558235,0.7593376906666667,0.7642956244
32,11244.10880880209,1.9302146518707275,0.30694,0.565121412803532,0.7604604551111112,0.7643589770222222
33,11654.451578550317,1.923783069152832,0.31022,0.5717285733035832,0.7641877106666666,0.7680293196222222
34,11964.886353183092,1.9168605204772948,0.31328,0.5756972111553785,0.7656629864444444,0.7701465339777778
35,12304.67960408077,1.9085269728851317,0.31776,0.5794016790824169,0.7679068722222222,0.7720716066444444
36,12633.896096863467,1.9025848322296142,0.31788,0.5866908103214125,0.7697278935555556,0.7740007530666666
37,12972.930864846378,1.895944156036377,0.31578,0.5927689976185322,0.7726281395555555,0.7762637275555555
38,13320.380192102515,1.8897056593322754,0.32438,0.6031746031746031,0.7744068542222222,0.778222770088889
39,13686.194563476936,1.8905690618896485,0.32144,0.6123804730749874,0.7739474351111111,0.7763742896222221
40,14022.261914176115,1.8771052152252197,0.33414,0.6226286603755229,0.7779165008888889,0.7820241951333333
41,14413.85614261717,1.8718500718688964,0.3359,0.6346389806512506,0.7791852013333334,0.7824483048222222
42,14761.150825358705,1.865751376876831,0.33726,0.6445012787723785,0.7824954246666668,0.7856646902
43,15178.679878924511,1.8696001807022096,0.34056,0.6539345711759504,0.784112314,0.7843263618666667
44,15485.035130042706,1.853274580001831,0.34112,0.6622199418505217,0.786475716,0.7893416807333333
45,15912.645315189178,1.8454597826385497,0.35176,0.6720876203119814,0.7865859515555554,0.7904663958222222
46,16285.705976128143,1.8361694022369386,0.35154,0.6838490748969863,0.7906866611111112,0.7942747261333333
47,16631.327952785676,1.8295633911895752,0.34992,0.6917175512760294,0.7914462811111111,0.7952100002
48,17097.222637245435,1.8195144680786133,0.35698,0.7016902695294656,0.7944948877777778,0.798082318288889
49,17402.397679769754,1.8299175499725342,0.35376,0.708573114947617,0.7957736231111111,0.7955456417777778
50,17830.007864916228,1.8076133084106445,0.36236,0.716743119266055,0.7985225873333334,0.8023045277555555
