round,time,loss,acc,jfi,auc,roc
1,314.83938487994556,2.3405411891174315,0.1201,0.4,0.536104214,0.5129991142444444
2,629.6787697598911,2.3817423653411867,0.10368,0.4,0.5707196304444444,0.5216458138
3,944.5181546398367,2.414223578567505,0.10022,0.4,0.6153359088888889,0.5338577143777777
4,1259.3575395197822,2.374911498260498,0.11488,0.4,0.6306772482222223,0.5399270675777779
5,1574.1969243997278,2.3419480992126465,0.12738,0.4,0.6402947357777778,0.5527746612222222
6,1889.0363092796733,2.3527627769470216,0.12264,0.4,0.6428191022222223,0.5568620122444444
7,2203.875694159619,2.348590379486084,0.12,0.4,0.6483715297777778,0.5625747972888889
8,2518.7150790395644,2.3571640715026856,0.11864,0.4,0.6507217955555556,0.5668633569111111
9,2833.55446391951,2.311021197280884,0.1476,0.4,0.6534644895555556,0.5791666202888888
10,3148.3938487994556,2.314933288192749,0.12666,0.4,0.6590927731111111,0.5835915247777778
11,3463.233233679401,2.2986259449768065,0.141,0.4,0.6616319022222222,0.5910291486444444
12,3778.0726185593467,2.293620278015137,0.15554,0.4,0.6633881746666666,0.5955868087111111
13,4092.912003439292,2.282546658782959,0.15754,0.4,0.6659149195555555,0.6007669675777778
14,4407.751388319238,2.296778462600708,0.14214,0.4,0.6701388213333332,0.5994665611777779
15,4722.590773199183,2.2944515720367433,0.15346,0.4,0.670948968,0.6013627806
16,5037.430158079129,2.278618249053955,0.15754,0.4,0.6750381526666667,0.6085422495777778
17,5352.269542959075,2.2822274619293212,0.1487,0.4,0.6787289011111111,0.6111049764666667
18,5667.108927839021,2.2672502754974366,0.15734,0.4,0.682387889111111,0.6158972815777777
19,5981.948312718967,2.2436466999816895,0.17714,0.4,0.6859831588888889,0.6246738826888889
20,6296.787697598913,2.25181120010376,0.16424,0.4,0.689014363111111,0.6242148573777777
21,6611.627082478859,2.2427629167175294,0.17122,0.4,0.6928014997777778,0.6287385481111112
22,6926.466467358805,2.238799097290039,0.17624,0.4,0.6960803135555557,0.6316409496
23,7241.305852238751,2.2199917849731445,0.19342,0.4,0.6997406335555556,0.6389903554222223
24,7556.145237118697,2.2184874826049805,0.18668,0.4,0.7041011208888889,0.6415293013333333
25,7870.984621998643,2.22338872215271,0.19664,0.4,0.7064603415555556,0.6419329519555556
26,8185.824006878589,2.19080081741333,0.2095,0.4,0.7112160262222222,0.6533080692222222
27,8500.663391758535,2.1687365434265136,0.21956,0.4,0.7142164362222222,0.6622778915333334
28,8815.502776638481,2.170754627227783,0.2149,0.4,0.7178444991111111,0.6638185263777777
29,9130.342161518427,2.177226501312256,0.20916,0.4,0.7200663371111111,0.6632530315333334
30,9445.181546398373,2.2128163204193116,0.19326,0.4,0.7194974457777777,0.6544957644888889
31,9760.020931278319,2.1315030101013184,0.23494,0.4,0.7263940577777778,0.680587453
32,10074.860316158265,2.1454728898620608,0.22566,0.4,0.7280917673333333,0.6775620022888889
33,10389.699701038211,2.1416719484710693,0.21886,0.4,0.7302743313333333,0.6807607512888888
34,10704.539085918157,2.1390032402038575,0.23014,0.4,0.7323103562222222,0.6826170034888889
35,11019.378470798103,2.1498761640167237,0.22172,0.4,0.7324949468888888,0.6812725450444445
36,11334.21785567805,2.1614989080047606,0.216,0.4,0.7327525048888889,0.6796922867999999
37,11649.057240557995,2.1145995643615723,0.24068,0.4,0.7373684517777778,0.6930786895555556
38,11963.896625437941,2.1188000177001953,0.2453,0.4,0.7383334508888889,0.6925232299555555
39,12278.736010317887,2.0958245336151125,0.2541,0.4,0.741150351111111,0.7006993906000001
40,12593.575395197833,2.1230507874298095,0.24638,0.4,0.7410133360000001,0.6944628474000001
41,12908.41478007778,2.0851511768341062,0.26416,0.4,0.7441637275555555,0.7051990122888889
42,13223.254164957725,2.102967452316284,0.24842,0.4,0.7439500266666667,0.701679661
43,13538.093549837671,2.0848485900115965,0.25904,0.4,0.745903446888889,0.7064843912222222
44,13852.932934717617,2.108448427963257,0.23884,0.4,0.7454237342222222,0.7034709848222223
45,14167.772319597563,2.0841234727478026,0.25786,0.4,0.7483451662222222,0.7088749732222223
46,14482.61170447751,2.082643416595459,0.25678,0.4,0.7489751926666667,0.7094102900666667
47,14797.451089357455,2.0622145863342287,0.2649,0.4,0.7509411055555556,0.7156556508222223
48,15112.290474237401,2.1141032257843015,0.24122,0.4,0.7476709522222222,0.7050411988222223
49,15427.129859117347,2.1034028257751465,0.25768,0.4,0.7491135382222223,0.7055101627111112
50,15741.969243997293,2.083739594192505,0.26078,0.4,0.7515753946666667,0.7124566700222222
