round,time,loss,acc,jfi,auc,roc
1,291.0046017612092,2.3183989713287354,0.1,0.4,0.5153954580000001,0.5047933044
2,582.0092035224184,2.385595016937256,0.1,0.4,0.5838239068888889,0.5170381944666667
3,873.0138052836276,2.3946650896453856,0.1,0.4,0.597082756888889,0.5157391116666666
4,1164.0184070448367,2.4138768418884275,0.1,0.4,0.5974631906666666,0.5227856140444445
5,1455.023008806046,2.3781331274414064,0.10258,0.4,0.6126994762222223,0.5271884821333332
6,1746.0276105672551,2.382705183258057,0.12994,0.4,0.6196215828888888,0.5324897368222222
7,2037.0322123284643,2.3683536653137205,0.11498,0.4,0.6278762106666667,0.5358120541333333
8,2328.0368140896735,2.368011647415161,0.10992,0.4,0.6320249226666667,0.5387733144888889
9,2619.041415850883,2.359436647491455,0.11532,0.4,0.6368938055555555,0.5432456895333333
10,2910.0460176120923,2.3536522124481203,0.11322,0.4,0.6414208117777778,0.5475710318666667
11,3201.0506193733017,2.3784456652069093,0.11052,0.4,0.6437374013333332,0.5479125684888889
12,3492.055221134511,2.336109437332153,0.11786,0.4,0.6502318706666667,0.556116238
13,3783.0598228957206,2.3452008689880373,0.1286,0.4,0.6527467622222222,0.5595529286222222
14,4074.06442465693,2.353503861846924,0.11996,0.4,0.6541508264444446,0.5612819765111111
15,4365.069026418139,2.3493898857116697,0.13602,0.4,0.6588572939999999,0.5638917524222222
16,4656.073628179349,2.3333896380615236,0.13072,0.4,0.6613074404444446,0.5687910750444444
17,4947.078229940558,2.3410836582946777,0.1355,0.4,0.6627596771111111,0.5706067195555556
18,5238.082831701768,2.331957526626587,0.13488,0.4,0.6669619295555556,0.5766382995777778
19,5529.087433462977,2.3123388312530517,0.15474,0.4,0.6721258566666668,0.5829739415333334
20,5820.0920352241865,2.296904141159058,0.14346,0.4,0.6752677415555556,0.5906619553555555
21,6111.096636985396,2.2862895345306398,0.14724,0.4,0.6792363197777778,0.5964491455111112
22,6402.101238746605,2.283656560974121,0.13862,0.4,0.6824253615555556,0.6028672303111111
23,6693.105840507815,2.2941694292449952,0.15882,0.4,0.6855953415555556,0.6002373448444444
24,6984.110442269024,2.2666348780822756,0.15496,0.4,0.6901768737777778,0.6119676884222223
25,7275.115044030234,2.2748835877227784,0.13346,0.4,0.6915960342222223,0.6158296431777778
26,7566.119645791443,2.2384574449157717,0.16492,0.4,0.6979983437777777,0.6248758076222223
27,7857.124247552652,2.263733684539795,0.16508,0.4,0.6988097673333333,0.6192570698222222
28,8148.128849313862,2.2347591596221923,0.16392,0.4,0.7040762475555555,0.6321667561777777
29,8439.133451075071,2.221991559677124,0.166,0.4,0.7075851464444444,0.6399537095555556
30,8730.13805283628,2.232799616165161,0.16602,0.4,0.7095020253333333,0.6394236269555557
31,9021.14265459749,2.225935149230957,0.1705,0.4,0.712218548888889,0.6435871668
32,9312.1472563587,2.224534313812256,0.175,0.4,0.7144034008888889,0.6455610186222221
33,9603.151858119909,2.205459972305298,0.16192,0.4,0.7177991535555555,0.6578026429777779
34,9894.156459881118,2.2080974787139893,0.17154,0.4,0.7190240133333333,0.6560899253111111
35,10185.161061642328,2.1823669449615477,0.1768,0.4,0.7227997582222222,0.6652622818444445
36,10476.165663403537,2.2201027877807618,0.18332,0.4,0.7200404451111111,0.6563086366666667
37,10767.170265164747,2.1758708527374266,0.18818,0.4,0.7256195157777776,0.6670275982888889
38,11058.174866925956,2.151720663909912,0.19146,0.4,0.728845838888889,0.6751377473777778
39,11349.179468687165,2.164376014251709,0.18898,0.4,0.7285285884444443,0.6743598100888888
40,11640.184070448375,2.1986229276275635,0.18626,0.4,0.7264038204444445,0.6674273629555556
41,11931.188672209584,2.1770665235900877,0.17202,0.4,0.7323784222222223,0.6762295526888888
42,12222.193273970794,2.1577551692962644,0.19156,0.4,0.7336198977777778,0.6799158374444445
43,12513.197875732003,2.1683928022766112,0.1969,0.4,0.7299802477777778,0.6775720521111112
44,12804.202477493212,2.1342266285705564,0.20054,0.4,0.7369325640000001,0.6874282216222222
45,13095.207079254422,2.1578784500122072,0.19936,0.4,0.7344290031111111,0.6830713377111111
46,13386.211681015631,2.132278911514282,0.19392,0.4,0.739809115111111,0.6908903507555556
47,13677.21628277684,2.1423792500305177,0.18942,0.4,0.7398304706666666,0.6894422139111112
48,13968.22088453805,2.184169072113037,0.19446,0.4,0.7331516100000001,0.6801023750444444
49,14259.22548629926,2.1606672062683105,0.17976,0.4,0.7415955484444444,0.6886251733333333
50,14550.230088060469,2.154923073425293,0.1929,0.4,0.7410217833333334,0.6897252134888889
