round,time,loss,acc,jfi,auc,roc
1,423.9953787666588,3.8382391981030186,0.02348404255319149,0.4,0.7409874092596875,0.5673430440955547
2,832.3883964897327,3.8231043250848216,0.030682624113475176,0.6153846153846154,0.8205212358830557,0.6349169105259171
3,1250.4236398237622,3.7958885261183934,0.08271276595744681,0.72,0.8598126304492368,0.7048796789684287
4,1640.3513696503378,3.743356731969414,0.14500886524822695,0.7710843373493976,0.8798664686038519,0.7667980275514654
5,2021.4013013380513,3.6278773466069647,0.18562943262411347,0.8,0.8933585353309053,0.811889257008207
6,2406.883237604087,3.3480871939151844,0.2751418439716312,0.8135593220338984,0.908068434456586,0.870174514073752
7,2825.012256180202,2.746390290835225,0.3863386524822695,0.8376068376068376,0.9265182317764544,0.918354603025741
8,3200.48260880532,2.124527471217703,0.482145390070922,0.8561872909698997,0.945548957289418,0.9451554518671077
9,3619.9973560405083,1.7785263549858796,0.5366755319148936,0.8756756756756757,0.9572554901502595,0.9582285377522414
10,3993.418522090065,1.584056453840107,0.5715248226950355,0.8810572687224669,0.9643139232176356,0.9656835550328803
11,4376.592760345204,1.4708870215787955,0.5922251773049645,0.8962962962962963,0.9682256980579969,0.9700262064728407
12,4797.036231035466,1.395024402259935,0.6077748226950355,0.8985959438377535,0.9709099710353711,0.9726057752228
13,5251.732721906735,1.3396463409383246,0.6188918439716312,0.9001331557922769,0.9731650921616429,0.9746135573535841
14,5683.4246519221415,1.2932628215627466,0.630709219858156,0.9095127610208816,0.9744901587313058,0.9760751917113345
15,6085.4210817606645,1.2610393400056987,0.6383599290780142,0.9054325955734407,0.9757311385419881,0.9771400122423392
16,6504.986622240838,1.2279321674590415,0.6469592198581561,0.9142857142857143,0.9767014118148706,0.9782562587314699
17,6908.898216224216,1.1960673014661098,0.6544326241134751,0.922585794094174,0.9777279069020454,0.9793161554933923
18,7336.9296218183135,1.1727975514256361,0.6625177304964539,0.9178470254957507,0.9786621956987486,0.9800852546932443
19,7744.491958935918,1.1462209025849688,0.6677127659574468,0.9220945083014048,0.9794946869539521,0.9810170201028319
20,8117.025240112027,1.1258484312152186,0.6726595744680851,0.9205983889528193,0.9802607493142279,0.9816518193765814
21,8557.923158367552,1.1026066858548644,0.680709219858156,0.9240440020953379,0.9809591344980216,0.9823263545601423
22,8991.752619315179,1.0826723759225074,0.6829698581560284,0.9348140994688556,0.9816231380168184,0.9830195697304875
23,9400.636251309514,1.0630137015741767,0.6896897163120568,0.9338040600176523,0.9822445132223894,0.9835676781904984
24,9796.43850987628,1.0440157663399445,0.6959219858156028,0.9339278475881637,0.9828490491940977,0.9841423048088916
25,10196.144520010981,1.0210856521552336,0.7009485815602837,0.9321401938851603,0.9834731874421834,0.9848498490765297
26,10580.014445332461,1.0056119797753948,0.7042375886524823,0.9401947148817803,0.9840048529605434,0.9853354762022895
27,10978.014658653508,0.9871894937542314,0.7097783687943262,0.9424692954104719,0.9845941507027957,0.9858712454739189
28,11379.903702409902,0.973337645293973,0.7127216312056738,0.9389221556886228,0.9850176914700892,0.9861886602501255
29,11812.437573281042,0.9598890975519275,0.7160460992907801,0.9449438202247191,0.9854356075425277,0.9865843357421289
30,12194.799994933297,0.9431796334990373,0.7199024822695036,0.948116934421912,0.9859659671230987,0.9871048271975386
31,12603.94414879855,0.9256342722845415,0.7239982269503547,0.9538461538461539,0.9863806521980034,0.9875897875109961
32,13003.151344147858,0.9130901778336112,0.7271010638297872,0.9552238805970149,0.9867583408013412,0.987956299601344
33,13421.66671915566,0.8993305840390794,0.7309751773049645,0.955892034233048,0.9871500889736867,0.9882765294125044
34,13799.553332471443,0.8850566170063424,0.7350797872340425,0.9557668458040512,0.9874792931811467,0.9886614273874867
35,14186.735330289164,0.87456462714689,0.7375177304964539,0.958904109589041,0.9877996807225818,0.9888949465317278
36,14593.43581364575,0.8605111532346577,0.7409840425531915,0.9614243323442137,0.988176294173669,0.9892875713322051
37,15000.66477833926,0.8502042122428299,0.7436790780141844,0.9601963878660355,0.9884178007599703,0.9895389778668471
38,15413.344192223702,0.8334147963625319,0.7488741134751773,0.9625062489585069,0.9888009103341171,0.9899378288110456
39,15829.264074266355,0.8284633386219646,0.7488652482269503,0.9635730123535001,0.9890055662757609,0.9900745294257969
40,16254.876053609883,0.8197100520641246,0.7530141843971632,0.9644364074743822,0.9892841519233735,0.9902787371750503
41,16634.173159984966,0.8045823625300793,0.7570035460992908,0.9633237822349571,0.9895979825537695,0.990621874208094
42,17061.991414270262,0.7925598750384987,0.7591312056737589,0.9653851416062389,0.9898320310090966,0.9909202062538749
43,17499.7619589917,0.7845983003386369,0.7598847517730496,0.96465371070823,0.9900551263458474,0.9911099059957017
44,17919.306617756025,0.7775263457264461,0.7624113475177305,0.9648641913780215,0.9902614589757427,0.9912901419039413
45,18333.86435825127,0.7624066182231227,0.7675886524822695,0.9653199856989632,0.9905339229847623,0.9915745302723761
46,18752.87956383326,0.7564657979823174,0.768386524822695,0.968753576742589,0.990701667373317,0.9917469464287376
47,19162.48419279132,0.7476721684307072,0.7708156028368794,0.9723781225927148,0.9908977695950895,0.9918898337431085
48,19575.03462404332,0.7389792511987348,0.7723936170212766,0.972049361881658,0.991122248681455,0.9921138383393078
49,19995.118638227366,0.7290248867636877,0.7757978723404255,0.9715730905412241,0.9912882517794737,0.9923089362216397
50,20388.559374324857,0.7216167556140439,0.7773492907801418,0.9720062208398134,0.9914654605432214,0.9924760654921921
